job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,primary_subfunctions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
JOB-ACOU,Acoustics Consultant,1,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ACOU-001,Acoustic Survey / Monitoring Plan,NATIVE,Deliver,Project|Site|Location,F23|F27,F23.07|F27.04,Survey / Monitoring Plan,Object Workspace,brief|site context|standards,Field survey / monitoring,"Approved scope, locations, periods and methods",candidate-revalidation
JOB-ACOU,Acoustics Consultant,1,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ACOU-002,Noise / Vibration Survey Record,NATIVE,Deliver,Site|Location|Time Period,F23,F23.07,Environmental Monitoring Record,Field/Mobile composition,survey plan|instrument|weather|location,Acoustic assessment,"Time, location, instrument and calibration evidence",candidate-revalidation
JOB-ACOU,Acoustics Consultant,1,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ACOU-003,Acoustic Model / Calculation,CONNECTED,Deliver,Project|Building|Location,F26,F26.05,Information Container: Acoustic Model / Calculation,Connected Authoring Adapter,survey data|geometry|source assumptions,Assessment / design recommendation,"Exact model revision, inputs and checker evidence",candidate-revalidation
JOB-ACOU,Acoustics Consultant,1,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ACOU-004,Acoustic Assessment Report,ASSISTED,Deliver,Project|Property|Authority,F23|F26,F23.07|F26.05,Controlled Reporting Snapshot / Information Container,Assisted Report Generator,survey|model|criteria|standards,Planning / design / client decision,"Source references, assumptions and issued revision",candidate-revalidation
JOB-ACOU,Acoustics Consultant,1,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ACOU-005,Acoustic Design Recommendation,NATIVE,Deliver,Project|System|Location,F20|F27,F20.03|F27.04,Technical Recommendation / Decision Basis,Decision Workspace,assessment|options|constraints,Design development,"Options, criteria, rationale and approver",candidate-revalidation
JOB-ACOU,Acoustics Consultant,1,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ACOU-006,Acoustic Performance Specification,CONNECTED,Deliver,Project|Work Package|System,F26,F26.05,Information Container: Specification,Connected Authoring Adapter,recommendations|standards|design,Procurement / construction,"Controlled clauses, revision and approval",candidate-revalidation
JOB-ACOU,Acoustics Consultant,1,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ACOU-007,Acoustic Design Review Comment,NATIVE,Deliver,Information Container|Project,F26,F26.05,Review Comment / Coordination Issue,Viewer Workspace,drawing|model|specification|criteria,Design response / revision,Exact subject revision and disposition,candidate-revalidation
JOB-ACOU,Acoustics Consultant,1,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ACOU-008,Planning / Statutory Acoustic Submission,ASSISTED,Deliver,Project|Property|Authority,F19|F23|F26,F19.01|F23.07|F26.05,Regulatory Submission / Information Issue,Assisted Report Generator,assessment|drawings|forms,Authority response / conditions,"Issued package, recipient and response evidence",candidate-revalidation
JOB-ACOU,Acoustics Consultant,1,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ACOU-009,Acoustic Verification Test,NATIVE,Deliver,Project|System|Location,F13|F23,F13.04|F23.07,Inspection / Test,Field/Mobile composition,performance criteria|installed works,Acceptance / defect,"Measurements, conditions, pass/fail and witness",candidate-revalidation
JOB-ACOU,Acoustics Consultant,1,Engineering & Technical Design,,gap-no-direct-job-profile,WP-ACOU-010,Acoustic Completion / Handover Record,ASSISTED,Deliver,Project|Asset|Property,F22|F26|F27,F22.06|F26.06|F27.08,Handover Package,Assisted Report Generator,final tests|as-built info|open items,Operations / asset record,Accepted evidence manifest and exact revisions,candidate-revalidation
JOB-AT,Architectural Technician,4,Architecture & Design,,gap-no-direct-job-profile,WP-AT-001,Technical Design Requirements Register,NATIVE,Deliver,Project|Stage,F27|F26,F27.04|F26.05,Requirement / Deliverable Register,Enterprise Grid,brief|standards|design stage,Technical drawing / schedule production,"Source, owner, status and acceptance criteria",candidate-revalidation
JOB-AT,Architectural Technician,4,Architecture & Design,,gap-no-direct-job-profile,WP-AT-002,Existing Conditions Survey Record,NATIVE,Deliver,Property|Location|Project,F22|F26,F22.06|F26.05,Survey Record / Information Container,Field/Mobile composition,site access|existing information,Technical design,"Dated measurements, photos and attribution",candidate-revalidation
JOB-AT,Architectural Technician,4,Architecture & Design,,gap-no-direct-job-profile,WP-AT-003,Technical Drawing / Detail,CONNECTED,Deliver,Project|Stage|Information Container,F26,F26.05,Information Container: Drawing,Connected Authoring Adapter,survey|design basis|requirements,Coordination / construction,"Revision, author, checker and issue status",candidate-revalidation
