source_job_profile_id,source_title,source_subfunctions,target_employment_title,target_job_candidate,reconciliation_decision,decision_rationale,next_action
JP-F08.09-PROFESSIONAL,Information Retention Specialist,F08.09,Customer Retention Specialist,JOB-CUSTOMER-RETENTION,reconciled-retain-with-corrected-title,"Source title is semantically wrong: F08.09 activities identify churn risk, develop retention offers, engage customers and monitor outcomes. This is customer retention, not information retention.",retain-functional-role-and-use-customer-retention-title
JP-F13.09-PROFESSIONAL,Continuous Improvement Specialist,F13.09,Continuous Improvement Specialist,JOB-CONTINUOUS-IMPROVEMENT,reconciled-compose-into-continuous-improvement-specialist,F13.09 and F29.08 use the same Improvement Opportunity aggregate and overlapping identify/evaluate/implement/measure activities. Treat them as Functional Role sources for one cross-functional employment job.,compose-f13-09-and-f29-08-activities-into-one-job-profile
JP-F16.13-PROFESSIONAL,Safety Incident Investigator,F16.13,IT Incident Manager,JOB-IT-INCIDENT-MANAGER,reconciled-retain-with-corrected-title,"Source title is semantically wrong: F16.13 activities detect IT incidents, restore service, communicate and close. This is IT service incident management, not safety incident investigation.",retain-functional-role-and-use-it-incident-manager-title
JP-F20.02-PROFESSIONAL,Risk Analyst,F20.02,Risk Analyst,JOB-RISK-ANALYST,reconciled-compose-into-risk-analyst,Risk Identification and Risk Assessment are successive accountabilities of one Risk Analyst employment role over the same Enterprise Risk / Assessment aggregate.,compose-f20-02-and-f20-03-activities-into-one-job-profile
JP-F20.03-PROFESSIONAL,Risk Analyst,F20.03,Risk Analyst,JOB-RISK-ANALYST,reconciled-compose-into-risk-analyst,Risk Identification and Risk Assessment are successive accountabilities of one Risk Analyst employment role over the same Enterprise Risk / Assessment aggregate.,compose-f20-02-and-f20-03-activities-into-one-job-profile
JP-F20.10-PROFESSIONAL,Internal Audit Manager,F20.10,Internal Audit Manager,JOB-INTERNAL-AUDIT-MANAGER,reconciled-compose-into-internal-audit-manager,Internal Audit Planning and Audit Reporting are lifecycle responsibilities of one Internal Audit Manager role. F20.11 Internal Auditor remains a distinct execution role.,compose-f20-10-and-f20-12-and-define-manager-vs-auditor-handoff
JP-F20.12-PROFESSIONAL,Internal Audit Manager,F20.12,Internal Audit Manager,JOB-INTERNAL-AUDIT-MANAGER,reconciled-compose-into-internal-audit-manager,Internal Audit Planning and Audit Reporting are lifecycle responsibilities of one Internal Audit Manager role. F20.11 Internal Auditor remains a distinct execution role.,compose-f20-10-and-f20-12-and-define-manager-vs-auditor-handoff
JP-F21.08-PROFESSIONAL,Information Retention Specialist,F21.08,Information Retention Specialist,JOB-INFORMATION-RETENTION,reconciled-retain-employment-profile,"F21.08 explicitly defines retention schedules, applies retention and destroys information. The source title is semantically correct and distinct from F08 customer retention.",define-retention-schedule-disposition-work-products
JP-F24.07-PROFESSIONAL,Crisis Communications Manager,F24.07,Crisis Communications Manager,JOB-CRISIS-COMMS,reconciled-compose-into-crisis-communications-manager,F24.07 governs crisis-response messaging and notification while F25.12 governs communications response and media monitoring. These are complementary Functional Roles in one crisis communications employment job.,compose-f24-07-and-f25-12-with-crisis-and-communications-aggregate-boundaries
JP-F25.12-PROFESSIONAL,Crisis Communications Manager,F25.12,Crisis Communications Manager,JOB-CRISIS-COMMS,reconciled-compose-into-crisis-communications-manager,F24.07 governs crisis-response messaging and notification while F25.12 governs communications response and media monitoring. These are complementary Functional Roles in one crisis communications employment job.,compose-f24-07-and-f25-12-with-crisis-and-communications-aggregate-boundaries
JP-F29.03-PROFESSIONAL,Business Process Analyst,F29.03,Business Process Analyst,JOB-BUSINESS-PROCESS-ANALYST,reconciled-compose-into-business-process-analyst,Process Modelling and Process Analysis are complementary accountabilities of one Business Process Analyst employment role.,compose-f29-03-and-f29-04-activities-into-one-job-profile
JP-F29.04-PROFESSIONAL,Business Process Analyst,F29.04,Business Process Analyst,JOB-BUSINESS-PROCESS-ANALYST,reconciled-compose-into-business-process-analyst,Process Modelling and Process Analysis are complementary accountabilities of one Business Process Analyst employment role.,compose-f29-03-and-f29-04-activities-into-one-job-profile
JP-F29.08-PROFESSIONAL,Continuous Improvement Specialist,F29.08,Continuous Improvement Specialist,JOB-CONTINUOUS-IMPROVEMENT,reconciled-compose-into-continuous-improvement-specialist,F13.09 and F29.08 use the same Improvement Opportunity aggregate and overlapping identify/evaluate/implement/measure activities. Treat them as Functional Role sources for one cross-functional employment job.,compose-f13-09-and-f29-08-activities-into-one-job-profile
