concept,identity_or_scope,lifecycle_or_status,context_dependency,relationship,canonical_interpretation,status
Organisation,"Business/participant identity",Independent Organisation semantics,Organisation context,"Referenced when creating Supplier","Supplier is tied to an Organisation but is not merely the Organisation row",VERIFIED
Supplier,"Supplier relationship/entity for manufacturer or vendor","In Work; Released; Canceled","Organisation-scoped supplier administration","References supplier Organisation; supplies Parts","Supplier lifecycle does not equal Part sourcing approval",VERIFIED
OEM Part,"Internal/OEM item identity","Normal Part version/lifecycle","Product/Library and sourcing context influence","Links to Manufacturer/Vendor Parts","Item needing sourced alternatives",VERIFIED
Manufacturer Part,"Supplier item identity","Part semantics","Approval varies by Sourcing Context","Can link OEM Part and Vendor Parts","Manufacturer-specific supplied item",VERIFIED
Vendor Part,"Supplier item identity","Part semantics","Approval varies by Sourcing Context","Can link Manufacturer or OEM Part","Vendor/distributor-specific supplied item",VERIFIED
AML/AVL Entry,"OEM-to-supplier-Part sourcing relationship","Sourcing Status: Preferred/Approved/Do Not Use plus configured values","Yes; Sourcing Context","Connects OEM Part and supplier Part","Approval belongs to contextual relationship",VERIFIED
Sourcing Context,"Conditional sourcing scope","Administrative object status/attributes","Defines geography/product-line/etc condition set","Scopes AML/AVL and rules","Not the same as Product/Project administrative Context",VERIFIED
Sourcing Rule,"Automation rule","Active/Disabled/Executing","Criteria can include Sourcing Context/Supplier/classification","Writes default or bulk sourcing status","Rule state separate from sourcing approval result",VERIFIED
Part Request,"Governed request object","Lifecycle + workflow; iterated and revisable","Created in Product/Library","Can result in approved/released OEM Part with supplier/source evidence","Demand-to-approved-part process is separate from Supplier lifecycle",VERIFIED
Supplier Qualification Assessment,"Broader supplier qualification record/process","Expected qualification/review/expiry lifecycle","Likely category/project/region context","Would qualify Supplier/Service scope","Not established as first-class Windchill Supplier Management semantic",GAP_FOR_NUBLOX_CBE
Supplier Performance,"Performance/scorecard evidence","Expected assessment-period lifecycle","Supplier/category/project/contract dependent","Evaluates Supplier relationship","Not established as first-class Windchill Supplier Management semantic",GAP_FOR_NUBLOX_CBE
