job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,work_product_family,exact_activity_ids,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
EJOB-F07.02-PROFESSIONAL,Account Manager,,"Commercial, Customer & Supply Chain — F07",JP-F07.02-PROFESSIONAL,reconciled-employment-profile,WP-W6-F07.02-PROFESSIONAL-001,Account Setup Record,EXECUTION RECORD,F07.02.A01,NATIVE,Operate,Customer|Account|Opportunity|Quote|Bid|Contract|Order,F07,Account / Partner Plan [AGG-03-ACCOUNT-PLAN],Execution Record|Evidence Panel,marketing-qualified demand|customer/account data|pricing/product definitions|authority/contract policy,contract/order fulfilment|customer onboarding|finance/revenue|delivery operations,Attributable who/what/when/result record with source context and evidence,candidate-explicit
EJOB-F07.02-PROFESSIONAL,Account Manager,,"Commercial, Customer & Supply Chain — F07",JP-F07.02-PROFESSIONAL,reconciled-employment-profile,WP-W6-F07.02-PROFESSIONAL-002,Account Classification,CONTROLLED INFORMATION,F07.02.A02,NATIVE,Operate,Customer|Account|Opportunity|Quote|Bid|Contract|Order,F07,Account / Partner Plan [AGG-03-ACCOUNT-PLAN],Controlled Document Editor|Object Workspace,marketing-qualified demand|customer/account data|pricing/product definitions|authority/contract policy,contract/order fulfilment|customer onboarding|finance/revenue|delivery operations,"Controlled revision with author, reviewer, approver, issue/effective date and supersession provenance",candidate-explicit
EJOB-F07.02-PROFESSIONAL,Account Manager,,"Commercial, Customer & Supply Chain — F07",JP-F07.02-PROFESSIONAL,reconciled-employment-profile,WP-W6-F07.02-PROFESSIONAL-003,Account Plan,PLAN / STRATEGY,F07.02.A03,NATIVE,Operate,Customer|Account|Opportunity|Quote|Bid|Contract|Order,F07,Account / Partner Plan [AGG-03-ACCOUNT-PLAN],Object Workspace|Structure Browser|Enterprise Grid,marketing-qualified demand|customer/account data|pricing/product definitions|authority/contract policy,contract/order fulfilment|customer onboarding|finance/revenue|delivery operations,"Versioned plan/strategy with assumptions, ownership, review, approval and effective-date provenance",candidate-explicit
EJOB-F07.02-PROFESSIONAL,Account Manager,,"Commercial, Customer & Supply Chain — F07",JP-F07.02-PROFESSIONAL,reconciled-employment-profile,WP-W6-F07.02-PROFESSIONAL-004,Account Relationship Review,REPORT / SNAPSHOT,F07.02.A04,NATIVE,Operate,Customer|Account|Opportunity|Quote|Bid|Contract|Order,F07,Account / Partner Plan [AGG-03-ACCOUNT-PLAN],Report Builder|Snapshot View,marketing-qualified demand|customer/account data|pricing/product definitions|authority/contract policy,contract/order fulfilment|customer onboarding|finance/revenue|delivery operations,"Point-in-time/as-of snapshot with source data, calculation/filter and publication provenance",candidate-explicit
EJOB-F07.07-PROFESSIONAL,Bid & Proposal Manager,,"Commercial, Customer & Supply Chain — F07",JP-F07.07-PROFESSIONAL,reconciled-employment-profile,WP-W6-F07.07-PROFESSIONAL-001,Tender Review / Compliance Matrix,CASE / ASSESSMENT,F07.07.A01,NATIVE,Operate,Customer|Account|Opportunity|Quote|Bid|Contract|Order,F07,Pursuit / Bid [AGG-03-PURSUIT],Case Workspace|Assessment Form|Evidence Panel,marketing-qualified demand|customer/account data|pricing/product definitions|authority/contract policy,contract/order fulfilment|customer onboarding|finance/revenue|delivery operations,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F07.07-PROFESSIONAL,Bid & Proposal Manager,,"Commercial, Customer & Supply Chain — F07",JP-F07.07-PROFESSIONAL,reconciled-employment-profile,WP-W6-F07.07-PROFESSIONAL-002,Bid / No-Bid Decision,DECISION / APPROVAL,F07.07.A02,NATIVE,Operate,Customer|Account|Opportunity|Quote|Bid|Contract|Order,F07,Pursuit / Bid [AGG-03-PURSUIT],Decision Workspace|Approval Panel,marketing-qualified demand|customer/account data|pricing/product definitions|authority/contract policy,contract/order fulfilment|customer onboarding|finance/revenue|delivery operations,"Decision, approver/authority, rationale, conditions, date and affected objects",candidate-explicit
EJOB-F07.07-PROFESSIONAL,Bid & Proposal Manager,,"Commercial, Customer & Supply Chain — F07",JP-F07.07-PROFESSIONAL,reconciled-employment-profile,WP-W6-F07.07-PROFESSIONAL-003,Proposal / Bid Response,CONTROLLED INFORMATION,F07.07.A03,NATIVE,Operate,Customer|Account|Opportunity|Quote|Bid|Contract|Order,F07,Pursuit / Bid [AGG-03-PURSUIT],Controlled Document Editor|Object Workspace,marketing-qualified demand|customer/account data|pricing/product definitions|authority/contract policy,contract/order fulfilment|customer onboarding|finance/revenue|delivery operations,"Controlled revision with author, reviewer, approver, issue/effective date and supersession provenance",candidate-explicit
EJOB-F07.07-PROFESSIONAL,Bid & Proposal Manager,,"Commercial, Customer & Supply Chain — F07",JP-F07.07-PROFESSIONAL,reconciled-employment-profile,WP-W6-F07.07-PROFESSIONAL-004,Proposal Approval,DECISION / APPROVAL,F07.07.A04,NATIVE,Operate,Customer|Account|Opportunity|Quote|Bid|Contract|Order,F07,Pursuit / Bid [AGG-03-PURSUIT],Decision Workspace|Approval Panel,marketing-qualified demand|customer/account data|pricing/product definitions|authority/contract policy,contract/order fulfilment|customer onboarding|finance/revenue|delivery operations,"Decision, approver/authority, rationale, conditions, date and affected objects",candidate-explicit
EJOB-F07.07-PROFESSIONAL,Bid & Proposal Manager,,"Commercial, Customer & Supply Chain — F07",JP-F07.07-PROFESSIONAL,reconciled-employment-profile,WP-W6-F07.07-PROFESSIONAL-005,Bid Submission Record,EXECUTION RECORD,F07.07.A05,NATIVE,Operate,Customer|Account|Opportunity|Quote|Bid|Contract|Order,F07,Pursuit / Bid [AGG-03-PURSUIT],Execution Record|Evidence Panel,marketing-qualified demand|customer/account data|pricing/product definitions|authority/contract policy,contract/order fulfilment|customer onboarding|finance/revenue|delivery operations,Attributable who/what/when/result record with source context and evidence,candidate-explicit
EJOB-F07.03-PROFESSIONAL,Business Development Manager,,"Commercial, Customer & Supply Chain — F07",JP-F07.03-PROFESSIONAL,reconciled-employment-profile,WP-W6-F07.03-PROFESSIONAL-001,Sales Opportunity Record,CASE / ASSESSMENT,F07.03.A01,NATIVE,Operate,Customer|Account|Opportunity|Quote|Bid|Contract|Order,F07,Opportunity / Pipeline [AGG-03-OPPORTUNITY],Case Workspace|Assessment Form|Evidence Panel,marketing-qualified demand|customer/account data|pricing/product definitions|authority/contract policy,contract/order fulfilment|customer onboarding|finance/revenue|delivery operations,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
