capability_id,function_code,function_name,l2_id,l2_name,activity_sequence,activity_name,work_pattern,native_engine_ids,shared_platform_engine_ids,canonical_object_mapping_status,implementation_reconciliation_status,effective_date
"NCC-F01.01-001","F01","Strategy & Enterprise Planning","F01.01","Vision & purpose","1","Define purpose","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.01-002","F01","Strategy & Enterprise Planning","F01.01","Vision & purpose","2","define vision","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.01-003","F01","Strategy & Enterprise Planning","F01.01","Vision & purpose","3","establish mission","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.01-004","F01","Strategy & Enterprise Planning","F01.01","Vision & purpose","4","communicate direction","COMMUNICATE_PUBLISH","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.01-005","F01","Strategy & Enterprise Planning","F01.01","Vision & purpose","5","review relevance","OPERATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.02-001","F01","Strategy & Enterprise Planning","F01.02","Environmental analysis","1","Monitor economic conditions","ANALYSE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.02-002","F01","Strategy & Enterprise Planning","F01.02","Environmental analysis","2","analyse competitors","ANALYSE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.02-003","F01","Strategy & Enterprise Planning","F01.02","Environmental analysis","3","assess markets","ANALYSE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.02-004","F01","Strategy & Enterprise Planning","F01.02","Environmental analysis","4","analyse technology trends","ANALYSE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.02-005","F01","Strategy & Enterprise Planning","F01.02","Environmental analysis","5","analyse regulatory environment","ANALYSE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.02-006","F01","Strategy & Enterprise Planning","F01.02","Environmental analysis","6","identify opportunities/threats","OPERATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.03-001","F01","Strategy & Enterprise Planning","F01.03","Strategic planning","1","Define objectives","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.03-002","F01","Strategy & Enterprise Planning","F01.03","Strategic planning","2","develop strategic options","AUTHOR_CREATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.03-003","F01","Strategy & Enterprise Planning","F01.03","Strategic planning","3","evaluate scenarios","PLAN_OPTIMISE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.03-004","F01","Strategy & Enterprise Planning","F01.03","Strategic planning","4","select strategy","OPERATE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
"NCC-F01.03-005","F01","Strategy & Enterprise Planning","F01.03","Strategic planning","5","establish strategic priorities","PLAN_OPTIMISE","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","CANONICAL_OBJECT_MAPPING_PENDING","IMPLEMENTATION_RECONCILIATION_PENDING","2026-09-21"
