recon_id,windchill_help_branch,coverage_ids,canonical_significance,residual_status
TOC-001,Fundamentals and common UI/object behaviour,"WHC-001; WHC-017; WHC-035","Common context/search/folder/task/object/version semantics",COVERED
TOC-002,Contexts Product Library Project Program,"WHC-002; WHC-004; WHC-005; WHC-025; WHC-026","Administrative/work contexts participation planning and cross-context exchange",COVERED
TOC-003,Participant Organization and Site Administration,"WHC-003; WHC-004; WHC-006; WHC-007; WHC-013","Principals organisations teams policies profiles preferences",COVERED
TOC-004,Types Attributes Classification and Object Initialization,"WHC-009; WHC-010; WHC-012","Metadata taxonomy constraints defaults and subtype administration",COVERED
TOC-005,Templates,"WHC-005; WHC-011; WHC-014; WHC-015","Context team lifecycle workflow document report and task-form definitions",COVERED
TOC-006,Access Control Security Labels Agreements and Profiles,"WHC-006; WHC-007; WHC-008","Authorization visibility classification clearance and agreements",COVERED
TOC-007,Life Cycle Workflow Tasks and Promotion,"WHC-014; WHC-015; WHC-016","State transition runtime work routing decisions and maturity",COVERED
TOC-008,Parts Product Structures Versions and Configuration,"WHC-017; WHC-019; WHC-021; WHC-022; WHC-023; WHC-047","Definition structure configuration applicability baselines variants and physical instances",COVERED
TOC-009,CAD Documents Workspaces and CAD-Part Build,"WHC-018; WHC-020","Authoring state CAD structures association/build/synchronisation",COVERED
TOC-010,Change Management,"WHC-024","Problem/change objects redlines concurrency merge and disposition",COVERED
TOC-011,Project and Program Planning,"WHC-025","Plans activities resources assignments deliverables risks and baselines",COVERED
TOC-012,Project/PDM Interoperability,"WHC-026","Share PDM checkout Send-to-PDM copy authority and provenance",COVERED
TOC-013,Packages and Received Deliveries,"WHC-027; WHC-041","Governed exchange delivery mapping source authority and import transactions",COVERED
TOC-014,Service Information and Service Parts,"WHC-028","Information/publication structures parts lists applicability and publishing",COVERED
TOC-015,Supplier Management and Sourcing,"WHC-029","Supplier identity lifecycle sourcing contexts AML/AVL and source approval",COVERED
TOC-016,Manufacturing Process Management and Factory,"WHC-030","eBOM/mBOM process plans operations resources plants control characteristics and manufacturing data",COVERED
TOC-017,Quality Management Solutions,"WHC-031; WHC-032; WHC-033","NC CAPA audit customer experience document/training/design/regulatory controls",COVERED
