job_profile_id,source_status,title,job_family_id,level,purpose,function_ids,subfunction_ids,primary_functional_role_ids,secondary_functional_role_ids,source_activity_count,candidate_expected_outputs,work_product_decomposition_state,authoring_mode_state,canonical_mapping_state,job_workbench_state,role_acceptance_state,source_repository,source_profile_path,source_profile_sha,source_role_path,source_role_sha
JP-F01-FUNCTION-LEAD,candidate,Head of Strategy & Enterprise Planning,JF-F01,head,"Provide accountable leadership for Strategy & Enterprise Planning, establishing direction, governance, resources, controls and performance expectations across the function.",F01,F01.01|F01.02|F01.03|F01.04|F01.05|F01.06|F01.07|F01.08,FR-F01.01|FR-F01.02|FR-F01.03|FR-F01.04|FR-F01.05|FR-F01.06|FR-F01.07|FR-F01.08,,41,"Strategy & Enterprise Planning strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F01.01-PROFESSIONAL,candidate,Strategy & Purpose Specialist,JF-F01,professional,"Perform and continuously improve vision & purpose work within Strategy & Enterprise Planning, producing controlled, timely and decision-useful outcomes.",F01,F01.01,FR-F01.01,,5,"Vision & Purpose plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F01.02-PROFESSIONAL,candidate,Strategic Analysis Specialist,JF-F01,professional,"Perform and continuously improve environmental analysis work within Strategy & Enterprise Planning, producing controlled, timely and decision-useful outcomes.",F01,F01.02,FR-F01.02,,6,"Environmental Analysis plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F01.03-PROFESSIONAL,candidate,Strategic Planning Manager,JF-F01,professional,"Perform and continuously improve strategic planning work within Strategy & Enterprise Planning, producing controlled, timely and decision-useful outcomes.",F01,F01.03,FR-F01.03,,5,"Strategic Planning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F01.04-PROFESSIONAL,candidate,Business Planning Manager,JF-F01,professional,"Perform and continuously improve business planning work within Strategy & Enterprise Planning, producing controlled, timely and decision-useful outcomes.",F01,F01.04,FR-F01.04,,5,"Business Planning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F01.05-PROFESSIONAL,candidate,Operating Model Specialist,JF-F01,professional,"Perform and continuously improve operating model work within Strategy & Enterprise Planning, producing controlled, timely and decision-useful outcomes.",F01,F01.05,FR-F01.05,,5,"Operating Model plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F01.06-PROFESSIONAL,candidate,Performance & KPI Manager,JF-F01,professional,"Perform and continuously improve goal & kpi management work within Strategy & Enterprise Planning, producing controlled, timely and decision-useful outcomes.",F01,F01.06,FR-F01.06,,6,"Goal & KPI Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F01.07-PROFESSIONAL,candidate,Strategy Performance Manager,JF-F01,professional,"Perform and continuously improve strategic review work within Strategy & Enterprise Planning, producing controlled, timely and decision-useful outcomes.",F01,F01.07,FR-F01.07,,5,"Strategic Review plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F01.08-PROFESSIONAL,candidate,Scenario & Foresight Specialist,JF-F01,professional,"Perform and continuously improve scenario & foresight planning work within Strategy & Enterprise Planning, producing controlled, timely and decision-useful outcomes.",F01,F01.08,FR-F01.08,,4,"Scenario & Foresight Planning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F02-FUNCTION-LEAD,candidate,Head of Corporate Governance,JF-F02,head,"Provide accountable leadership for Corporate Governance, establishing direction, governance, resources, controls and performance expectations across the function.",F02,F02.01|F02.02|F02.03|F02.04|F02.05|F02.06|F02.07,FR-F02.01|FR-F02.02|FR-F02.03|FR-F02.04|FR-F02.05|FR-F02.06|FR-F02.07,,31,"Corporate Governance strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F02.01-PROFESSIONAL,candidate,Board Governance Manager,JF-F02,professional,"Perform and continuously improve board governance work within Corporate Governance, producing controlled, timely and decision-useful outcomes.",F02,F02.01,FR-F02.01,,5,"Board Governance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F02.02-PROFESSIONAL,candidate,Governance Framework Specialist,JF-F02,professional,"Perform and continuously improve governance framework work within Corporate Governance, producing controlled, timely and decision-useful outcomes.",F02,F02.02,FR-F02.02,,4,"Governance Framework plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F02.03-PROFESSIONAL,candidate,Delegation of Authority Specialist,JF-F02,professional,"Perform and continuously improve delegation of authority work within Corporate Governance, producing controlled, timely and decision-useful outcomes.",F02,F02.03,FR-F02.03,,4,"Delegation of Authority plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F02.04-PROFESSIONAL,candidate,Executive Governance Manager,JF-F02,professional,"Perform and continuously improve executive management work within Corporate Governance, producing controlled, timely and decision-useful outcomes.",F02,F02.04,FR-F02.04,,4,"Executive Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F02.05-PROFESSIONAL,candidate,Committee Governance Specialist,JF-F02,professional,"Perform and continuously improve committee governance work within Corporate Governance, producing controlled, timely and decision-useful outcomes.",F02,F02.05,FR-F02.05,,5,"Committee Governance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
JP-F02.06-PROFESSIONAL,candidate,Policy Governance Specialist,JF-F02,professional,"Perform and continuously improve policy governance work within Corporate Governance, producing controlled, timely and decision-useful outcomes.",F02,F02.06,FR-F02.06,,5,"Policy Governance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",required,unclassified,unmapped,not-designed,not-tested,8140spitt/NuBlox-Digital-Applications,docs/architecture/job-architecture/generated/job-profiles.generated.json,1818ff2048cb3969ff588e733fd634963e0b6587,docs/architecture/job-architecture/generated/functional-roles.generated.json,26fb7ed859f9b14dc4c1778b174aa476ab53b7e8
