source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F01-FUNCTION-LEAD,Head of Strategy & Enterprise Planning,head,JF-F01,F01,F01.01|F01.02|F01.03|F01.04|F01.05|F01.06|F01.07|F01.08,41,"Strategy & Enterprise Planning strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F02-FUNCTION-LEAD,Head of Corporate Governance,head,JF-F02,F02,F02.01|F02.02|F02.03|F02.04|F02.05|F02.06|F02.07,31,"Corporate Governance strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F03-FUNCTION-LEAD,Head of Enterprise Performance,head,JF-F03,F03,F03.01|F03.02|F03.03|F03.04|F03.05|F03.06,24,"Enterprise Performance Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F04-FUNCTION-LEAD,Head of Corporate Development,head,JF-F04,F04,F04.01|F04.02|F04.03|F04.04|F04.05|F04.06|F04.07,33,"Corporate Development & M&A strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F05-FUNCTION-LEAD,"Head of Product, Service & Innovation",head,JF-F05,F05,F05.01|F05.02|F05.03|F05.04|F05.05|F05.06|F05.07|F05.08|F05.09|F05.10,46,"Product, Service & Innovation Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F06-FUNCTION-LEAD,Head of Marketing & Brand,head,JF-F06,F06,F06.01|F06.02|F06.03|F06.04|F06.05|F06.06|F06.07|F06.08|F06.09|F06.10|F06.11,53,"Marketing & Brand strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F07-FUNCTION-LEAD,Head of Sales & Commercial,head,JF-F07,F07,F07.01|F07.02|F07.03|F07.04|F07.05|F07.06|F07.07|F07.08|F07.09|F07.10|F07.11|F07.12|F07.13,66,"Sales & Commercial Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F08-FUNCTION-LEAD,Head of Customer Experience & Success,head,JF-F08,F08,F08.01|F08.02|F08.03|F08.04|F08.05|F08.06|F08.07|F08.08|F08.09|F08.10|F08.11|F08.12,56,"Customer Service, Experience & Success strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F10-FUNCTION-LEAD,Head of Supply Chain & Logistics,head,JF-F10,F10,F10.01|F10.02|F10.03|F10.04|F10.05|F10.06|F10.07|F10.08|F10.09|F10.10|F10.11|F10.12|F10.13,57,"Demand, Supply Chain & Logistics strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F11-FUNCTION-LEAD,Head of Manufacturing / Production Operations,head,JF-F11,F11,F11.01|F11.02|F11.03|F11.04|F11.05|F11.06|F11.07|F11.08|F11.09|F11.10|F11.11,45,"Manufacturing / Production Operations strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
