coverage_id,help_center_family,scope,status,primary_evidence,notes
WHC-001,Fundamentals,"contexts; search; folders; tasks; common object behaviour; checkout/checkin; move; revise; relationships",DEEP_PASS,"Windchill 12.0.2.0 Help Center TOC lines 404+","Context and common object semantics substantially mapped; remaining minor collaboration utilities pending"
WHC-002,Contexts & inheritance,"Site; Organisation; Product; Library; Project; Program; inheritance",DEEP_PASS,"Contexts Overview / Context Inheritance","Standard hierarchy verified; recursive NuBlox organisation hierarchy remains a separate requirement"
WHC-003,Participants & organisation administration,"users; groups; organisations; roles; participant cache",DEEP_PASS,"Organisation Administration; Participant Administration","Organisation Participant vs Organisation Context separated"
WHC-004,Teams,"context teams; shared teams; role groups; team synchronisation",DEEP_PASS,"Teams branch; windchill-context-team-participation-model.md","Exact Group vs Shared Team vs Context Team vs Object Team roles, system groups, local extension and manager semantics documented"
WHC-005,Team templates & role resolution,"team templates; object type association; lifecycle/context/workflow role resolution",DEEP_PASS,"Team Template Administration; windchill-context-team-participation-model.md","Default six-step object-team role-resolution order documented; ProjectLink Team Template exclusion verified"
WHC-006,Access control & policy domains,"domain hierarchy; policy inheritance; dynamic roles; grant/deny/absolute-deny; ad-hoc ACL; administrative lock",DEEP_PASS,"Policy Administration; Access Control; windchill-context-team-participation-model.md; windchill-access-control-composition-model.md","Core domain/type/state inheritance, dynamic-role resolution, policy/ad-hoc composition and permission-precedence matrix closed; installation-specific rule catalogues remain configuration detail"
WHC-007,Profiles & UI visibility,"standard profiles; action visibility; attribute visibility; profile composition; context-role overrides; license profiles",DEEP_PASS,"Profiles / Role-based Visibility","Standard-profile composition, context-role visibility and entitlement-layer distinction mapped; vendor license catalogue changes remain out of architectural scope"
WHC-008,Security labels & agreements,"security-label values; authorised participants; permissions + clearance; standard/context agreements; revisions; lifecycle states; effective dates/status; audit/export integration",DEEP_PASS,"Security Labels and Agreements","Core clearance/agreement/effective-status model mapped; deployment-specific custom evaluator/translator code remains implementation detail"
WHC-009,Types & attributes,"types; subtypes; reusable attributes; constraints; associations",DEEP_PASS,"Type and Attribute Management","Detailed subtype inheritance matrix still pending"
WHC-010,Classification / PartsLink,"classification trees; nodes; attributes; constraints; units; similar-part reuse",DEEP_PASS,"Windchill PartsLink","Core taxonomy/reuse model mapped"
WHC-011,Templates,"context; team; lifecycle; workflow; document; CAD; report; task-form templates",DEEP_PASS,"Templates / administration branches","Template-type-by-context availability matrix pending"
WHC-012,Object Initialization Rules,"creation defaults; numbering; lifecycle; team; version scheme; inheritance",DEEP_PASS,"OIR Administration","Composite/final/ignore rule details still being traced"
WHC-013,Preferences,"Site/Organisation/application-context/user values; inheritance; override; lock; child-instance reset; defaults",DEEP_PASS,"Preference Management","Core effective-value/inheritance/locking model mapped; individual product preference catalogue intentionally not enumerated"
WHC-014,Lifecycle management,"states; phases; transitions; roles; access; promotion",DEEP_PASS,"Life Cycle Administration","Core model mapped"
WHC-015,Workflow,"process templates; activities; tasks; resource pools; routing; decisions; history; health; queues",DEEP_PASS,"Workflow Administration","Core definition/iteration/instance/activity/task/participant/routing/voting/ad-hoc/health/security/queue model mapped; low-level customization details remain"
WHC-016,Promotion & maturity,"promotion request; baseline; review/approval; business-rule gates",DEEP_PASS,"Promotion Requests; Business Rules","Separated from Change Management"
WHC-017,Revision / iteration / version,"master; checkin iteration; revise revision; Product/Library vs Project/Program; view-specific version; independent view revision sequence; configuration selection; relationship carry-forward",DEEP_PASS,"Common PDM / version control / Working with Views; windchill-version-configuration-semantics.md","Core semantics documented; Managed Baseline, Managed Collection, Plan Baseline, Option Set and Service Structure edge families deepened; Change, Choice Rule 12.0.2 exact page, Quality and MPMLink edge pass remains"
WHC-018,Workspaces & commonspace,"working copies; checkout; update; conflicts; configuration specs",DEEP_PASS,"CAD Data Management / Workgroup Manager","Core authoring-state model mapped"
WHC-019,Parts & product structures,"part master/version; usage links; occurrences; replacements; structures",DEEP_PASS,"Configuration and Change Management Overview","Core structure model mapped"
WHC-020,CAD documents & Part associations,"CAD structure; CAD Document; Part; Owner; Contributing Image; Image; Contributing Content; Content; build links; build triggers; compare/reconcile; deleted occurrences; top-down/reverse build; design context",DEEP_PASS,"Managing CAD and Part Relationships / Managing CAD and Part Structures; windchill-cad-part-association-build-model.md","Exact association-to-Structure/Attribute/Representation build-link matrix and core synchronisation/reconciliation semantics closed; CAD-tool-specific exceptions remain integration detail"
WHC-021,Configuration & effectivity,"Latest; As Matured; Baseline; Change; Unit Effectivity; Date Effectivity; Promotion Request; As Stored; saved/navigation criteria; unresolved fallback",DEEP_PASS,"Part Structure filters / Configuration Specifications; windchill-configuration-effectivity-resolution-model.md","Core version-resolution authority matrix closed; product-area-specific filter-order and advanced applicability combinations remain detail"
WHC-022,Options / variants / product families,"option pools; choices; global/local rules; option sets; configurable modules; expressions; advanced logic; variant specifications; product families; variant baselines; dynamic positioning",DEEP_PASS,"Options and Variants / Product Family Management","Core object/rule/configuration/reuse/product-family/baseline/positioning model mapped; solver implementation/customization details remain"
WHC-023,Baselines & managed collections,"managed baseline; project baseline; managed collection; compare",DEEP_PASS,"Baseline / Managed Collections","Core distinctions mapped"
WHC-024,Change Management,"problem report; change request; change notice; change task; affected/resulting; redlines; parallel proposed-change branches; merge; synchronization/rebase; Suspect conflicts; disposition",DEEP_PASS,"Managing Product Change; windchill-change-redline-concurrency-model.md","Core object graph plus concurrent Redline iteration/merge/rebase and granular conflict-resolution matrix closed; remaining work is change-object cardinalities, intent/disposition variants and object-family version semantics"
WHC-025,Project / Program plans,"plans; summary activities; activities; milestones; subplans; dependencies; constraints; resources; assignments; schedule calculation; capacity; status/risk; execution; action items; deliverables; subjects; plan baselines; templates",DEEP_PASS,"Project/Program Planning","Core planning/scheduling/resource/execution/deliverable/version-tracking/baseline model mapped; low-level custom scheduling algorithms remain"
WHC-026,Cross-context Project/PDM exchange,"share; PDM checkout; copy; Send to PDM; project baseline; out-of-sync/deprecated",DEEP_PASS,"InteropShareTypes / InteropStates","Core authority/provenance model mapped"
WHC-027,Packages & Received Deliveries,"Package; Delivery; Received Delivery; replication; sender authority; target lock; context/org/view/lifecycle/folder/version/security mapping; preview/conflict/import; accept/reject; incremental New/Changed/Deleted/Absent; partial transactions",DEEP_PASS,"Packages branch; windchill-package-received-delivery-authority-model.md","Core exchange, mapped-import, source-authority and incremental-delta semantics closed; supported-object/product-specific edge coverage remains implementation detail"
WHC-028,Service Information Management,"information structures; publication structures; parts lists; service hierarchy; applicability; publishing",DEEP_PASS,"Additional Capabilities → Service Information Management","Core downstream/service model mapped"
WHC-029,Supplier Management,"supplier organisations; supplier lifecycle; manufacturer/vendor/OEM parts; AML/AVL; relationship-scoped sourcing status; sourcing context; sourcing rules; part requests",DEEP_PASS,"Windchill Supplier Management; windchill-supplier-sourcing-model.md","Core supplier/sourcing graph closed: supplier lifecycle is distinct from contextual supplier-part approval; broader qualification, audit, compliance and performance assessment remains a genuine NuBlox/CBE gap requiring external SRM/construction benchmarking"
