employment_job_id,job_title,catalogue_source,source_job_profile_ids,source_reconciliation_states,source_titles,wave_archetype_ids,external_career_indexes,domain,function_ids,job_level,work_product_state,activity_mapping_state,canonical_mapping_state,job_workbench_state,acceptance_state,notes,explicit_work_product_count
EJOB-F15.18-PROFESSIONAL,Absence Management Specialist,source-reconciled,JP-F15.18-PROFESSIONAL,reconciled-retain-employment-profile,Absence Management Specialist,,,,F15,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 8 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-data/authority/Job Workbench acceptance still require validation.,3
EJOB-F07.02-PROFESSIONAL,Account Manager,source-reconciled,JP-F07.02-PROFESSIONAL,reconciled-retain-employment-profile,Account Manager,,,,F07,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 6 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-F14.05-PROFESSIONAL,Accounts Payable Specialist,source-reconciled,JP-F14.05-PROFESSIONAL,reconciled-retain-employment-profile,Accounts Payable Specialist,,,,F14,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 7 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
EJOB-F14.06-PROFESSIONAL,Accounts Receivable Specialist,source-reconciled,JP-F14.06-PROFESSIONAL,reconciled-retain-employment-profile,Accounts Receivable Specialist,,,,F14,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 7 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-ACOU,Acoustics Consultant,wave-archetype,,,,JOB-ACOU,1,Engineering & Technical Design,,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-F28.06-PROFESSIONAL,Adoption Manager,source-reconciled,JP-F28.06-PROFESSIONAL,reconciled-retain-employment-profile,Adoption Manager,,,,F28,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 10 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,4
EJOB-AGCON,Agricultural Contractor,wave-archetype,,,,JOB-AGCON,2,"Infrastructure, Land & Rural",,professional-or-trade,candidate-work-product-treatment-defined,candidate-subfunction-map-only,candidate-only,not-designed,not-tested,Wave job has no direct source Job Profile counterpart.,candidate-count-in-wave-register
EJOB-F17.12-PROFESSIONAL,AI Engineer,source-reconciled,JP-F17.12-PROFESSIONAL,reconciled-retain-employment-profile,AI Engineer,,,,F17,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 8 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-data/authority/Job Workbench acceptance still require validation.,4
EJOB-F17.13-PROFESSIONAL,AI Governance Specialist,source-reconciled,JP-F17.13-PROFESSIONAL,reconciled-retain-employment-profile,AI Governance Specialist,,,,F17,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 8 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/restricted-data/authority/Job Workbench acceptance still require validation.,5
EJOB-F25.09-PROFESSIONAL,Annual Reporting Manager,source-reconciled,JP-F25.09-PROFESSIONAL,reconciled-retain-employment-profile,Annual Reporting Manager,,,,F25,professional,candidate-explicit-work-products-defined,exact-activity-map-defined,candidate-object-map-defined,not-designed,not-tested,Wave 10 explicit Work Products defined with exact source-activity trace; canonical ownership/lifecycle/authority/Job Workbench acceptance still require validation.,5
