source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F15.01-PROFESSIONAL,People Strategy Manager,professional,JF-F15,F15,F15.01,4,"People Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.02-PROFESSIONAL,Workforce Planning Specialist,professional,JF-F15,F15,F15.02,4,"Workforce Planning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.03-PROFESSIONAL,Organisation Design Specialist,professional,JF-F15,F15,F15.03,4,"Organisation Design plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.04-PROFESSIONAL,Job Architecture Specialist,professional,JF-F15,F15,F15.04,4,"Job Architecture plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.05-PROFESSIONAL,Talent Acquisition Specialist,professional,JF-F15,F15,F15.05,7,"Recruitment plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.06-PROFESSIONAL,Pre-Employment Screening Specialist,professional,JF-F15,F15,F15.06,4,"Pre-employment plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.07-PROFESSIONAL,Employee Onboarding Specialist,professional,JF-F15,F15,F15.07,4,"Onboarding plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.08-PROFESSIONAL,HR Operations Specialist,professional,JF-F15,F15,F15.08,4,"Employee Administration plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.09-PROFESSIONAL,Time & Attendance Specialist,professional,JF-F15,F15,F15.09,5,"Time & Attendance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
JP-F15.10-PROFESSIONAL,Payroll Specialist,professional,JF-F15,F15,F15.10,6,"Payroll plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F15 source title and accountability describe a coherent independently employable HR/HCM specialist role. Retain as a reusable Job Profile candidate while separating Person, Worker Relationship, Position, Job Profile, recruitment/case and payroll/benefit truth.",decompose-f15-role-work-products-and-validate-hcm-person-worker-position-job-case-payroll-boundaries
