tool_product,job_mapping_count,classification,canonical_capability_pattern,existing_anchor_products,deep_verification_status,architecture_treatment,verified_date
LenelS2 OnGuard,2,ALTERNATIVE_PRODUCT_PATTERN,Physical security / access control / security-system design,Genetec Security Center,DEEP_VERIFIED,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Matterport,2,NEW_CAPABILITY_PATTERN,Immersive reality-capture digital twin / scan-to-BIM,Autodesk ReCap Pro; Agisoft Metashape,DEEP_VERIFIED,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
MeasureSquare,2,NEW_CAPABILITY_PATTERN,Trade-specific flooring takeoff / layout / waste optimisation,RIB CostX; Autodesk Takeoff,DEEP_VERIFIED,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
Microvellum,2,ALTERNATIVE_PRODUCT_PATTERN,Furniture/cabinet design-to-manufacturing / CNC,Hexagon Cabinet Vision; Autodesk Fusion; Cyncly 3CAD,DEEP_VERIFIED,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
MRI Horizon,2,ALTERNATIVE_PRODUCT_PATTERN,Property / lease / facilities / IWMS operations,Planon IWMS; Eptura / Archibus,DEEP_VERIFIED,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Oracle Primavera Unifier,2,ALTERNATIVE_PRODUCT_PATTERN,Capital project controls / contract / change administration,Oracle Primavera Unifier; Procore,DEEP_VERIFIED,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Planon IWMS,2,ALTERNATIVE_PRODUCT_PATTERN,Property / lease / facilities / IWMS operations,Planon IWMS; Eptura / Archibus,DEEP_VERIFIED,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Re-Leased,2,ALTERNATIVE_PRODUCT_PATTERN,Property / lease / facilities / IWMS operations,Planon IWMS; Eptura / Archibus,DEEP_VERIFIED,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Rhino,2,NEW_CAPABILITY_PATTERN,Freeform NURBS/SubD and computational design,Rhino,DEEP_VERIFIED,Assess whether canonical NuBlox tool/object/calculation pattern must be added or extended.,2026-09-21
RIB Candy,2,ALTERNATIVE_PRODUCT_PATTERN,Construction takeoff / estimating / project controls,RIB CostX; RIB Candy; Causeway Estimating; ConQuest Estimating,DEEP_VERIFIED,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Safe Software FME,2,ALTERNATIVE_PRODUCT_PATTERN,Geospatial data transformation / GIS authoring,QGIS; ArcGIS Pro,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Thinkproject CEMAR,2,ALTERNATIVE_PRODUCT_PATTERN,Capital project controls / contract / change administration,Oracle Primavera Unifier; Procore,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Topcon MAGNET,2,ALTERNATIVE_PRODUCT_PATTERN,Survey field capture / setout / as-built,Trimble Access; Trimble Siteworks,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Trimble Access,2,ALTERNATIVE_PRODUCT_PATTERN,Survey field capture / setout / as-built,Trimble Access; Trimble Siteworks,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
Trimble Field View,2,ALTERNATIVE_PRODUCT_PATTERN,Field quality / inspection / evidence,SafetyCulture; PlanRadar; Dalux Field,DISCOVERY_REQUIRES_REVIEW,Use as benchmark/equivalence evidence; do not create vendor-specific architecture.,2026-09-21
