job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,primary_subfunctions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
JOB-CCM,Construction Contracts Manager,22,"Commercial, Contracts & Cost",JP-F07.08-PROFESSIONAL|JP-F19.02-PROFESSIONAL|JP-F19.03-PROFESSIONAL,candidate-multi-profile-composition,WP-CCM-001,Contract Register / Contract Setup,NATIVE,Deliver,Contract|Project|Party,F07|F19,F07.08|F19.02|F19.03,Contract / Contract Party Role,Object Workspace|Enterprise Grid,executed agreement|party|project,Obligation / administration,"Executed basis, parties, dates and version",candidate-revalidation
JOB-CCM,Construction Contracts Manager,22,"Commercial, Contracts & Cost",JP-F07.08-PROFESSIONAL|JP-F19.02-PROFESSIONAL|JP-F19.03-PROFESSIONAL,candidate-multi-profile-composition,WP-CCM-002,Contract Obligation Register,NATIVE,Deliver,Contract|Project,F19,F19.02,Obligation,Enterprise Grid,contract clauses|amendments,Work Items / compliance / notices,"Clause basis, owner, due/effectivity and fulfilment evidence",candidate-revalidation
JOB-CCM,Construction Contracts Manager,22,"Commercial, Contracts & Cost",JP-F07.08-PROFESSIONAL|JP-F19.02-PROFESSIONAL|JP-F19.03-PROFESSIONAL,candidate-multi-profile-composition,WP-CCM-003,Contract Key Date Register,NATIVE,Deliver,Contract|Schedule,F19|F27,F19.02|F27.05,Contract Key Date,Enterprise Grid,contract|schedule milestones,Notice / action / entitlement,Contractual date and mapped schedule evidence,candidate-revalidation
JOB-CCM,Construction Contracts Manager,22,"Commercial, Contracts & Cost",JP-F07.08-PROFESSIONAL|JP-F19.02-PROFESSIONAL|JP-F19.03-PROFESSIONAL,candidate-multi-profile-composition,WP-CCM-004,Contract Notice,NATIVE,Deliver,Contract|Project,F19,F19.02,Contract Notice,Focused Form|Object Workspace,event|clause|deadline|recipient,Response / change / claim,"Issued notice, recipient and timing evidence",candidate-revalidation
JOB-CCM,Construction Contracts Manager,22,"Commercial, Contracts & Cost",JP-F07.08-PROFESSIONAL|JP-F19.02-PROFESSIONAL|JP-F19.03-PROFESSIONAL,candidate-multi-profile-composition,WP-CCM-005,Contract Instruction / Correspondence,NATIVE,Deliver,Contract|Work Package|Information Context,F19|F26,F19.02|F26.05,Information Container / Contract Correspondence,Object Workspace,authority|scope|supporting information,Execution / commercial change,Controlled issue and acknowledgement,candidate-revalidation
JOB-CCM,Construction Contracts Manager,22,"Commercial, Contracts & Cost",JP-F07.08-PROFESSIONAL|JP-F19.02-PROFESSIONAL|JP-F19.03-PROFESSIONAL,candidate-multi-profile-composition,WP-CCM-006,Commercial Change / Variation,NATIVE,Deliver,Contract|Project|Work Package,F07|F19|F27,F07.08|F19.02|F27.07,Commercial Change,Enterprise Change Workspace,instruction|event|quotation|programme effect,Decision / amendment / forecast,"Contract basis, impact and decision evidence",candidate-revalidation
JOB-CCM,Construction Contracts Manager,22,"Commercial, Contracts & Cost",JP-F07.08-PROFESSIONAL|JP-F19.02-PROFESSIONAL|JP-F19.03-PROFESSIONAL,candidate-multi-profile-composition,WP-CCM-007,Commercial Claim,NATIVE,Deliver,Contract|Project,F19,F19.02,Commercial Claim,Object Workspace|Case Workspace,notices|entitlement basis|records|programme,Assessment / dispute / settlement,"Submission, evidence, assessment and decision history",candidate-revalidation
JOB-CCM,Construction Contracts Manager,22,"Commercial, Contracts & Cost",JP-F07.08-PROFESSIONAL|JP-F19.02-PROFESSIONAL|JP-F19.03-PROFESSIONAL,candidate-multi-profile-composition,WP-CCM-008,Application / Valuation Administration,NATIVE,Deliver,Contract|Payment Period,F07|F14|F19,F19.02|F14.05|F14.06,Application / Valuation / Assessment / Certificate,Enterprise Grid,contract value|progress|changes|retention,Payment / invoice / open item,"Period, assessment and authorised certificate evidence",candidate-revalidation
JOB-CCM,Construction Contracts Manager,22,"Commercial, Contracts & Cost",JP-F07.08-PROFESSIONAL|JP-F19.02-PROFESSIONAL|JP-F19.03-PROFESSIONAL,candidate-multi-profile-composition,WP-CCM-009,Contract Amendment,NATIVE,Deliver,Contract,F19,F19.02,Contract Amendment / Effectivity,Object Workspace,approved change|negotiated terms|authority,Revised obligations / dates / value,Executed amendment and supersession history,candidate-revalidation
JOB-CCM,Construction Contracts Manager,22,"Commercial, Contracts & Cost",JP-F07.08-PROFESSIONAL|JP-F19.02-PROFESSIONAL|JP-F19.03-PROFESSIONAL,candidate-multi-profile-composition,WP-CCM-010,Contract Risk / Exception Report,ASSISTED,Deliver,Contract|Project|Period,F19|F20|F27,F19.02|F20.01|F27.07,Controlled Reporting Snapshot,Assisted Report Generator,obligations|notices|claims|changes|dates,Management review,Period-locked exceptions and source references,candidate-revalidation
