source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F24.01-PROFESSIONAL,Business Continuity Manager,professional,JF-F24,F24,F24.01,4,"Business Continuity Governance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F24 source title and accountability describe a coherent independently employable continuity/crisis/physical-security specialist role. Retain as a reusable Job Profile candidate with crisis authority, emergency evidence, recovery, visitor/access and investigation boundaries preserved.",decompose-f24-role-work-products-and-validate-continuity-crisis-recovery-physical-security-case-boundaries
JP-F24.02-PROFESSIONAL,Business Continuity Analyst,professional,JF-F24,F24,F24.02,4,"Business Impact Analysis plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F24 source title and accountability describe a coherent independently employable continuity/crisis/physical-security specialist role. Retain as a reusable Job Profile candidate with crisis authority, emergency evidence, recovery, visitor/access and investigation boundaries preserved.",decompose-f24-role-work-products-and-validate-continuity-crisis-recovery-physical-security-case-boundaries
JP-F24.03-PROFESSIONAL,Business Continuity Planner,professional,JF-F24,F24,F24.03,3,"Continuity Planning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F24 source title and accountability describe a coherent independently employable continuity/crisis/physical-security specialist role. Retain as a reusable Job Profile candidate with crisis authority, emergency evidence, recovery, visitor/access and investigation boundaries preserved.",decompose-f24-role-work-products-and-validate-continuity-crisis-recovery-physical-security-case-boundaries
JP-F24.04-PROFESSIONAL,Business Continuity Exercise Specialist,professional,JF-F24,F24,F24.04,4,"Continuity Testing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F24 source title and accountability describe a coherent independently employable continuity/crisis/physical-security specialist role. Retain as a reusable Job Profile candidate with crisis authority, emergency evidence, recovery, visitor/access and investigation boundaries preserved.",decompose-f24-role-work-products-and-validate-continuity-crisis-recovery-physical-security-case-boundaries
JP-F24.05-PROFESSIONAL,Crisis Manager,professional,JF-F24,F24,F24.05,4,"Crisis Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F24 source title and accountability describe a coherent independently employable continuity/crisis/physical-security specialist role. Retain as a reusable Job Profile candidate with crisis authority, emergency evidence, recovery, visitor/access and investigation boundaries preserved.",decompose-f24-role-work-products-and-validate-continuity-crisis-recovery-physical-security-case-boundaries
JP-F24.06-PROFESSIONAL,Emergency Response Coordinator,professional,JF-F24,F24,F24.06,4,"Emergency Response plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F24 source title and accountability describe a coherent independently employable continuity/crisis/physical-security specialist role. Retain as a reusable Job Profile candidate with crisis authority, emergency evidence, recovery, visitor/access and investigation boundaries preserved.",decompose-f24-role-work-products-and-validate-continuity-crisis-recovery-physical-security-case-boundaries
JP-F24.08-PROFESSIONAL,Disaster Recovery Coordinator,professional,JF-F24,F24,F24.08,3,"Disaster Recovery Coordination plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F24 source title and accountability describe a coherent independently employable continuity/crisis/physical-security specialist role. Retain as a reusable Job Profile candidate with crisis authority, emergency evidence, recovery, visitor/access and investigation boundaries preserved.",decompose-f24-role-work-products-and-validate-continuity-crisis-recovery-physical-security-case-boundaries
JP-F24.09-PROFESSIONAL,Physical Security Manager,professional,JF-F24,F24,F24.09,4,"Physical Security plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F24 source title and accountability describe a coherent independently employable continuity/crisis/physical-security specialist role. Retain as a reusable Job Profile candidate with crisis authority, emergency evidence, recovery, visitor/access and investigation boundaries preserved.",decompose-f24-role-work-products-and-validate-continuity-crisis-recovery-physical-security-case-boundaries
JP-F24.10-PROFESSIONAL,Security Operations Coordinator,professional,JF-F24,F24,F24.10,4,"Visitor Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-with-corrected-title,"The source activities are exclusively Visitor Management (register visitor, verify identity, approve access, issue/recover pass). Retain the employment role but correct the V3 employment title to Visitor Management Coordinator; do not broaden it into generic security operations.",define-visitor-management-coordinator-work-products-access-approval-and-identity-evidence
JP-F24.11-PROFESSIONAL,Security Investigator,professional,JF-F24,F24,F24.11,4,"Security Investigations plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F24 source title and accountability describe a coherent independently employable continuity/crisis/physical-security specialist role. Retain as a reusable Job Profile candidate with crisis authority, emergency evidence, recovery, visitor/access and investigation boundaries preserved.",decompose-f24-role-work-products-and-validate-continuity-crisis-recovery-physical-security-case-boundaries
