precedence_id,rule_or_condition,grant_source,conflict_source,effective_result,notes
ACL-001,No applicable ACL entry,None,None,DENY,"Null permission set is effectively no access"
ACL-002,Same participant ordinary grant conflicts with ordinary deny,Grant,Deny,DENY,"Permission is not granted"
ACL-003,Same participant grant conflicts with absolute deny,Grant,Absolute Deny,DENY,"Absolute deny wins"
ACL-004,Individual grant conflicts with group or organisation ordinary deny,Individual Grant,Group/Organisation Deny,GRANT,"Explicit individual grant overrides ordinary group/organisation deny"
ACL-005,Individual grant conflicts with ALL ordinary deny,Individual Grant,ALL Deny,GRANT,"Explicit individual grant overrides ordinary ALL deny"
ACL-006,Individual deny conflicts with group or organisation grant,Group/Organisation Grant,Individual Deny,DENY,"Explicit user deny wins"
ACL-007,Individual absolute deny conflicts with group or organisation grant,Group/Organisation Grant,Individual Absolute Deny,DENY,"Absolute deny wins"
ACL-008,Individual grant conflicts with group or organisation absolute deny,Individual Grant,Group/Organisation Absolute Deny,DENY,"Absolute deny cannot be overridden"
ACL-009,OWNER grant conflicts with ordinary deny on owning user/group/organisation,OWNER Grant,Ordinary Deny,GRANT,"OWNER grant overrides ordinary deny for owner"
ACL-010,OWNER grant conflicts with absolute deny on owning user/group/organisation,OWNER Grant,Absolute Deny,DENY,"Absolute deny wins"
ACL-011,Deny against OWNER,None,OWNER Deny,IGNORED,"OWNER deny entries are ignored in ACL calculation"
ACL-012,Absolute deny against pseudo role,None,Pseudo-role Absolute Deny,INVALID,"Absolute deny cannot be specified for pseudo roles"
ACL-013,Absolute deny against ALL,None,ALL Absolute Deny,INVALID,"Absolute deny for ALL is not allowed"
ACL-014,Multiple group grants,Group Grants,None,UNION,"Net group grant set is union of group/organisation/ALL grants"
ACL-015,Multiple group denies,None,Group Denies,UNION,"Net group deny set is union of group/organisation/ALL denies"
ACL-016,Multiple group absolute denies,None,Group Absolute Denies,UNION_DENY,"Net group absolute-deny set is union of group/organisation absolute denies"
ACL-017,Ordinary policy deny with eligible ad-hoc grant,Ad-hoc Grant,Ordinary Policy Deny,CONTEXT_DEPENDENT_GRANT,"Ordinary policy deny can be overridden by ad-hoc access under Windchill precedence rules"
ACL-018,Absolute policy deny with ad-hoc grant,Ad-hoc Grant,Absolute Policy Deny,DENY,"Absolute deny cannot be overridden"
ACL-019,Ancestor-domain rule,Inherited policy,None,APPLIES,"Rules from ancestor domains contribute to descendant-domain ACL"
ACL-020,Ancestor-type rule,Inherited type policy,None,APPLIES,"Rule for ancestor type applies to subtype"
ACL-021,Dynamic role in ancestor policy,Dynamic role system-group resolution,None,APPLIES_IF_DOMAIN_AND_CONTEXT_RESOLVE,"Dynamic role resolves to current application's Context Team system group before ACL generation"
ACL-022,Lifecycle/workflow role access,Temporary object ad-hoc ACL,None,TEMPORARY_GRANT,"Can be effective only for phase/activity duration"
ACL-023,Administrative lock,ACL grant,Administrative Lock,RESTRICTED,"Lock can remove otherwise granted effective permissions"
