master_record_id,scope_type,scope_code,scope_name,function_code,delivery_domain_id,job_profile_id,job_profile_name,market_category,vendor,tool_product,capability_or_job_work,work_products_or_records,lifecycle_stages,source_url,verification_status,verified_date,source_record_id,source_register
MMTR-0001,ENTERPRISE_FUNCTION,F01,Strategy & Enterprise Planning,F01,,,,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Planview,Planview,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",,,https://www.planview.com/,DISCOVERY_SEED,2026-09-21,MTR-0001,market-tool-register.csv
MMTR-0002,ENTERPRISE_FUNCTION,F01,Strategy & Enterprise Planning,F01,,,,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Anaplan,Anaplan,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",,,https://www.anaplan.com/,DISCOVERY_SEED,2026-09-21,MTR-0002,market-tool-register.csv
MMTR-0003,ENTERPRISE_FUNCTION,F01,Strategy & Enterprise Planning,F01,,,,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Workday,Workday Adaptive Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",,,https://www.workday.com/,DISCOVERY_SEED,2026-09-21,MTR-0003,market-tool-register.csv
MMTR-0004,ENTERPRISE_FUNCTION,F01,Strategy & Enterprise Planning,F01,,,,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Oracle,Oracle EPM,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",,,https://www.oracle.com/,DISCOVERY_SEED,2026-09-21,MTR-0004,market-tool-register.csv
MMTR-0005,ENTERPRISE_FUNCTION,F01,Strategy & Enterprise Planning,F01,,,,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",SAP,SAP Analytics Cloud,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",,,https://www.sap.com/products.html,DISCOVERY_SEED,2026-09-21,MTR-0005,market-tool-register.csv
MMTR-0006,ENTERPRISE_FUNCTION,F01,Strategy & Enterprise Planning,F01,,,,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Board,Board,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",,,https://www.board.com/,DISCOVERY_SEED,2026-09-21,MTR-0006,market-tool-register.csv
MMTR-0007,ENTERPRISE_FUNCTION,F01,Strategy & Enterprise Planning,F01,,,,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",IBM,IBM Planning Analytics,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",,,https://www.ibm.com/,DISCOVERY_SEED,2026-09-21,MTR-0007,market-tool-register.csv
MMTR-0008,ENTERPRISE_FUNCTION,F01,Strategy & Enterprise Planning,F01,,,,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Jedox,Jedox,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",,,https://www.jedox.com/,DISCOVERY_SEED,2026-09-21,MTR-0008,market-tool-register.csv
MMTR-0009,ENTERPRISE_FUNCTION,F01,Strategy & Enterprise Planning,F01,,,,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Pigment,Pigment,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",,,https://www.pigment.com/,DISCOVERY_SEED,2026-09-21,MTR-0009,market-tool-register.csv
MMTR-0010,ENTERPRISE_FUNCTION,F01,Strategy & Enterprise Planning,F01,,,,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Cascade,Cascade,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",,,https://www.cascade.app/,DISCOVERY_SEED,2026-09-21,MTR-0010,market-tool-register.csv
