activity_id,workspace,subfunction_id,subfunction,activity,aggregate_id,object_model_id,object_name,action,access_mode,approval_required,decision_required,evidence_required,secondary_aggregates
F01.01.A01,F01,F01.01,Vision & Purpose,Define purpose,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.01.A02,F01,F01.01,Vision & Purpose,define vision,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.01.A03,F01,F01.01,Vision & Purpose,establish mission,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.01.A04,F01,F01.01,Vision & Purpose,communicate direction,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,publish,command,false,false,true,AGG-02-OBJECTIVE
F01.01.A05,F01,F01.01,Vision & Purpose,review relevance,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,review,command,false,false,true,AGG-02-OBJECTIVE
F01.02.A01,F01,F01.02,Environmental Analysis,Monitor economic conditions,AGG-02-ASSUMPTION,SGP-ASSUMPTION,Strategic Assumption / External Evidence,monitor,query,false,false,false,AGG-03-OPPORTUNITY|AGG-02-STRATEGY
F01.02.A02,F01,F01.02,Environmental Analysis,analyse competitors,AGG-02-ASSUMPTION,SGP-ASSUMPTION,Strategic Assumption / External Evidence,analyse,query,false,false,false,AGG-03-OPPORTUNITY|AGG-02-STRATEGY
F01.02.A03,F01,F01.02,Environmental Analysis,assess markets,AGG-02-ASSUMPTION,SGP-ASSUMPTION,Strategic Assumption / External Evidence,review,command,false,false,true,AGG-03-OPPORTUNITY|AGG-02-STRATEGY
F01.02.A04,F01,F01.02,Environmental Analysis,analyse technology trends,AGG-02-ASSUMPTION,SGP-ASSUMPTION,Strategic Assumption / External Evidence,analyse,query,false,false,false,AGG-03-OPPORTUNITY|AGG-02-STRATEGY
F01.02.A05,F01,F01.02,Environmental Analysis,analyse regulatory environment,AGG-02-ASSUMPTION,SGP-ASSUMPTION,Strategic Assumption / External Evidence,analyse,query,false,false,false,AGG-03-OPPORTUNITY|AGG-02-STRATEGY
F01.02.A06,F01,F01.02,Environmental Analysis,identify opportunities/threats,AGG-02-ASSUMPTION,SGP-ASSUMPTION,Strategic Assumption / External Evidence,analyse,query,false,false,false,AGG-03-OPPORTUNITY|AGG-02-STRATEGY
F01.03.A01,F01,F01.03,Strategic Planning,Define objectives,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.03.A02,F01,F01.03,Strategic Planning,develop strategic options,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.03.A03,F01,F01.03,Strategic Planning,evaluate scenarios,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,review,command,false,false,true,AGG-02-OBJECTIVE
F01.03.A04,F01,F01.03,Strategic Planning,select strategy,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,approve,command,true,true,true,AGG-02-OBJECTIVE
F01.03.A05,F01,F01.03,Strategic Planning,establish strategic priorities,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.04.A01,F01,F01.04,Business Planning,Create annual plans,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.04.A02,F01,F01.04,Business Planning,establish business-unit plans,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.04.A03,F01,F01.04,Business Planning,define initiatives,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,create,command,false,false,true,AGG-02-OBJECTIVE
F01.04.A04,F01,F01.04,Business Planning,assign ownership,AGG-02-STRATEGY,SGP-STRATEGY-FRAMEWORK,Strategy / Business Planning,allocate,command,false,false,true,AGG-02-OBJECTIVE
