source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F01.01-PROFESSIONAL,Strategy & Purpose Specialist,professional,JF-F01,F01,F01.01,5,"Vision & Purpose plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable strategy/enterprise-planning role. Retain as a reusable Job Profile candidate and validate explicit Work Products, decision rights and performance/strategy handoffs.",decompose-f01-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F01.02-PROFESSIONAL,Strategic Analysis Specialist,professional,JF-F01,F01,F01.02,6,"Environmental Analysis plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable strategy/enterprise-planning role. Retain as a reusable Job Profile candidate and validate explicit Work Products, decision rights and performance/strategy handoffs.",decompose-f01-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F01.03-PROFESSIONAL,Strategic Planning Manager,professional,JF-F01,F01,F01.03,5,"Strategic Planning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable strategy/enterprise-planning role. Retain as a reusable Job Profile candidate and validate explicit Work Products, decision rights and performance/strategy handoffs.",decompose-f01-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F01.04-PROFESSIONAL,Business Planning Manager,professional,JF-F01,F01,F01.04,5,"Business Planning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable strategy/enterprise-planning role. Retain as a reusable Job Profile candidate and validate explicit Work Products, decision rights and performance/strategy handoffs.",decompose-f01-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F01.05-PROFESSIONAL,Operating Model Specialist,professional,JF-F01,F01,F01.05,5,"Operating Model plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable strategy/enterprise-planning role. Retain as a reusable Job Profile candidate and validate explicit Work Products, decision rights and performance/strategy handoffs.",decompose-f01-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F01.06-PROFESSIONAL,Performance & KPI Manager,professional,JF-F01,F01,F01.06,6,"Goal & KPI Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable strategy/enterprise-planning role. Retain as a reusable Job Profile candidate and validate explicit Work Products, decision rights and performance/strategy handoffs.",decompose-f01-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F01.07-PROFESSIONAL,Strategy Performance Manager,professional,JF-F01,F01,F01.07,5,"Strategic Review plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable strategy/enterprise-planning role. Retain as a reusable Job Profile candidate and validate explicit Work Products, decision rights and performance/strategy handoffs.",decompose-f01-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F01.08-PROFESSIONAL,Scenario & Foresight Specialist,professional,JF-F01,F01,F01.08,4,"Scenario & Foresight Planning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable strategy/enterprise-planning role. Retain as a reusable Job Profile candidate and validate explicit Work Products, decision rights and performance/strategy handoffs.",decompose-f01-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F02.01-PROFESSIONAL,Board Governance Manager,professional,JF-F02,F02,F02.01,5,"Board Governance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-governance role. Retain as a reusable Job Profile candidate; delegated authority, board/committee decisions and policy governance remain separate from access permissions.",decompose-f02-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F02.02-PROFESSIONAL,Governance Framework Specialist,professional,JF-F02,F02,F02.02,4,"Governance Framework plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-governance role. Retain as a reusable Job Profile candidate; delegated authority, board/committee decisions and policy governance remain separate from access permissions.",decompose-f02-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F02.03-PROFESSIONAL,Delegation of Authority Specialist,professional,JF-F02,F02,F02.03,4,"Delegation of Authority plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-governance role. Retain as a reusable Job Profile candidate; delegated authority, board/committee decisions and policy governance remain separate from access permissions.",decompose-f02-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F02.04-PROFESSIONAL,Executive Governance Manager,professional,JF-F02,F02,F02.04,4,"Executive Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-governance role. Retain as a reusable Job Profile candidate; delegated authority, board/committee decisions and policy governance remain separate from access permissions.",decompose-f02-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F02.05-PROFESSIONAL,Committee Governance Specialist,professional,JF-F02,F02,F02.05,5,"Committee Governance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-governance role. Retain as a reusable Job Profile candidate; delegated authority, board/committee decisions and policy governance remain separate from access permissions.",decompose-f02-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F02.06-PROFESSIONAL,Policy Governance Specialist,professional,JF-F02,F02,F02.06,5,"Policy Governance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-governance role. Retain as a reusable Job Profile candidate; delegated authority, board/committee decisions and policy governance remain separate from access permissions.",decompose-f02-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F02.07-PROFESSIONAL,Ethics Governance Specialist,professional,JF-F02,F02,F02.07,4,"Ethics Governance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-governance role. Retain as a reusable Job Profile candidate; delegated authority, board/committee decisions and policy governance remain separate from access permissions.",decompose-f02-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F03.01-PROFESSIONAL,Performance Framework Specialist,professional,JF-F03,F03,F03.01,3,"Performance Framework plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable enterprise-performance role. Retain as a reusable Job Profile candidate with period snapshots, variance, management review, benchmarking and benefits evidence explicitly modelled.",decompose-f03-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F03.02-PROFESSIONAL,Performance Reporting Specialist,professional,JF-F03,F03,F03.02,4,"Performance Reporting plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable enterprise-performance role. Retain as a reusable Job Profile candidate with period snapshots, variance, management review, benchmarking and benefits evidence explicitly modelled.",decompose-f03-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F03.03-PROFESSIONAL,Variance Manager,professional,JF-F03,F03,F03.03,4,"Variance Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable enterprise-performance role. Retain as a reusable Job Profile candidate with period snapshots, variance, management review, benchmarking and benefits evidence explicitly modelled.",decompose-f03-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F03.04-PROFESSIONAL,Management Review Specialist,professional,JF-F03,F03,F03.04,4,"Management Review plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable enterprise-performance role. Retain as a reusable Job Profile candidate with period snapshots, variance, management review, benchmarking and benefits evidence explicitly modelled.",decompose-f03-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F03.05-PROFESSIONAL,Benchmarking Specialist,professional,JF-F03,F03,F03.05,4,"Benchmarking plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable enterprise-performance role. Retain as a reusable Job Profile candidate with period snapshots, variance, management review, benchmarking and benefits evidence explicitly modelled.",decompose-f03-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
JP-F03.06-PROFESSIONAL,Benefits Realisation Specialist,professional,JF-F03,F03,F03.06,5,"Benefits Realisation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-compose-into-benefits-realisation,"F03.06 Benefits Realisation and F28.08 Benefits Tracking cover the same reusable employment accountability: define benefit targets/baselines, monitor/measure, validate outcomes and report realised value. Compose both Functional Role sources into one Benefits Realisation employment Job Profile.",compose-f03-06-and-f28-08-into-benefits-realisation-job-and-map-shared-work-products
JP-F04.01-PROFESSIONAL,Opportunity Identification Specialist,professional,JF-F04,F04,F04.01,3,"Opportunity Identification plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The source title represents a coherent independently employable corporate-development role. Retain as a reusable Job Profile candidate with opportunity, valuation, due-diligence, transaction, integration and divestiture evidence separated.",decompose-f04-role-work-products-and-validate-exact-activities-canonical-boundaries-handoffs-authority
