conflict_id,semantic_level,resulting_object_change,redline_change,conflict,synchronization_result,retained_from,suspect,notes
RL-001,Usage,"Part A added","Part B added",No,Synchronize,Both,No,"Different Parts; changes coexist"
RL-002,Usage,"Part A added","Part A added same semantic state",No,No additional change,Latest released result,No,"Same compatible addition"
RL-003,Usage,"Part removed","Same Part modified",Yes,Manual resolution required,Redline,Yes,"Same Part/same usage level"
RL-004,Usage,"Part removed","Same Part replaced",Yes,Manual resolution required,Redline,Yes,"Same Part/same usage level"
RL-005,Usage,"Part modified","Same Part modified",Yes,Manual resolution required,Redline,Yes,"Same semantic level"
RL-006,Usage,"Part modified","Same Part removed",Yes,Manual resolution required,Redline,Yes,"Same semantic level"
RL-007,Usage,"Same Part added with attributes X","Same Part added with incompatible attributes Y",Yes,Manual resolution required,Latest released result,Yes,"Same identity incompatible definition"
RL-008,Attribute,"Assembly Mode changed","Source changed",No,Synchronize,Both,No,"Different attributes"
RL-009,Attribute,"Source=Make","Source=Buy",Yes,Manual resolution required,Redline,Yes,"Same attribute conflicting values"
RL-010,Line number,"Part A line 10","Part B line 8",No,Synchronize,Both,No,"Uniqueness preserved"
RL-011,Line number,"Part A line 5","Part B line 5",Yes,Manual resolution required,Latest released result,Yes,"Uniqueness violated"
RL-012,Occurrence,"Occurrence R1 unchanged","R1 location changed",No,No sync required,Redline,No,"Only Redline changed occurrence"
RL-013,Occurrence,"Occurrence R4 modified","R4 unchanged",No,Synchronize,Latest released result,No,"Only result changed occurrence"
RL-014,Occurrence,"Occurrence R3 modified","R3 removed",Yes,Manual resolution required,Redline,Yes,"Same occurrence incompatible change"
RL-015,Reference designator,"Add R20","Add R10 within quantity",No,Synchronize,Both,No,"Unique designators coexist"
RL-016,Reference designator,"R1 already/changed","Redline uses conflicting R1",Yes,Manual resolution required,Latest released result,Yes,"Reference designator uniqueness"
RL-017,Occurrence quantity,"Result configuration","Redline addition exceeds quantity",Yes,Manual resolution required,Latest released result,Yes,"Quantity constraint violated"
RL-018,Synchronization state,"Base advances","Redline checked out",N/A,Pending,None,No,"Synchronizes after check-in or undo checkout; creates new Redline iteration"
RL-019,Synchronization state,"Base advances","Redline cancelled",N/A,Not eligible,None,No,"Cancelled Redline no longer synchronizes"
