priority_id,source_translation_ids,capability_family,current_kernel_evidence,current_state,required_next_boundary,priority,rationale
WTR-001,"NTR-002","Policy scope inheritance & override","Policy Scope/Definition/Assignment kernel model, migration 0027, deterministic SUPPLEMENT/OVERRIDE/BLOCK resolver, tenant-bound repository, audit/outbox, permission-gated command/read services, MySQL integration test and /app/policy administration workspace implemented",USER_EXECUTABLE_FOUNDATION_IMPLEMENTED,"Integrate effective policy into access/security evaluators and extend policy families as downstream controls are implemented",P0,"Needed before context-specific governance can be consistently resolved"
WTR-002,"NTR-005","UI visibility policy","Permissions exist; no explicit UI visibility policy identity located",ABSENT,"UI Visibility Policy separate from authorization",P1,"Prevents action visibility from being confused with permission"
WTR-003,"NTR-006","Security classification / clearance / agreement exception","Security Classification Scheme/Level/Assignment, Clearance Grant and Security Access Exception kernel model; migration 0028; registry entries; tenant-bound repository; permission-gated command/read services; integration tests; /app/security-classification administration workspace; information workspace integration present",USER_EXECUTABLE_FOUNDATION_IMPLEMENTED,"Integrate classification evaluation consistently into all information/exchange/download paths and effective policy resolution",P0,"Required for controlled information exchange and CDE-grade access"
WTR-004,"NTR-007","Type / Attribute / Constraint metadata","Kernel Type/Attribute/Constraint/Enumeration identities and invariants; exact parent-type inheritance; migration 0031; tenant-bound repository with audit/outbox; metadata read/manage permissions; permission-gated command/read services; deterministic effective inherited-attribute resolution; /app/metadata administration workspace; kernel and MySQL integration tests","USER_EXECUTABLE_FOUNDATION_IMPLEMENTED","Integrate governed metadata into object-creation forms, domain extension packages, creation policy/template resolution and validation handler generation without replacing strongly typed native aggregates",P0,"Foundation now exists for tenant/domain extensibility without schema fragmentation; downstream domain adoption remains"
WTR-005,"NTR-009","Template governance","Lifecycle/workflow definitions exist; no generic template-definition/applicability family located",PARTIAL,"Template Definition + typed family + context applicability/versioning",P1,"Allows reusable controlled setup without duplicating configuration"
WTR-006,"NTR-010","Object initialization policy","No explicit OIR/creation-policy identity located",ABSENT,"Creation Policy + defaults/numbering/lifecycle/team/version policy + inheritance",P1,"Makes creation behaviour governed and explainable"
WTR-007,"NTR-011","Preference hierarchy","Preferences appear in architecture/reference only; no canonical implementation located",ABSENT,"Preference Definition + scoped Effective Preference + lock/override provenance",P1,"Needed for site/organisation/context/user configuration"
WTR-008,"NTR-016","Working copy / authoring session","Information revision/iteration exists; no explicit isolated working-copy/authoring-session identity located",PARTIAL,"Working Copy / Authoring Session / merge-conflict state",P1,"Required for native CAD/BIM/document authoring concurrency"
WTR-009,"NTR-019","Authoring association / build authority","Canonical relationships and Information/Representation exist; no explicit build/synchronisation relationship family located",PARTIAL,"Authoring Association + Build Rule + Sync/Reconcile State",P1,"Needed to separate design source, governed item and derived representation authority"
WTR-010,"NTR-020","Configuration resolution specification","Configuration Resolution Definition/Criterion/Run/Item kernel identities and invariants; migration 0032; read/manage/execute permissions; tenant-bound audit/outbox persistence; deterministic ordered BASELINE/EXPLICIT_VERSION/EFFECTIVITY/LATEST_ESTABLISHED_BASELINE criteria; exact selected-version evidence; ambiguity retained as CONFLICT; no-match retained as UNRESOLVED; permission-gated administration/execution; /app/configuration-resolution workspace; kernel and MySQL integration tests","USER_EXECUTABLE_FOUNDATION_IMPLEMENTED","Integrate named resolution definitions into downstream structure/BOM/deliverable/domain commands that require reproducible as-of configuration and add domain-specific criterion handlers only where canonical evidence requires them",P0,"Exact configuration reconstruction is now deterministic and auditable rather than inferred from current state"
WTR-011,"NTR-023","Managed collection vs baseline","Baseline exists; no separate mutable governed collection family located",PARTIAL,"Managed Collection + purpose/status + snapshot conversion",P2,"Avoids abusing immutable baselines for working collections"
WTR-012,"NTR-024","Proposed change branch / redline","Change assessment/implementation/verification exists; no proposed-branch/rebase/conflict model located",PARTIAL,"Proposed Change Branch + conflict + synchronize/rebase/merge evidence",P1,"Required for concurrent controlled technical change"
WTR-013,"NTR-026","Cross-context authority/provenance","External identity and canonical relationships exist; no explicit collaboration/source-authority relationship located",PARTIAL,"Source/Master Authority Relationship + collaboration state",P1,"Needed for shared work across contexts and external systems"
WTR-014,"NTR-027","Exchange package / delivery / received delivery","Exchange Package/Item, Delivery/Recipient, Delta Item, Received Delivery, Mapping and Authority Adoption kernel identities/invariants; migration 0033; separate read/manage/receive/authority-adopt permissions; tenant-bound audit/outbox persistence; immutable frozen package snapshots; full/incremental delivery evidence with NEW/CHANGED/MOVED/DELETED/ABSENT semantics; recipient-side receipt/validate/map/import/reject state machine; Transmittal Recipient acceptance surfaced separately from receipt/import; Decision-backed explicit authority adoption; /app/exchange two-sided workspace; kernel and MySQL integration tests","USER_EXECUTABLE_FOUNDATION_IMPLEMENTED","Integrate Exchange Package creation directly into domain issue/publish commands, add automated checksum validation and downstream Integration Endpoint/Publication Transaction orchestration without collapsing delivery, receipt, acceptance, import or authority boundaries",P0,"Transmission, receipt, acceptance, import and authority transfer are now separate auditable control states"
WTR-015,"NTR-039","Saved query","No saved-query canonical family located",ABSENT,"Saved Query + scope/owner/parameters/version",P2,"Supports repeatable team/user retrieval without making index authoritative"
