job_profile_id,canonical_name,delivery_domain_id,participating_function_codes_candidate,lifecycle_stages,specialist_capabilities,primary_structured_records,market_tool_category,representative_current_tools,current_market_work_pattern,nublox_native_requirement,function_mapping_status,tool_research_status,verified_date
CBE-JP-001,Acoustics consultant,D02,F05;F13;F19;F23;F26;F27,Feasibility; Design; Verification,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,Engineering analysis / design / technical information,SoundPLANnoise; DataKustik CadnaA; ODEON Room Acoustics Software; Marshall Day Acoustics INSUL; Autodesk Revit; Bluebeam Revu,"Perform Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence using specialist authoring, calculation, field or business systems; create and exchange Survey reports; models; recommendations; specifications.","Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-002,Agricultural contractor,D16,F09;F10;F11;F12;F13;F22;F23;F26;F27,Planning; Delivery; Maintenance,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,Agricultural field operations / plant / service,Trimble Agriculture software; John Deere Operations Center; BigChange; Samsara; ServiceM8; SafetyCulture,"Perform Job planning; field operations; plant allocation; labour; materials; service records using specialist authoring, calculation, field or business systems; create and exchange Work orders; field logs; plant records; invoices.","Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Brief; Design; Construction; Handover,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Design authoring / BIM / technical information,Autodesk Revit; Graphisoft Archicad; Vectorworks Architect; ALLPLAN; AutoCAD; Rhino; Grasshopper; SketchUp; Autodesk Navisworks; Solibri; Bluebeam Revu; Autodesk Docs; Oracle Aconex; NBS Chorus,"Perform Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews using specialist authoring, calculation, field or business systems; create and exchange Drawings; models; specifications; design decisions; inspection records.","Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design; Construction,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design authoring / BIM / technical information,Autodesk Revit; Graphisoft Archicad; Vectorworks Architect; ALLPLAN; AutoCAD; Autodesk Navisworks; Solibri; Bluebeam Revu; Autodesk Docs; NBS Chorus,"Perform Technical drawings; detailing; schedules; coordination; document production using specialist authoring, calculation, field or business systems; create and exchange Drawings; details; schedules; issue sheets.","Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design; Construction; Handover,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design authoring / BIM / technical information,Autodesk Revit; Graphisoft Archicad; Vectorworks Architect; ALLPLAN; AutoCAD; Autodesk Navisworks; Solibri; Bluebeam Revu; Autodesk Docs; Oracle Aconex; NBS Chorus,"Perform Technical design management; detailing; compliance; specifications; coordination using specialist authoring, calculation, field or business systems; create and exchange Technical designs; specifications; schedules; compliance records.","Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-006,Bricklayer,D07,F09;F10;F12;F13;F23;F26;F27,Construction,Job planning; setting out; masonry works; materials; progress; quality checks,Work orders; material usage; photos; quality records,Trade field execution / estimating / evidence,Procore; Autodesk Build; Dalux Field; SafetyCulture; Tradify; Fergus; BigChange,"Perform Job planning; setting out; masonry works; materials; progress; quality checks using specialist authoring, calculation, field or business systems; create and exchange Work orders; material usage; photos; quality records.","Provide native job workspace for Job planning; setting out; masonry works; materials; progress; quality checks; create/control Work orders; material usage; photos; quality records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-007,Builders' merchant,D14,F07;F09;F10;F11;F13;F14;F26;F27,Procurement; Supply,Catalogue; stock; quotations; orders; trade accounts; deliveries; returns,Products; stock; quotes; sales orders; delivery notes; invoices,Supply / fabrication / manufacturing,Epicor BisTrack; Kerridge Commercial Systems K8; Sage 200; Microsoft Dynamics 365 Business Central; Oracle NetSuite; Phocas,"Perform Catalogue; stock; quotations; orders; trade accounts; deliveries; returns using specialist authoring, calculation, field or business systems; create and exchange Products; stock; quotes; sales orders; delivery notes; invoices.","Provide native job workspace for Catalogue; stock; quotations; orders; trade accounts; deliveries; returns; create/control Products; stock; quotes; sales orders; delivery notes; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-008,Building control officer,D15,F13;F19;F20;F23;F26;F27,Design; Construction; Completion,Applications; plan assessment; inspections; evidence; defects; decisions,Applications; inspection records; notices; decisions; certificates,Regulatory case management / inspection,Idox Cloud; Idox Uniform; Bluebeam Revu; ArcGIS Field Maps; PlanRadar; Microsoft Power BI,"Perform Applications; plan assessment; inspections; evidence; defects; decisions using specialist authoring, calculation, field or business systems; create and exchange Applications; inspection records; notices; decisions; certificates.","Provide native job workspace for Applications; plan assessment; inspections; evidence; defects; decisions; create/control Applications; inspection records; notices; decisions; certificates as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-009,Building services engineer,D02,F05;F13;F19;F23;F26;F27,Design; Construction; Commissioning,MEP design; calculations; equipment schedules; coordination; commissioning requirements,Designs; calculations; specifications; equipment schedules,Engineering analysis / design / technical information,Autodesk Revit; MagiCAD; IES VE 2026; DesignBuilder; Trimble ProDesign; DIALux evo; Autodesk Navisworks; Solibri; Autodesk Docs,"Perform MEP design; calculations; equipment schedules; coordination; commissioning requirements using specialist authoring, calculation, field or business systems; create and exchange Designs; calculations; specifications; equipment schedules.","Provide native job workspace for MEP design; calculations; equipment schedules; coordination; commissioning requirements; create/control Designs; calculations; specifications; equipment schedules as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
CBE-JP-010,Building surveyor,D03,F05;F07;F14;F19;F22;F26;F27,Survey; Design; Construction; Operations,Condition surveys; defects; schedules; project advice; dilapidations; maintenance planning,Survey reports; defect schedules; photos; scopes; certificates,Survey / property / valuation / evidence,GoReport; PlanRadar; Bluebeam Revu; Matterport; Autodesk ReCap Pro; ArcGIS Field Maps; AutoCAD; Microsoft Power BI,"Perform Condition surveys; defects; schedules; project advice; dilapidations; maintenance planning using specialist authoring, calculation, field or business systems; create and exchange Survey reports; defect schedules; photos; scopes; certificates.","Provide native job workspace for Condition surveys; defects; schedules; project advice; dilapidations; maintenance planning; create/control Survey reports; defect schedules; photos; scopes; certificates as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",RESEARCH_CANDIDATE,DISCOVERY_SEED,2026-09-21
