job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,work_product_family,exact_activity_ids,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
EJOB-F15.18-PROFESSIONAL,Absence Management Specialist,,Workforce & Digital — F15,JP-F15.18-PROFESSIONAL,reconciled-employment-profile,WP-W8-F15.18-PROFESSIONAL-001,Absence Case / Record,CASE / ASSESSMENT,F15.18.A01,NATIVE,Operate,Person|Worker Relationship|Position|Job Profile|Candidate|Payroll Period,F15,Time / Attendance / Absence [AGG-18-TIMESHEET],Case Workspace|Assessment Form|Evidence Panel,organisation strategy|approved positions|worker/candidate data|compensation/benefit policy|learning/compliance requirements,worker/position assignments|payroll/finance|IAM provisioning handoffs|learning/performance|management decisions,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F15.18-PROFESSIONAL,Absence Management Specialist,,Workforce & Digital — F15,JP-F15.18-PROFESSIONAL,reconciled-employment-profile,WP-W8-F15.18-PROFESSIONAL-002,Return-to-Work Record / Plan,CASE / ASSESSMENT,F15.18.A02,NATIVE,Operate,Person|Worker Relationship|Position|Job Profile|Candidate|Payroll Period,F15,Time / Attendance / Absence [AGG-18-TIMESHEET],Case Workspace|Assessment Form|Evidence Panel,organisation strategy|approved positions|worker/candidate data|compensation/benefit policy|learning/compliance requirements,worker/position assignments|payroll/finance|IAM provisioning handoffs|learning/performance|management decisions,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F15.18-PROFESSIONAL,Absence Management Specialist,,Workforce & Digital — F15,JP-F15.18-PROFESSIONAL,reconciled-employment-profile,WP-W8-F15.18-PROFESSIONAL-003,Absence Trend Report,REPORT / SNAPSHOT,F15.18.A03,NATIVE,Operate,Person|Worker Relationship|Position|Job Profile|Candidate|Payroll Period,F15,Time / Attendance / Absence [AGG-18-TIMESHEET],Report Builder|Snapshot View,organisation strategy|approved positions|worker/candidate data|compensation/benefit policy|learning/compliance requirements,worker/position assignments|payroll/finance|IAM provisioning handoffs|learning/performance|management decisions,"Point-in-time/as-of snapshot with source data, calculation/filter and publication provenance",candidate-explicit
EJOB-F17.12-PROFESSIONAL,AI Engineer,,Workforce & Digital — F17,JP-F17.12-PROFESSIONAL,reconciled-employment-profile,WP-W8-F17.12-PROFESSIONAL-001,AI Use Case,CASE / ASSESSMENT,F17.12.A01,NATIVE,Operate,Data Domain|Dataset|Data Product|Model|AI Use Case|Access Request,F17,AI Use Case / Model [AGG-24-AI],Case Workspace|Assessment Form|Evidence Panel,business/data requirements|source systems|data governance policy|approved access grants|model/use-case requirements,business decisions|application/data consumption|AI deployment|governance/assurance|retention/disposition,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F17.12-PROFESSIONAL,AI Engineer,,Workforce & Digital — F17,JP-F17.12-PROFESSIONAL,reconciled-employment-profile,WP-W8-F17.12-PROFESSIONAL-002,AI System / Model Version,CALCULATION / MODEL,F17.12.A02,NATIVE,Operate,Data Domain|Dataset|Data Product|Model|AI Use Case|Access Request,F17,AI Use Case / Model [AGG-24-AI],Calculation Workbench|Enterprise Grid,business/data requirements|source systems|data governance policy|approved access grants|model/use-case requirements,business decisions|application/data consumption|AI deployment|governance/assurance|retention/disposition,"Versioned calculation/model with inputs, assumptions, method, scenario and result provenance",candidate-explicit
EJOB-F17.12-PROFESSIONAL,AI Engineer,,Workforce & Digital — F17,JP-F17.12-PROFESSIONAL,reconciled-employment-profile,WP-W8-F17.12-PROFESSIONAL-003,AI Evaluation Report,INSPECTION / TEST,F17.12.A03,NATIVE,Operate,Data Domain|Dataset|Data Product|Model|AI Use Case|Access Request,F17,AI Use Case / Model [AGG-24-AI],Test / Inspection Workbench|Evidence Panel,business/data requirements|source systems|data governance policy|approved access grants|model/use-case requirements,business decisions|application/data consumption|AI deployment|governance/assurance|retention/disposition,"Inspection/test basis, method, result, evidence, performer/reviewer and acceptance status",candidate-explicit
EJOB-F17.12-PROFESSIONAL,AI Engineer,,Workforce & Digital — F17,JP-F17.12-PROFESSIONAL,reconciled-employment-profile,WP-W8-F17.12-PROFESSIONAL-004,AI Deployment Record,EXECUTION RECORD,F17.12.A04,NATIVE,Operate,Data Domain|Dataset|Data Product|Model|AI Use Case|Access Request,F17,AI Use Case / Model [AGG-24-AI],Execution Record|Evidence Panel,business/data requirements|source systems|data governance policy|approved access grants|model/use-case requirements,business decisions|application/data consumption|AI deployment|governance/assurance|retention/disposition,Attributable who/what/when/result record with source context and evidence,candidate-explicit
EJOB-F17.13-PROFESSIONAL,AI Governance Specialist,,Workforce & Digital — F17,JP-F17.13-PROFESSIONAL,reconciled-employment-profile,WP-W8-F17.13-PROFESSIONAL-001,AI / Model Register,REGISTER / SCHEDULE,F17.13.A01,NATIVE,Operate,Data Domain|Dataset|Data Product|Model|AI Use Case|Access Request,F17,AI Use Case / Model [AGG-24-AI],Enterprise Grid|Collection View,business/data requirements|source systems|data governance policy|approved access grants|model/use-case requirements,business decisions|application/data consumption|AI deployment|governance/assurance|retention/disposition,"Governed entries with owner, status, dates, source references and immutable change history",candidate-explicit
EJOB-F17.13-PROFESSIONAL,AI Governance Specialist,,Workforce & Digital — F17,JP-F17.13-PROFESSIONAL,reconciled-employment-profile,WP-W8-F17.13-PROFESSIONAL-002,AI Risk Assessment,CASE / ASSESSMENT,F17.13.A02,NATIVE,Operate,Data Domain|Dataset|Data Product|Model|AI Use Case|Access Request,F17,AI Use Case / Model [AGG-24-AI],Case Workspace|Assessment Form|Evidence Panel,business/data requirements|source systems|data governance policy|approved access grants|model/use-case requirements,business decisions|application/data consumption|AI deployment|governance/assurance|retention/disposition,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F17.13-PROFESSIONAL,AI Governance Specialist,,Workforce & Digital — F17,JP-F17.13-PROFESSIONAL,reconciled-employment-profile,WP-W8-F17.13-PROFESSIONAL-003,AI Use Approval,DECISION / APPROVAL,F17.13.A03,NATIVE,Operate,Data Domain|Dataset|Data Product|Model|AI Use Case|Access Request,F17,AI Use Case / Model [AGG-24-AI],Decision Workspace|Approval Panel,business/data requirements|source systems|data governance policy|approved access grants|model/use-case requirements,business decisions|application/data consumption|AI deployment|governance/assurance|retention/disposition,"Decision, approver/authority, rationale, conditions, date and affected objects",candidate-explicit
