source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F07.08-PROFESSIONAL,Contract Negotiation Specialist,professional,JF-F07,F07,F07.08,6,"Contract Negotiation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-CCM,Construction Contracts Manager,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F09-FUNCTION-LEAD,Head of Procurement & Supplier Management,head,JF-F09,F09,F09.01|F09.02|F09.03|F09.04|F09.05|F09.06|F09.07|F09.08|F09.09|F09.10|F09.11|F09.12|F09.13,57,"Procurement & Supplier Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",JOB-PROC,Procurement Manager,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F09.01-PROFESSIONAL,Procurement Strategy Manager,professional,JF-F09,F09,F09.01,4,"Procurement Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-PROC,Procurement Manager,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F09.06-PROFESSIONAL,Procurement Contracts Manager,professional,JF-F09,F09,F09.06,6,"Contracting plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-PROC,Procurement Manager,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F10.08-PROFESSIONAL,Transport Manager,professional,JF-F10,F10,F10.08,5,"Transport Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-TRP,Transport Planner,candidate-adjacent-profile,reconciled-retain-distinct-employment-profile,This is a legitimate standalone employment role distinct from the Wave archetype that referenced it as adjacent capability. Retain the Job Profile and reuse only its Functional Role where relevant.,define-own-work-products-and-keep-wave-archetype-separate
JP-F13-FUNCTION-LEAD,Head of Quality,head,JF-F13,F13,F13.01|F13.02|F13.03|F13.04|F13.05|F13.06|F13.07|F13.08|F13.09|F13.10,40,"Quality Management strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",JOB-QM,Quality Manager,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F13.02-PROFESSIONAL,Quality Planner,professional,JF-F13,F13,F13.02,3,"Quality Planning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-QM,Quality Manager,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F13.03-PROFESSIONAL,Quality Assurance Specialist,professional,JF-F13,F13,F13.03,3,"Quality Assurance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-QM,Quality Manager,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F13.04-PROFESSIONAL,Quality Control Inspector,professional,JF-F13,F13,F13.04,5,"Quality Control plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-QM,Quality Manager,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F14.11-PROFESSIONAL,Cost Accountant,professional,JF-F14,F14,F14.11,3,"Cost Accounting plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-PA,Project Accountant,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F14.12-PROFESSIONAL,Financial Close Accountant,professional,JF-F14,F14,F14.12,4,"Financial Close plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-PA,Project Accountant,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F14.14-PROFESSIONAL,Financial Reporting Accountant,professional,JF-F14,F14,F14.14,5,"Financial Reporting plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-PA,Project Accountant,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
JP-F19.02-PROFESSIONAL,Commercial Contracts Counsel,professional,JF-F19,F19,F19.02,8,"Contract Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",JOB-CCM,Construction Contracts Manager,candidate-multi-profile-composition,reconciled-retain-and-compose,The source title represents a plausible standalone employment role. Retain it as a candidate Job Profile while allowing its Functional Role/accountabilities to be composed into broader employment jobs evidenced by Waves 1-4.,validate-own-work-products-and-functional-role-reuse
