source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F09.02-PROFESSIONAL,Category Manager,professional,JF-F09,F09,F09.02,4,"Category Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F09 source title and accountability describe a coherent independently employable procurement/supplier-management specialist role. Retain as a reusable Job Profile candidate; validate Work Products, supplier lifecycle, sourcing/commitment authority and downstream handoffs.",decompose-f09-role-work-products-and-validate-procurement-supplier-object-boundaries-authority-and-handoffs
JP-F09.03-PROFESSIONAL,Supplier Sourcing Specialist,professional,JF-F09,F09,F09.03,4,"Supplier Discovery plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F09 source title and accountability describe a coherent independently employable procurement/supplier-management specialist role. Retain as a reusable Job Profile candidate; validate Work Products, supplier lifecycle, sourcing/commitment authority and downstream handoffs.",decompose-f09-role-work-products-and-validate-procurement-supplier-object-boundaries-authority-and-handoffs
JP-F09.04-PROFESSIONAL,Strategic Sourcing Specialist,professional,JF-F09,F09,F09.04,4,"Sourcing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F09 source title and accountability describe a coherent independently employable procurement/supplier-management specialist role. Retain as a reusable Job Profile candidate; validate Work Products, supplier lifecycle, sourcing/commitment authority and downstream handoffs.",decompose-f09-role-work-products-and-validate-procurement-supplier-object-boundaries-authority-and-handoffs
JP-F09.05-PROFESSIONAL,Supplier Commercial Manager,professional,JF-F09,F09,F09.05,5,"Supplier Negotiation plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F09 source title and accountability describe a coherent independently employable procurement/supplier-management specialist role. Retain as a reusable Job Profile candidate; validate Work Products, supplier lifecycle, sourcing/commitment authority and downstream handoffs.",decompose-f09-role-work-products-and-validate-procurement-supplier-object-boundaries-authority-and-handoffs
JP-F09.07-PROFESSIONAL,Supplier Onboarding Specialist,professional,JF-F09,F09,F09.07,4,"Supplier Onboarding plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F09 source title and accountability describe a coherent independently employable procurement/supplier-management specialist role. Retain as a reusable Job Profile candidate; validate Work Products, supplier lifecycle, sourcing/commitment authority and downstream handoffs.",decompose-f09-role-work-products-and-validate-procurement-supplier-object-boundaries-authority-and-handoffs
JP-F09.08-PROFESSIONAL,Procurement Operations Specialist,professional,JF-F09,F09,F09.08,4,"Requisitioning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F09 source title and accountability describe a coherent independently employable procurement/supplier-management specialist role. Retain as a reusable Job Profile candidate; validate Work Products, supplier lifecycle, sourcing/commitment authority and downstream handoffs.",decompose-f09-role-work-products-and-validate-procurement-supplier-object-boundaries-authority-and-handoffs
JP-F09.09-PROFESSIONAL,Buyer,professional,JF-F09,F09,F09.09,5,"Purchase Ordering plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F09 source title and accountability describe a coherent independently employable procurement/supplier-management specialist role. Retain as a reusable Job Profile candidate; validate Work Products, supplier lifecycle, sourcing/commitment authority and downstream handoffs.",decompose-f09-role-work-products-and-validate-procurement-supplier-object-boundaries-authority-and-handoffs
JP-F09.10-PROFESSIONAL,Supplier Performance Specialist,professional,JF-F09,F09,F09.10,5,"Supplier Performance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F09 source title and accountability describe a coherent independently employable procurement/supplier-management specialist role. Retain as a reusable Job Profile candidate; validate Work Products, supplier lifecycle, sourcing/commitment authority and downstream handoffs.",decompose-f09-role-work-products-and-validate-procurement-supplier-object-boundaries-authority-and-handoffs
JP-F09.11-PROFESSIONAL,Supplier Risk Specialist,professional,JF-F09,F09,F09.11,3,"Supplier Risk plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F09 source title and accountability describe a coherent independently employable procurement/supplier-management specialist role. Retain as a reusable Job Profile candidate; validate Work Products, supplier lifecycle, sourcing/commitment authority and downstream handoffs.",decompose-f09-role-work-products-and-validate-procurement-supplier-object-boundaries-authority-and-handoffs
JP-F09.12-PROFESSIONAL,Supplier Relationship Manager,professional,JF-F09,F09,F09.12,4,"Supplier Relationship Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F09 source title and accountability describe a coherent independently employable procurement/supplier-management specialist role. Retain as a reusable Job Profile candidate; validate Work Products, supplier lifecycle, sourcing/commitment authority and downstream handoffs.",decompose-f09-role-work-products-and-validate-procurement-supplier-object-boundaries-authority-and-handoffs
