source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F26.01-PROFESSIONAL,Knowledge Manager,professional,JF-F26,F26,F26.01,3,"Knowledge Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F26 source title and accountability describe a coherent independently employable knowledge/document/records specialist role. Retain as a reusable Job Profile candidate while separating knowledge, controlled information, records, retention and search/index semantics.",decompose-f26-role-work-products-and-validate-information-record-retention-search-permission-boundaries
JP-F26.02-PROFESSIONAL,Knowledge Capture Specialist,professional,JF-F26,F26,F26.02,4,"Knowledge Capture plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F26 source title and accountability describe a coherent independently employable knowledge/document/records specialist role. Retain as a reusable Job Profile candidate while separating knowledge, controlled information, records, retention and search/index semantics.",decompose-f26-role-work-products-and-validate-information-record-retention-search-permission-boundaries
JP-F26.03-PROFESSIONAL,Knowledge & Collaboration Specialist,professional,JF-F26,F26,F26.03,4,"Knowledge Sharing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F26 source title and accountability describe a coherent independently employable knowledge/document/records specialist role. Retain as a reusable Job Profile candidate while separating knowledge, controlled information, records, retention and search/index semantics.",decompose-f26-role-work-products-and-validate-information-record-retention-search-permission-boundaries
JP-F26.04-PROFESSIONAL,Knowledge Curator,professional,JF-F26,F26,F26.04,4,"Knowledge Maintenance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F26 source title and accountability describe a coherent independently employable knowledge/document/records specialist role. Retain as a reusable Job Profile candidate while separating knowledge, controlled information, records, retention and search/index semantics.",decompose-f26-role-work-products-and-validate-information-record-retention-search-permission-boundaries
JP-F26.05-PROFESSIONAL,Document Controller,professional,JF-F26,F26,F26.05,6,"Document Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F26 source title and accountability describe a coherent independently employable knowledge/document/records specialist role. Retain as a reusable Job Profile candidate while separating knowledge, controlled information, records, retention and search/index semantics.",decompose-f26-role-work-products-and-validate-information-record-retention-search-permission-boundaries
JP-F26.06-PROFESSIONAL,Records Manager,professional,JF-F26,F26,F26.06,5,"Records Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F26 source title and accountability describe a coherent independently employable knowledge/document/records specialist role. Retain as a reusable Job Profile candidate while separating knowledge, controlled information, records, retention and search/index semantics.",decompose-f26-role-work-products-and-validate-information-record-retention-search-permission-boundaries
JP-F26.07-PROFESSIONAL,Controlled Documents Coordinator,professional,JF-F26,F26,F26.07,4,"Controlled Documents plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F26 source title and accountability describe a coherent independently employable knowledge/document/records specialist role. Retain as a reusable Job Profile candidate while separating knowledge, controlled information, records, retention and search/index semantics.",decompose-f26-role-work-products-and-validate-information-record-retention-search-permission-boundaries
JP-F26.08-PROFESSIONAL,Records Retention Specialist,professional,JF-F26,F26,F26.08,4,"Records Retention plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F26 source title and accountability describe a coherent independently employable knowledge/document/records specialist role. Retain as a reusable Job Profile candidate while separating knowledge, controlled information, records, retention and search/index semantics.",decompose-f26-role-work-products-and-validate-information-record-retention-search-permission-boundaries
JP-F26.09-PROFESSIONAL,Enterprise Search Specialist,professional,JF-F26,F26,F26.09,4,"Enterprise Search plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F26 source title and accountability describe a coherent independently employable knowledge/document/records specialist role. Retain as a reusable Job Profile candidate while separating knowledge, controlled information, records, retention and search/index semantics.",decompose-f26-role-work-products-and-validate-information-record-retention-search-permission-boundaries
JP-F26.10-PROFESSIONAL,Lessons Learned Coordinator,professional,JF-F26,F26,F26.10,5,"Lessons Learned plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F26 source title and accountability describe a coherent independently employable knowledge/document/records specialist role. Retain as a reusable Job Profile candidate while separating knowledge, controlled information, records, retention and search/index semantics.",decompose-f26-role-work-products-and-validate-information-record-retention-search-permission-boundaries
