candidate_key,family_id,family_name,canonical_name,semantic_kind,maturity,source
BOF-01-001,BOF-01,"Tenant, identity, party and enterprise structure",Tenant,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-002,BOF-01,"Tenant, identity, party and enterprise structure",Party,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-003,BOF-01,"Tenant, identity, party and enterprise structure",Person,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-004,BOF-01,"Tenant, identity, party and enterprise structure",Organisation,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-005,BOF-01,"Tenant, identity, party and enterprise structure",Legal Entity,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-006,BOF-01,"Tenant, identity, party and enterprise structure",Enterprise Group,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-007,BOF-01,"Tenant, identity, party and enterprise structure",Organisation Unit,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-008,BOF-01,"Tenant, identity, party and enterprise structure",Division,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-009,BOF-01,"Tenant, identity, party and enterprise structure",Branch,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-010,BOF-01,"Tenant, identity, party and enterprise structure",Office,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-011,BOF-01,"Tenant, identity, party and enterprise structure",Team,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-012,BOF-01,"Tenant, identity, party and enterprise structure",Membership,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-013,BOF-01,"Tenant, identity, party and enterprise structure",User Identity,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-014,BOF-01,"Tenant, identity, party and enterprise structure",Contact Point,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-015,BOF-01,"Tenant, identity, party and enterprise structure",Address,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-016,BOF-01,"Tenant, identity, party and enterprise structure",Party Relationship,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-017,BOF-01,"Tenant, identity, party and enterprise structure",Ownership Relationship,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-018,BOF-01,"Tenant, identity, party and enterprise structure",Role Assignment,relationship,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-019,BOF-01,"Tenant, identity, party and enterprise structure",Delegated Authority,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-01-020,BOF-01,"Tenant, identity, party and enterprise structure",External Identifier,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-001,BOF-02,"Strategy, governance and enterprise performance",Strategy Framework,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-002,BOF-02,"Strategy, governance and enterprise performance",Strategic Objective,projection / measure,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-003,BOF-02,"Strategy, governance and enterprise performance",Strategic Theme,projection / measure,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-004,BOF-02,"Strategy, governance and enterprise performance",Strategic Initiative,projection / measure,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-005,BOF-02,"Strategy, governance and enterprise performance",Business Plan,plan,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-006,BOF-02,"Strategy, governance and enterprise performance",Scenario,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-007,BOF-02,"Strategy, governance and enterprise performance",Assumption,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-008,BOF-02,"Strategy, governance and enterprise performance",KPI Definition,configuration / policy,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
BOF-02-009,BOF-02,"Strategy, governance and enterprise performance",Target,master / identity,candidate,construction-and-built-environment.md + canonical-business-object-discovery.md
