record_id,function_code,function_name,market_layer,market_category,vendor,product_or_suite,job_profile_ids,job_tasks,work_products,module_or_tool,source_url,verified_date,research_status
MTR-0001,F01,Strategy & Enterprise Planning,ENTERPRISE_FUNCTION,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Planview,Planview,,,,,https://www.planview.com/,2026-09-21,DISCOVERY_SEED
MTR-0002,F01,Strategy & Enterprise Planning,ENTERPRISE_FUNCTION,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Anaplan,Anaplan,,,,,https://www.anaplan.com/,2026-09-21,DISCOVERY_SEED
MTR-0003,F01,Strategy & Enterprise Planning,ENTERPRISE_FUNCTION,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Workday,Workday Adaptive Planning,,,,,https://www.workday.com/,2026-09-21,DISCOVERY_SEED
MTR-0004,F01,Strategy & Enterprise Planning,ENTERPRISE_FUNCTION,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Oracle,Oracle EPM,,,,,https://www.oracle.com/,2026-09-21,DISCOVERY_SEED
MTR-0005,F01,Strategy & Enterprise Planning,ENTERPRISE_FUNCTION,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",SAP,SAP Analytics Cloud,,,,,https://www.sap.com/products.html,2026-09-21,DISCOVERY_SEED
MTR-0006,F01,Strategy & Enterprise Planning,ENTERPRISE_FUNCTION,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Board,Board,,,,,https://www.board.com/,2026-09-21,DISCOVERY_SEED
MTR-0007,F01,Strategy & Enterprise Planning,ENTERPRISE_FUNCTION,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",IBM,IBM Planning Analytics,,,,,https://www.ibm.com/,2026-09-21,DISCOVERY_SEED
MTR-0008,F01,Strategy & Enterprise Planning,ENTERPRISE_FUNCTION,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Jedox,Jedox,,,,,https://www.jedox.com/,2026-09-21,DISCOVERY_SEED
MTR-0009,F01,Strategy & Enterprise Planning,ENTERPRISE_FUNCTION,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Pigment,Pigment,,,,,https://www.pigment.com/,2026-09-21,DISCOVERY_SEED
MTR-0010,F01,Strategy & Enterprise Planning,ENTERPRISE_FUNCTION,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Cascade,Cascade,,,,,https://www.cascade.app/,2026-09-21,DISCOVERY_SEED
