l2_id,function_code,function_name,l2_name,activity_count,native_engine_ids,shared_platform_engine_ids,mapping_status,effective_date
"F01.01","F01","Strategy & Enterprise Planning","Vision & purpose","5","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F01.02","F01","Strategy & Enterprise Planning","Environmental analysis","6","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F01.03","F01","Strategy & Enterprise Planning","Strategic planning","5","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F01.04","F01","Strategy & Enterprise Planning","Business planning","5","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F01.05","F01","Strategy & Enterprise Planning","Operating model","5","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F01.06","F01","Strategy & Enterprise Planning","Goal & KPI management","6","NTE-011;NTE-013;NTE-033","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F01.07","F01","Strategy & Enterprise Planning","Strategic review","5","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F01.08","F01","Strategy & Enterprise Planning","Scenario & foresight planning","4","NTE-011;NTE-013","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F02.01","F02","Corporate Governance","Board governance","5","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
"F02.02","F02","Corporate Governance","Governance framework","4","NTE-012;NTE-002;NTE-004","NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009","FUNCTION_AND_L2_SEMANTIC_BASELINE","2026-09-21"
