record_type,context_or_mechanism,defined_or_owned_at,scope_or_applies_to,manager_or_owner,reusable,local_extension,role_system_groups,policy_relationship,object_process_resolution,verified_conclusion
CONTEXT,Site,Top level,Whole installation,Site administrator,N/A,N/A,N/A,Top-level policy authority,Administrative source,"One Site context"
CONTEXT,Organisation,Child of Site,Organisation and child application contexts,Organisation administrator,N/A,N/A,N/A,"Owns /Default /Private /Default/PDM /Default/Project and Shared Team domains","Supplies reusable groups roles teams and templates","Application contexts are children of an Organisation"
CONTEXT,Product,Application context,Product work,Product Manager,Via Shared Team,"Yes when Shared Team permits",Yes,"Public default inherits Organisation /Default/PDM; private inherits /Private; Shared Team contexts inherit Shared Team domain",Yes,"Has Context Team; PDMLink-style object-team resolution applies"
CONTEXT,Library,Application context,Library work,Library Manager,Via Shared Team,"Yes when Shared Team permits",Yes,"Public default inherits Organisation /Default/PDM; private inherits /Private; Shared Team contexts inherit Shared Team domain",Yes,"Has Context Team; PDMLink-style object-team resolution applies"
CONTEXT,Project,Application context,Project collaboration and plan work,Project Manager,Via Shared Team,"Yes when Shared Team permits",Yes,"Public default inherits Organisation /Default/Project; private inherits /Private; Shared Team contexts inherit Shared Team domain","ProjectLink does not use Team Templates","Has Context Team; do not assume PDMLink Team Template semantics"
CONTEXT,Program,Application context,Program collaboration,Program Manager,Via Shared Team,"Yes when Shared Team permits",Yes,"Public default inherits Organisation /Default/Project; private inherits /Private; Shared Team contexts inherit Shared Team domain","ProjectLink does not use Team Templates","Has Context Team; do not assume PDMLink Team Template semantics"
MECHANISM,User-defined Group,Site or Organisation,"Reusable participant collection for teams policy and collaboration",Group administrator,Yes,N/A,No,"May be targeted by access policy","Can feed participant resolution indirectly","Stable organisational grouping is distinct from Context Team"
MECHANISM,Organisation Role Vocabulary,Organisation,"Role definitions available for application-context participation",Organisation administrator,Yes,N/A,N/A,"Roles can participate in dynamic/policy rules","Provides role semantics","Role definition is not a team"
MECHANISM,Shared Team,Organisation,"Reusable roles and members for child application contexts",Shared Team Manager,Yes,"Optional",Yes,"Creates Shared Team domain below Organisation /Default; consuming context /Default inherits it","Feeds Context Team and therefore object/process participation","Reusable participation plus policy-domain topology"
MECHANISM,Context Team,Product Library Project or Program,"One application context",Context manager,No,"Local and/or Shared Team composition",Yes,"Role system groups can be targeted by policy","Feeds object-team/workflow participant resolution","Context-specific participation is distinct from enduring organisational capability"
MECHANISM,Team Members System Group,Application context,"All invited context-team members",System-maintained,No,N/A,System group itself,"Can be targeted by policy","Broad context membership only","Guest is excluded"
MECHANISM,Object Team,Business object,"One lifecycle/workflow-managed object",Resolved by governing definitions,No,N/A,Implementation-specific,"Can carry ad-hoc/lifecycle/workflow access effects","Consolidates Team Template lifecycle Context Team and workflow roles","Object Team is not Context Team"
MECHANISM,Team Template,"Site Organisation Product or Library","Lifecycle/workflow-managed object role mapping",Administrative users,Yes,N/A,Roles create corresponding system groups,"Participates through resolved object-team roles","Default role-resolution precedence is explicitly defined","ProjectLink does not use Team Templates"
MECHANISM,Workflow Participant Resolution,Workflow instance/activity,"Runtime activity/task candidates and actors",Workflow definition/runtime,No,N/A,N/A,"Workflow/lifecycle access effects remain distinct","Produces actual task/decision actors","Runtime actor evidence must be retained separately from static team definition"
