source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F20-FUNCTION-LEAD,"Head of Risk, Compliance & Assurance",head,JF-F20,F20,F20.01|F20.02|F20.03|F20.04|F20.05|F20.06|F20.07|F20.08|F20.09|F20.10|F20.11|F20.12|F20.13|F20.14|F20.15|F20.16,63,"Risk, Compliance, Internal Control & Audit strategy and operating plan | Function policies, standards and governance decisions | Resource and investment priorities | Performance, risk and assurance reporting | Improvement and capability roadmap",,,,reconciled-retain-employment-profile-head,The generated function-lead profile represents a coherent reusable senior leadership employment role accountable across the function. Retain as a candidate Job Profile; its function scope defines accountability provenance and does not grant permissions or delegated authority.,decompose-head-role-work-products-governance-decisions-performance-and-handoffs
JP-F20.01-PROFESSIONAL,Enterprise Risk Manager,professional,JF-F20,F20,F20.01,4,"Risk Framework plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F20 source title and accountability represent a coherent independently employable risk/compliance/control/audit specialist role. Retain as a reusable Job Profile candidate; preserve independence, restricted-case access, evidence lineage and assurance separation.",decompose-f20-role-work-products-and-validate-risk-control-compliance-audit-case-boundaries-authority-and-independence
JP-F20.02-PROFESSIONAL,Risk Analyst,professional,JF-F20,F20,F20.02,3,"Risk Identification plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-compose-into-risk-analyst,Risk Identification and Risk Assessment are successive accountabilities of one Risk Analyst employment role over the same Enterprise Risk / Assessment aggregate.,compose-f20-02-and-f20-03-activities-into-one-job-profile
JP-F20.03-PROFESSIONAL,Risk Analyst,professional,JF-F20,F20,F20.03,4,"Risk Assessment plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-compose-into-risk-analyst,Risk Identification and Risk Assessment are successive accountabilities of one Risk Analyst employment role over the same Enterprise Risk / Assessment aggregate.,compose-f20-02-and-f20-03-activities-into-one-job-profile
JP-F20.04-PROFESSIONAL,Risk Manager,professional,JF-F20,F20,F20.04,5,"Risk Treatment plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F20 source title and accountability represent a coherent independently employable risk/compliance/control/audit specialist role. Retain as a reusable Job Profile candidate; preserve independence, restricted-case access, evidence lineage and assurance separation.",decompose-f20-role-work-products-and-validate-risk-control-compliance-audit-case-boundaries-authority-and-independence
JP-F20.05-PROFESSIONAL,Risk Monitoring Analyst,professional,JF-F20,F20,F20.05,4,"Risk Monitoring plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F20 source title and accountability represent a coherent independently employable risk/compliance/control/audit specialist role. Retain as a reusable Job Profile candidate; preserve independence, restricted-case access, evidence lineage and assurance separation.",decompose-f20-role-work-products-and-validate-risk-control-compliance-audit-case-boundaries-authority-and-independence
JP-F20.06-PROFESSIONAL,Compliance Manager,professional,JF-F20,F20,F20.06,4,"Regulatory Compliance plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F20 source title and accountability represent a coherent independently employable risk/compliance/control/audit specialist role. Retain as a reusable Job Profile candidate; preserve independence, restricted-case access, evidence lineage and assurance separation.",decompose-f20-role-work-products-and-validate-risk-control-compliance-audit-case-boundaries-authority-and-independence
JP-F20.07-PROFESSIONAL,Compliance Monitoring Specialist,professional,JF-F20,F20,F20.07,4,"Compliance Monitoring plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F20 source title and accountability represent a coherent independently employable risk/compliance/control/audit specialist role. Retain as a reusable Job Profile candidate; preserve independence, restricted-case access, evidence lineage and assurance separation.",decompose-f20-role-work-products-and-validate-risk-control-compliance-audit-case-boundaries-authority-and-independence
JP-F20.08-PROFESSIONAL,Internal Controls Specialist,professional,JF-F20,F20,F20.08,4,"Control Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F20 source title and accountability represent a coherent independently employable risk/compliance/control/audit specialist role. Retain as a reusable Job Profile candidate; preserve independence, restricted-case access, evidence lineage and assurance separation.",decompose-f20-role-work-products-and-validate-risk-control-compliance-audit-case-boundaries-authority-and-independence
JP-F20.09-PROFESSIONAL,Controls Assurance Specialist,professional,JF-F20,F20,F20.09,4,"Control Testing plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F20 source title and accountability represent a coherent independently employable risk/compliance/control/audit specialist role. Retain as a reusable Job Profile candidate; preserve independence, restricted-case access, evidence lineage and assurance separation.",decompose-f20-role-work-products-and-validate-risk-control-compliance-audit-case-boundaries-authority-and-independence
JP-F20.10-PROFESSIONAL,Internal Audit Manager,professional,JF-F20,F20,F20.10,3,"Internal Audit Planning plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-compose-into-internal-audit-manager,Internal Audit Planning and Audit Reporting are lifecycle responsibilities of one Internal Audit Manager role. F20.11 Internal Auditor remains a distinct execution role.,compose-f20-10-and-f20-12-and-define-manager-vs-auditor-handoff
JP-F20.11-PROFESSIONAL,Internal Auditor,professional,JF-F20,F20,F20.11,5,"Audit Execution plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,"The F20 source title and accountability represent a coherent independently employable risk/compliance/control/audit specialist role. Retain as a reusable Job Profile candidate; preserve independence, restricted-case access, evidence lineage and assurance separation.",decompose-f20-role-work-products-and-validate-risk-control-compliance-audit-case-boundaries-authority-and-independence
