translation_id,windchill_semantic,source_coverage,nublox_current_boundary,disposition,candidate_nublox_requirement,architecture_owner,status
NTR-001,Administrative/Application Context,"WHC-001;WHC-002","Tenant; Organisation; Programme; Project; Contract; Site; Asset; Service context",EXTEND_REDESIGN,"Generic working Context with explicit type/owner while preserving recursive Organisation hierarchy",Enterprise Kernel,CANDIDATE_REQUIREMENT
NTR-002,Policy Domain hierarchy,WHC-006,"Contextual Access Policy; Permission; scope",EXTEND,"Policy scope hierarchy/inheritance source and local override provenance",Enterprise Kernel,CANDIDATE_REQUIREMENT
NTR-003,Context Team / Shared Team / Object Team,"WHC-004;WHC-005","Team; Membership; Responsibility; Deployment; Authority",REDESIGN,"Context-specific Team instance consuming canonical Function/Professional Domain with explicit membership/responsibility resolution",Enterprise Kernel + Capability Framework,ALIGNED_WITH_ADR_0005
NTR-004,Windchill Role / role system group,"WHC-003;WHC-004","Responsibility; access role; Permission; Authority; Job Profile",RETAIN_SEPARATION,"Do not map vendor role directly to Job Profile or Permission; resolve purpose-specific responsibility/access/authority",Enterprise Kernel,ALIGNED
NTR-005,Profile / action visibility,WHC-007,"Permission plus workspace UX",EXTEND,"UI Visibility Policy distinct from authorization/entitlement",Enterprise Kernel / UX,CANDIDATE_REQUIREMENT
NTR-006,Security Label / Agreement,WHC-008,"Classification; Agreement; Permission; scope",EXTEND,"Information Security Classification + Clearance/Authorization + Agreement exception/effectivity",Enterprise Kernel,CANDIDATE_REQUIREMENT
NTR-007,Type / Subtype / Attribute Definition,WHC-009,"canonical type/relationship definitions planned as governed reference data",ADD_EXPLICIT,"Type Definition; Attribute Definition; Constraint Definition; Enumeration Definition",Enterprise Kernel,CANDIDATE_CANONICAL_IDENTITY
NTR-008,Classification tree/node,WHC-010,"Classification",EXTEND,"Classification Scheme; Node; Classification Assignment",Enterprise Kernel,ALIGNED_EXTEND
NTR-009,Template families,WHC-011,"Lifecycle/Workflow definitions plus domain configuration",ADD_GENERIC_CONTROL,"Template Definition with typed template families and context applicability",Enterprise Kernel,CANDIDATE_CANONICAL_IDENTITY
NTR-010,Object Initialization Rule,WHC-012,"domain factories/defaults not named as business identity",ADD_CONTROL,"Object Initialization Policy / Creation Rule with inheritance/override provenance",Enterprise Kernel,CANDIDATE_CANONICAL_IDENTITY
NTR-011,Preference hierarchy,WHC-013,"preferences referenced but no canonical identity in object model",ADD_CONTROL,"Preference Definition + Effective Preference Value + scope/inheritance/lock",Enterprise Kernel,CANDIDATE_CANONICAL_IDENTITY
NTR-012,Life Cycle Definition / state,WHC-014,Lifecycle,RETAIN,"Lifecycle Definition; State; Transition; exact subject state",Enterprise Kernel,ALIGNED
NTR-013,Workflow Template / Process / Activity / Task,WHC-015,"Workflow; Work Item; Assignment",RETAIN_EXTEND,"Workflow Definition; Instance; Activity Instance; Work Item; Assignment",Enterprise Kernel,ALIGNED
NTR-014,Promotion Request / maturity gate,WHC-016,"Decision; Approval; Lifecycle; Baseline",REDESIGN,"Maturity/Release Decision that references exact governed subject/version and transition",Enterprise Kernel,ALIGNED_PATTERN
NTR-015,Master / Revision / Iteration,WHC-017,"Master Identity; Revision; Iteration",RETAIN,"Per-object-family controlled identity/version policy",Enterprise Kernel,ALIGNED
NTR-016,Working Copy / Workspace / commonspace,WHC-018,"working draft/copy named in kernel semantics",EXTEND,"Working Copy / Authoring Session / Workspace identity where authoring requires isolation and merge",Enterprise Kernel + Authoring Engines,CANDIDATE_REQUIREMENT
NTR-017,Part / product structure / usage / occurrence,WHC-019,"Item; Product; Configuration Item; governed Relationship",RETAIN_EXTEND,"Definition Item + typed Usage Relationship + occurrence-specific identity/overrides",Product/Asset Domain,ALIGNED_EXTEND
NTR-018,CAD Document / CAD structure,WHC-020,"Information Container; Representation; Item/Product relationships",REDESIGN,"Native Authoring Object/Model + controlled Information identity + Representation",Professional Authoring Engine,ALIGNED_PATTERN
NTR-019,CAD-Part association/build authority,WHC-020,"governed Relationship",ADD_SPECIALISED_RELATIONSHIP,"Authoring Association / Build Rule / Synchronisation State / reconciliation evidence",Product + Authoring,CANDIDATE_REQUIREMENT
NTR-020,Configuration Specification / Navigation Criteria,WHC-021,"Configuration; Baseline; Effectivity",ADD_EXPLICIT,"Configuration Resolution Rule/Specification + ordered criteria + resolved result evidence",Enterprise Kernel,CANDIDATE_CANONICAL_IDENTITY
NTR-021,Effectivity,WHC-021,Effectivity,RETAIN,"Typed date/unit/serial/lot/context applicability",Enterprise Kernel,ALIGNED
NTR-022,Option / Choice / Option Set / Variant Specification,WHC-022,"Product; Configuration",ADD_DOMAIN_FAMILY,"Product Option; Choice; Option Set; Rule; Variant Specification",Product/Service Domain,CANDIDATE_DOMAIN_AGGREGATE
NTR-023,Managed Baseline / Plan Baseline / Managed Collection,WHC-023,Baseline,EXTEND,"Baseline plus separate mutable Managed Collection / snapshot semantics by purpose",Enterprise Kernel,CANDIDATE_REQUIREMENT
NTR-024,Change objects / Redline branch,WHC-024,Change,EXTEND,"Change Proposal/Request/Order/Task specialisations + Proposed Change Branch/Redline + conflict/rebase evidence",Enterprise Kernel + Domain,CANDIDATE_REQUIREMENT
NTR-025,Plan / Activity / Resource / Deliverable,WHC-025,"Programme; Project; Work Package; Activity; Assignment; Deliverable",RETAIN_EXTEND,"Project Plan/Schedule/Dependency/Resource Assignment/Plan Baseline aggregates",Project Engine,ALIGNED_EXTEND
NTR-026,Project-PDM share/PDM checkout/send-to-PDM,WHC-026,"external provenance; context; governed relationships",REDESIGN,"Cross-context authority/provenance relationship with explicit source/master and collaboration state",Enterprise Kernel,CANDIDATE_REQUIREMENT
NTR-027,Package / Delivery / Received Delivery,WHC-027,"Issue/Transmittal; Recipient Response; external identity",EXTEND_ADD,"Exchange Package; Delivery; Receipt/Received Delivery; Mapping; Delta Item; Adoption/Authority Transfer",Information + Integration,CANDIDATE_CANONICAL_IDENTITY
NTR-028,Information Structure / Publication Structure / Parts List,WHC-028,"Information Container; Deliverable Item; Representation",ADD_DOMAIN_STRUCTURE,"Information Structure; Publication Structure; Service Parts List with applicability",Information/Service Domain,CANDIDATE_DOMAIN_AGGREGATE
NTR-029,Supplier / AML-AVL / Sourcing Context,WHC-029,"Supplier relationship; Organisation; Agreement",EXTEND,"Sourcing Context; Supplier-Part Relationship; Source Approval Status/Effectivity; Sourcing Rule",Supplier/Procurement Domain,CANDIDATE_DOMAIN_AGGREGATE
NTR-030,Process Plan / Operation / Sequence,WHC-030,"Process; Activity; Task Definition",EXTEND_SPECIALISE,"Manufacturing Process Plan; Operation; Sequence using shared process/work controls",Manufacturing Domain,CANDIDATE_DOMAIN_AGGREGATE
NTR-031,Manufacturing Resource,WHC-030,"resource planning engines but no common canonical Resource named in object model",ADD_DOMAIN_FAMILY,"Resource; Work Center; Skill; Tooling; Processing Material; allocation relationship",Manufacturing + Resource Planning,CANDIDATE_DOMAIN_AGGREGATE
NTR-032,Control Characteristic,WHC-030,"Requirement/inspection concepts; not explicit canonical characteristic",ADD_DOMAIN_FAMILY,"Control/Quality Characteristic definition + target/specification + allocation to Item/Process/Operation",Quality + Manufacturing,CANDIDATE_DOMAIN_AGGREGATE
NTR-033,Nonconformance,WHC-031,"F13 capability named but no canonical NC object in object model",ADD_DOMAIN_AGGREGATE,"Nonconformance + affected subject + disposition + containment/correction evidence",Quality Domain,CANDIDATE_DOMAIN_AGGREGATE
NTR-034,CAPA,WHC-031,"F13 CAPA capability named but no canonical CAPA object in object model",ADD_DOMAIN_AGGREGATE,"CAPA + Plan + Action + effectiveness verification",Quality Domain,CANDIDATE_DOMAIN_AGGREGATE
NTR-035,Quality Audit / Customer Experience / Regulatory Submission,WHC-031,"Audit; customer case; compliance capabilities",SPECIALISE,"Quality Audit; Customer Experience/Complaint; Regulatory Submission domain aggregates with family-specific version semantics",Quality/Regulatory Domain,CANDIDATE_DOMAIN_AGGREGATE
NTR-036,Controlled Document / Training Assignment / Training Record,WHC-032,"Document; Record; Person; Competence Evidence",EXTEND,"Training Requirement/Assignment/Completion Record linked to controlled document version/effectivity",HCM + Quality/Records,CANDIDATE_REQUIREMENT
NTR-037,Design History / Design Review,WHC-033,"Deliverable; Review/Decision; Information; Evidence",RETAIN_EXTEND,"Design Review subject/version + participant decision evidence + controlled design-history collection",Product/Quality,ALIGNED_EXTEND
NTR-038,Remote OSLC trace / suspect link,WHC-034,"governed Relationship; external identity/provenance",EXTEND,"Typed Trace Relationship + source authority + suspect/impact state + version carry-forward rule",Enterprise Kernel,CANDIDATE_REQUIREMENT
NTR-039,Saved Search / search index,WHC-035,"search projection; analytics",PLATFORM_RUNTIME_EXTEND,"Saved Query definition where user/team reuse matters; index remains projection not canonical truth",Search Platform,CANDIDATE_REQUIREMENT
NTR-040,Representation / publication job,WHC-036,Representation,EXTEND,"Publication Definition/Rule; Publication Job; derivative Representation with source/version provenance",Information Platform,CANDIDATE_REQUIREMENT
NTR-041,Report / Report View / Report Instance,WHC-037,"report/KPI analytical projection named as output but not explicit identities",ADD_ANALYTIC_FAMILY,"Report Definition; Saved Report View; immutable Report Instance/Snapshot; Schedule",Reporting Platform,CANDIDATE_CANONICAL_IDENTITY
NTR-042,Event / Audit / Subscription / Notification,WHC-038,"Event; Audit; Notification; Evidence",EXTEND,"Subscription + Event Type + retention policy separate from authoritative state",Enterprise Kernel,ALIGNED_EXTEND
NTR-043,WRS Domain / Entity / Action,WHC-039,"native engine/domain command architecture",REFERENCE_PATTERN,"API contract exposes domain objects/commands/navigation not database tables; machine-readable version metadata",API Platform,ALIGNED_PATTERN
NTR-044,Distribution Target / ESI Transaction / ReleaseActivity,WHC-040,Integration,EXTEND_ADD,"Integration Endpoint; Publication Transaction; Publication Activity; Acknowledgement/Business Result; Source Authority Rule",Enterprise Kernel Integration,CANDIDATE_CANONICAL_IDENTITY
NTR-045,Import Job / Import Mapping / Conflict,WHC-041,"migration principles; integration",ADD_CONTROL,"Migration Plan/Run; Source Reference; Mapping Version; Migration Item Result; Conflict/Disposition; Reconciliation/Cutover evidence",Migration Platform,CANDIDATE_CANONICAL_IDENTITY
NTR-046,Queue / worker / vault / replica / cache,WHC-042,"platform runtime / transactional outbox",PLATFORM_RUNTIME,"Background Job/Queue/Worker and content-storage copy/location model; do not place in business canonical graph unless evidence identity is externally governed",Platform Operations,PLATFORM_REQUIREMENT
NTR-047,Customization / extension layer,WHC-043,"Industry Solutions may extend kernel through governed types/attributes/policies/behaviour",EXTEND_CONTROL,"Extension Definition; Extension Package/Version; compatibility and upgrade-reconciliation evidence",Platform Configuration,CANDIDATE_REQUIREMENT
NTR-048,Physical Part Instance / as-maintained configuration,WHC-047,"Item; Asset; lot/batch/serial identity; Configuration",RETAIN_EXTEND,"Physical Instance identity + allocation/incorporation/installed configuration + temporal as-maintained history",Asset/Product Kernel,ALIGNED_EXTEND
NTR-049,Business Administrative Change package/promotion,WHC-048,"deployment/migration discipline exists but configuration promotion identity not named",ADD_CONTROL,"Environment; Configuration Baseline; Configuration Change Set; Configuration Promotion/Deployment Run; conflict/mapping evidence",Platform Configuration,CANDIDATE_CANONICAL_IDENTITY
NTR-050,Purge / Archive / Restore,WHC-049,"Record; retention/legal requirements; F21/F26 retention/disposition capability",ADD_CONTROL,"Retention Policy; Hold; Disposition Rule/Query; Schedule; Disposition Run/Item Result; Archive Record; Restore Run; Destruction Evidence",Records/Information Governance,CANDIDATE_CANONICAL_IDENTITY
NTR-051,Construction commissioning/test packs/handover,WHC-044,"E-class native engine family named but Windchill evidence insufficient",EXTERNAL_RESEARCH_REQUIRED,"Derive canonical commissioning/system-completion model from CBE standards and specialist tools",CBE Industry Solution,RESEARCH_REQUIRED
NTR-052,Construction commercial/contract administration,WHC-045,"Contract/Agreement/Change/valuation/payment families named but Windchill evidence insufficient",EXTERNAL_RESEARCH_REQUIRED,"Derive instructions/valuation/variation/claim/payment/final-account semantics from construction contracts/market tools",CBE Industry Solution,RESEARCH_REQUIRED
