job_execution_contract_id,job_profile_id,canonical_name,delivery_domain_id,participating_function_codes_candidate,lifecycle_stages,specialist_capabilities,primary_structured_records,current_market_work_pattern,nublox_native_requirement,employment_position_rule,deployment_purpose_rule,native_engine_composition_state,canonical_object_mapping_state,work_product_mapping_state,workspace_acceptance_state,effective_date
ERP-CBE-JP-001,CBE-JP-001,Acoustics consultant,D02,F05;F13;F19;F23;F26;F27,Feasibility; Design; Verification,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,"Perform Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence using specialist authoring, calculation, field or business systems; create and exchange Survey reports; models; recommendations; specifications.","Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-002,CBE-JP-002,Agricultural contractor,D16,F09;F10;F11;F12;F13;F22;F23;F26;F27,Planning; Delivery; Maintenance,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,"Perform Job planning; field operations; plant allocation; labour; materials; service records using specialist authoring, calculation, field or business systems; create and exchange Work orders; field logs; plant records; invoices.","Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-003,CBE-JP-003,Architect,D01,F05;F13;F19;F23;F26;F27,Brief; Design; Construction; Handover,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,"Perform Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews using specialist authoring, calculation, field or business systems; create and exchange Drawings; models; specifications; design decisions; inspection records.","Provide native job workspace for Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews; create/control Drawings; models; specifications; design decisions; inspection records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-004,CBE-JP-004,Architectural technician,D01,F05;F13;F19;F23;F26;F27,Design; Construction,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,"Perform Technical drawings; detailing; schedules; coordination; document production using specialist authoring, calculation, field or business systems; create and exchange Drawings; details; schedules; issue sheets.","Provide native job workspace for Technical drawings; detailing; schedules; coordination; document production; create/control Drawings; details; schedules; issue sheets as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-005,CBE-JP-005,Architectural technologist,D01,F05;F13;F19;F23;F26;F27,Design; Construction; Handover,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,"Perform Technical design management; detailing; compliance; specifications; coordination using specialist authoring, calculation, field or business systems; create and exchange Technical designs; specifications; schedules; compliance records.","Provide native job workspace for Technical design management; detailing; compliance; specifications; coordination; create/control Technical designs; specifications; schedules; compliance records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-006,CBE-JP-006,Bricklayer,D07,F09;F10;F12;F13;F23;F26;F27,Construction,Job planning; setting out; masonry works; materials; progress; quality checks,Work orders; material usage; photos; quality records,"Perform Job planning; setting out; masonry works; materials; progress; quality checks using specialist authoring, calculation, field or business systems; create and exchange Work orders; material usage; photos; quality records.","Provide native job workspace for Job planning; setting out; masonry works; materials; progress; quality checks; create/control Work orders; material usage; photos; quality records as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-007,CBE-JP-007,Builders' merchant,D14,F07;F09;F10;F11;F13;F14;F26;F27,Procurement; Supply,Catalogue; stock; quotations; orders; trade accounts; deliveries; returns,Products; stock; quotes; sales orders; delivery notes; invoices,"Perform Catalogue; stock; quotations; orders; trade accounts; deliveries; returns using specialist authoring, calculation, field or business systems; create and exchange Products; stock; quotes; sales orders; delivery notes; invoices.","Provide native job workspace for Catalogue; stock; quotations; orders; trade accounts; deliveries; returns; create/control Products; stock; quotes; sales orders; delivery notes; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-008,CBE-JP-008,Building control officer,D15,F13;F19;F20;F23;F26;F27,Design; Construction; Completion,Applications; plan assessment; inspections; evidence; defects; decisions,Applications; inspection records; notices; decisions; certificates,"Perform Applications; plan assessment; inspections; evidence; defects; decisions using specialist authoring, calculation, field or business systems; create and exchange Applications; inspection records; notices; decisions; certificates.","Provide native job workspace for Applications; plan assessment; inspections; evidence; defects; decisions; create/control Applications; inspection records; notices; decisions; certificates as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-009,CBE-JP-009,Building services engineer,D02,F05;F13;F19;F23;F26;F27,Design; Construction; Commissioning,MEP design; calculations; equipment schedules; coordination; commissioning requirements,Designs; calculations; specifications; equipment schedules,"Perform MEP design; calculations; equipment schedules; coordination; commissioning requirements using specialist authoring, calculation, field or business systems; create and exchange Designs; calculations; specifications; equipment schedules.","Provide native job workspace for MEP design; calculations; equipment schedules; coordination; commissioning requirements; create/control Designs; calculations; specifications; equipment schedules as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
ERP-CBE-JP-010,CBE-JP-010,Building surveyor,D03,F05;F07;F14;F19;F22;F26;F27,Survey; Design; Construction; Operations,Condition surveys; defects; schedules; project advice; dilapidations; maintenance planning,Survey reports; defect schedules; photos; scopes; certificates,"Perform Condition surveys; defects; schedules; project advice; dilapidations; maintenance planning using specialist authoring, calculation, field or business systems; create and exchange Survey reports; defect schedules; photos; scopes; certificates.","Provide native job workspace for Condition surveys; defects; schedules; project advice; dilapidations; maintenance planning; create/control Survey reports; defect schedules; photos; scopes; certificates as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PERSON_EXECUTES_THROUGH_ACTIVE_POSITION_JOB_PROFILE_AND_CONTEXTUAL_DEPLOYMENT,RUNTIME_DEPLOYMENT_PURPOSE__FUNCTIONAL_GOVERNANCE_OR_FUNCTIONAL_DELIVERY,TO_MAP_TO_NATIVE_ENGINES,TO_MAP_TO_CANONICAL_OBJECTS,SOURCE_STRUCTURED_RECORDS_IDENTIFIED__GOVERNED_OUTPUT_MAPPING_REQUIRED,NOT_ACCEPTED_UNTIL_JOB_CAN_BE_PERFORMED_END_TO_END_IN_NUBLOX,2026-09-24
