job_archetype_id,work_product_id,work_product_name,job_accountability_candidate,exact_activity_ids,activity_mapping_state,mapping_finding,primary_aggregate_candidates,object_candidates,next_architecture_action
JOB-PM,WP-PM-001,Project Charter / Initiation Record,accountable,F27.04.A01|F27.04.A02|F27.04.A03|F27.04.A05,mapped,"Initiation activities explicitly cover scope, objectives, sponsor and charter.",AGG-06-PROJECT,CBO-PROJECT,validate charter lifecycle and approval authority
JOB-PM,WP-PM-002,Stakeholder / Responsibility Plan,accountable,F27.04.A03|F27.04.A04,mapped-partial,Sponsor and stakeholder identification are explicit; responsibility-assignment semantics need Position/Party-role validation.,AGG-06-PROJECT,CBO-PROJECT|Project Participation / Responsibility Assignment,validate project responsibility assignment object and effective dating
JOB-PM,WP-PM-003,Project Management Plan,accountable,F27.04.A01|F27.04.A02|F27.04.A05|F27.05.A01|F27.05.A02|F27.05.A03|F27.05.A04,mapped-composite,The plan composes initiation and planning activities; the issued controlled-plan representation remains an Information Container concern.,AGG-06-PROJECT|AGG-06-SCHEDULE,CBO-PROJECT|Information Container / Plan,define controlled plan lifecycle and exact representation semantics
JOB-PM,WP-PM-004,Work Breakdown Structure,accountable; specialist authoring may be delegated,,gap,"AGG-06-WBS exists as a secondary aggregate to Project Planning, but no explicit source activity creates or governs the WBS.",AGG-06-WBS,WBS Element,add explicit WBS creation/governance activity to project planning taxonomy
JOB-PM,WP-PM-005,Project Schedule,accountable; Project Planner may author,F27.05.A01|F27.07.A03,mapped,Project Planning explicitly builds the schedule and Project Control explicitly controls schedule.,AGG-06-SCHEDULE|AGG-06-PROJECT-CONTROLS,DEL-SCHEDULE,validate baseline/version/approval semantics separately
JOB-PM,WP-PM-006,Project Budget,accountable; finance/controls may author,F27.05.A02|F27.07.A02,mapped,Planning and control both include budget activity; ledger/budget aggregate ownership must remain separate from project accountability.,AGG-06-SCHEDULE|AGG-06-PROJECT-CONTROLS|AGG-19-LEDGER,Budget,validate finance aggregate ownership and authority
JOB-PM,WP-PM-007,Resource Plan,accountable; resource managers may fulfil,F27.05.A03|F27.10.A01|F27.10.A02|F27.10.A03,mapped,"Project Planning includes resource planning and Resource Management covers demand, allocation and utilisation.",AGG-06-SCHEDULE|AGG-18-WORKFORCE-ALLOCATION,HCM-WORKFORCE-ALLOCATION,validate Position/Person/contractor/plant resource semantics
JOB-PM,WP-PM-008,Project Risk / Issue / Decision / Action Register,accountable,F27.05.A04|F27.06.A04|F27.07.A04,mapped-partial,"Risk planning, issue management and project-control risk are explicit. Decision/action-record semantics are cross-cutting and not fully represented by an F27 activity.",AGG-06-PROJECT|AGG-06-PROJECT-CONTROLS|AGG-21-RISK|AGG-27-DECISION,Risk / Issue / Decision / Action,validate shared decision/action model without duplicating project state
JOB-PM,WP-PM-009,Project Change Control,accountable,F27.07.A01,gap-partial,"Manage scope is related but is not an explicit project-change lifecycle covering request, impact, decision, implementation and verification.",AGG-06-PROJECT-CONTROLS,Project Change / Commercial Change references,add explicit project-change activity set or governed cross-function mapping
JOB-PM,WP-PM-010,Progress / Status Report,accountable,F27.06.A03,gap-partial,"Monitor progress is explicit, but controlled status-report production and period snapshot issuance are not explicit Project activities.",AGG-06-PROJECT|AGG-06-PROJECT-CONTROLS,Controlled Reporting Snapshot,add explicit project status reporting/snapshot activity
JOB-PM,WP-PM-011,Project Forecast,accountable; controls/finance may author,F27.07.A02|F27.07.A03|F27.07.A04,gap-partial,"Budget, schedule and risk controls provide forecast inputs, but no explicit project forecast activity exists.",AGG-06-PROJECT-CONTROLS|AGG-19-LEDGER,Forecast,add explicit project forecast/update activity and version semantics
JOB-PM,WP-PM-012,Meeting / Decision Record,accountable for project governance,,gap,"F02 contains Board/Committee governance meetings, but there is no project-governance meeting/decision activity suitable for ordinary project management.",AGG-27-DECISION|AGG-02-GOVERNANCE-MEETING,Meeting / Decision,define project-governance meeting/decision activity without reusing board-only semantics
JOB-PM,WP-PM-013,Project Acceptance / Closure Pack,accountable,F27.08.A01|F27.08.A02|F27.08.A03|F27.08.A04,mapped,"Project Closure explicitly covers acceptance, financial close, resource release and lessons capture.",AGG-06-PROJECT|AGG-15-HANDOVER,Project Execution / Close|Handover Package,"validate acceptance authority, archive and handover completeness"
