translation_id,windchill_concept,ptc_semantic_value,nublox_candidate_treatment,treatment_class,notes
PTC-X-001,Administrative Context,"Scoped administrative/work framework with teams policies templates preferences and data","Context as governed operating scope; do not equate with Function or organisation hierarchy",GENERALISE,"Preserve separation between context hierarchy and other hierarchies"
PTC-X-002,Context Team / Shared Team / Object Team,"Different participation scopes and role-resolution mechanisms","Context participation plus object/work participant resolution",GENERALISE,"Do not collapse employment role access role and work assignment"
PTC-X-003,Policy Domain,"Hierarchical ACL policy scope distinct from context hierarchy","Explicit permission-policy scope with inheritance and override",GENERALISE,"Keep authority and effective permission separate"
PTC-X-004,Master / Revision / Iteration,"Stable identity separated from revision maturity and working iteration","Canonical identity plus governed revision/iteration semantics by object family",RETAIN_PATTERN,"Not every NuBlox object must be revisioned identically"
PTC-X-005,Lifecycle,"Governed state model and transitions","Shared lifecycle runtime",RETAIN_PATTERN,"Lifecycle is not workflow and not change authority"
PTC-X-006,Workflow / WorkItem,"Process definition/instance separated from assigned runtime task","Shared work/process runtime with explicit task assignment and outcomes",GENERALISE,"Functional work must use domain work types rather than generic tasks only"
PTC-X-007,Promotion Request,"Controlled maturity transition request with review/approval","Generalised release/maturity decision request",GENERALISE,"Keep distinct from engineering/business change"
PTC-X-008,Business Rule / Rule Set,"Reusable validation and conflict production","Governed validation-policy engine with durable evaluation evidence",GENERALISE,"Do not bury release/readiness rules in UI handlers"
PTC-X-009,Change Objects,"Problem/Request/Notice/Task and typed affected/resulting relationships","Shared governed change runtime with domain-specific change types",GENERALISE,"Preserve intent authority affected/resulting and decision evidence"
PTC-X-010,Redline,"Concurrent proposed-change branch with merge/rebase/conflict handling","Controlled proposed-change branch where object families need concurrent change",GENERALISE,"Avoid universal last-write-wins"
PTC-X-011,Baseline,"Named governed configuration snapshot/reference set","Shared baseline/configuration snapshot service",RETAIN_PATTERN,"Baseline is not folder or arbitrary collection"
PTC-X-012,Configuration Specification,"Explicit rule for selecting effective versions","Configuration-resolution policy",GENERALISE,"Selection authority must be explicit and reproducible"
PTC-X-013,Effectivity,"Applicability by date/unit/serial/lot/context","Shared applicability/effectivity model",GENERALISE,"Useful for assets installed work procurement and release applicability"
PTC-X-014,Part / Usage / Occurrence,"Definition object separate from usage relationship and positioned occurrence","Item/System/Asset definition plus typed usage and occurrence/instance relationships",GENERALISE,"Critical for physical and design structures"
PTC-X-015,Part Configuration / Part Instance,"Resolved configuration separated from serial/lot physical identity","Configured definition plus physical instance/as-maintained identity",GENERALISE,"Extend with CBE asset/system/component semantics"
PTC-X-016,CAD Document / Part Association,"Authoring information separated from product definition with typed build authority","Information/Representation to design/item relationship with explicit synchronisation authority",GENERALISE,"NuBlox authoring must not conflate file and deliverable"
PTC-X-017,Representation / Publishing,"Derived viewable output separated from native source","Representation/publication service",RETAIN_PATTERN,"Supports drawings models reports and exchange derivatives"
PTC-X-018,Package / Received Delivery,"Exchange snapshot delivery acknowledgement mapped import and retained source authority","Governed transmittal/exchange package with explicit adoption/authority-transfer process",GENERALISE,"Receipt must not imply technical acceptance or source-authority transfer"
PTC-X-019,Supplier / AML / AVL / Sourcing Context,"Supplier identity separate from contextual source approval","Supplier identity plus qualification/source-approval relationship",GENERALISE,"Extend beyond Windchill with qualification audit performance compliance"
PTC-X-020,Process Plan / Operation / Resource / Control Characteristic,"Manufacturing process definition separates operations resources and inspection characteristics","General process/operation/resource/control-characteristic primitives where applicable",GENERALISE,"Do not mistake manufacturing execution for construction field execution"
PTC-X-021,Quality NC / CAPA / Audit,"Separate quality process families with affected subjects plans actions and evidence","Shared issue/nonconformance corrective-action assurance primitives with domain specialisation",GENERALISE,"Do not force Part-style version semantics"
PTC-X-022,Context Network,"Referential graph connecting contexts without changing hierarchy","Cross-context relationship graph",GENERALISE,"Useful for programmes portfolios contracts projects sites assets"
PTC-X-023,Discussion / Meeting / Notebook,"Collaboration records separate from governed work and authority","Collaboration layer referencing governed objects/work",GENERALISE,"Conversation must not be authoritative state"
PTC-X-024,WRS OData Domain,"Functionally bounded API contract with entities navigations functions and actions","Capability/domain API boundary exposing canonical objects and commands",GENERALISE,"Do not expose persistence schema as API"
PTC-X-025,ESI Distribution Target / Transaction,"Explicit outbound target publication transaction acknowledgement and retry","Integration target plus publication transaction/result evidence",GENERALISE,"Source authority and retry/idempotency must be explicit"
PTC-X-026,Business Administrative Change Promotion,"Governed promotion of administrative configuration between systems","Configuration promotion/change-set mechanism for platform administration",GENERALISE,"Separate from business-data migration and code deployment"
PTC-X-027,Purge / Archive / Restore,"Governed disposition distinct from ordinary delete and backup","Retention disposition archive restore controls",GENERALISE,"Tie to records/legal policy"
PTC-X-028,Windchill module/container boundaries,"Vendor product packaging and implementation segmentation","Do not adopt as NuBlox product architecture",REJECT_VENDOR_BOUNDARY,"NuBlox boundaries follow canonical enterprise/CBE capability ownership"
PTC-X-029,Commissioning / system completion / handover,"No sufficient first-class Windchill semantic family","Benchmark dedicated CBE tools/standards and define native NuBlox model",EXTERNAL_GAP,"PTC primitives insufficient"
PTC-X-030,Construction commercial / contract administration,"Outside Windchill core capability","Benchmark construction commercial and ERP systems",EXTERNAL_GAP,"Needs instructions valuations variations claims payment final-account semantics"
PTC-X-031,Site production / field execution,"Outside Windchill core capability","Benchmark field/project production systems",EXTERNAL_GAP,"Needs daily records permits RAMS inspections quantities crews equipment workfaces"
