engine_id,engine_name,engine_class,primary_function_codes,participating_function_codes,canonical_scope,canonical_object_families,implementation_state
"NTE-001","Party, Organisation & Identity","A_PLATFORM_CONTROL","F02;F15","F01-F29","Canonical tenant, Party, Person, Organisation, Organisation Unit, Position, membership and identity management","Tenant; Party; Person; Organisation; Organisation Unit; Position; Membership","IMPLEMENTED_PLATFORM"
"NTE-002","Access, Responsibility & Authority","A_PLATFORM_CONTROL","F02;F16;F18;F20","F01-F29","Permission, scope, responsibility, delegated authority, segregation-of-duties and controlled denial","Permission; Access Role; Responsibility; Authority Definition; Authority Grant; Delegation","IMPLEMENTED_PLATFORM"
"NTE-003","Workflow, Work & Assignment","A_PLATFORM_CONTROL","F29","F01-F29","Workflow definition/execution, work items, assignment, queues, due dates, escalation and My Work","Workflow Definition; Workflow Instance; Work Item; Assignment","IMPLEMENTED_PLATFORM"
"NTE-004","Lifecycle, Decision & Evidence","A_PLATFORM_CONTROL","F02;F13;F20;F26","F01-F29","Lifecycle state control, immutable decisions, approval evidence and audit history","Lifecycle; Decision; Evidence; Audit Entry; Event","IMPLEMENTED_PLATFORM"
"NTE-005","Information, Revision & Representation","A_PLATFORM_CONTROL","F26","F01-F29","Controlled information identity, revision/iteration, representations, issue state and provenance","Information Container; Revision; Iteration; Representation; Document; Record","IMPLEMENTED_PLATFORM"
"NTE-006","Change, Configuration & Baseline","A_PLATFORM_CONTROL","F05;F26","F01-F29","Governed change, affected objects, configuration items, baselines and effectivity","Change; Configuration Item; Configuration; Baseline; Effectivity","IMPLEMENTED_PLATFORM"
"NTE-007","Deliverable, Issue & Acceptance","A_PLATFORM_CONTROL","F27","F01-F29","Deliverable requirements/items, review, issue/transmittal, recipient response, acceptance and rework","Deliverable Requirement; Deliverable Item; Transmittal; Acceptance","IMPLEMENTED_PLATFORM"
"NTE-008","Events, Integration & Portability","A_PLATFORM_CONTROL","F16;F17","F01-F29","Business events, transactional outbox, import/export, provenance, reconciliation and integration jobs","Business Event; Outbox Event; Import/Export Envelope; External Identity; Integration Job","IMPLEMENTED_PLATFORM"
"NTE-009","HCM Position, Deployment & Competence","A_PLATFORM_CONTROL","F15","F01-F29","Deployment of capability to organisation, position, person and operating context with competence gates","Function; Job Profile; Competence Requirement; Competence Evidence; Functional Deployment; Deployment Assignment","IMPLEMENTED_PLATFORM"
"NTE-010","Enterprise Search & Knowledge Retrieval","F_DATA_AUTOMATION_AI","F26","F01-F29","Index canonical information, retrieve governed knowledge, filter by authority and preserve source provenance","Search Index Projection; Knowledge Item; Metadata; Classification","TO_BUILD"
"NTE-011","Strategy, Scenario & Enterprise Planning","C_PLANNING_ANALYTICS","F01","F03;F27;F28","Objectives, scenarios, strategic options, annual/business plans and enterprise initiative alignment","Strategy; Objective; Scenario; Business Plan; Initiative; Strategic Priority","TO_BUILD"
"NTE-012","Board, Committee & Governance","B_TRANSACTION","F02","F19;F20","Board/committee calendars, packs, agendas, minutes, resolutions, actions, governance structures and policy decisions","Board; Committee; Meeting; Agenda; Resolution; Action; Policy","TO_BUILD"
"NTE-013","Performance, KPI & Benefits","C_PLANNING_ANALYTICS","F03","F01;F27;F28;F29","Scorecards, KPIs, targets, variance, benchmarks, benefits and management review","KPI; Target; Scorecard; Performance Result; Variance; Benefit; Benchmark","TO_BUILD"
"NTE-014","Deal, M&A & Corporate Development","B_TRANSACTION","F04","F01;F14;F19;F20","Target/opportunity pipeline, valuation, due diligence, transaction, integration and divestiture","Deal Opportunity; Target; Valuation; Due Diligence Item; Transaction; Integration Plan; Separation Plan","TO_BUILD"
"NTE-015","Product, Service & Innovation Lifecycle","D_PROFESSIONAL_AUTHORING","F05","F01;F13;F19;F26","Portfolio, requirements, ideation, business cases, product/service definition, roadmap and lifecycle control","Product; Service; Requirement; Idea; Concept; Business Case; Roadmap; Product Configuration","TO_BUILD"
"NTE-016","Marketing, Campaign & Brand","B_TRANSACTION","F06","F17;F25","Market/segment intelligence, brand assets, campaigns, content, events, leads and attribution","Market Segment; Brand Asset; Campaign; Content Item; Event; Lead; Attribution Result","TO_BUILD"
"NTE-017","CRM, Opportunity & Account","B_TRANSACTION","F07","F06;F08;F25","Accounts, contacts, opportunities, pipeline stages, relationship plans and sales forecasting","Customer; Account; Contact; Opportunity; Pipeline; Account Plan; Forecast","TO_BUILD"
"NTE-018","Pricing, CPQ, Bid & Sales Order","B_TRANSACTION","F07","F05;F09;F14;F19;F27","Price lists, configuration, quotations, proposals/bids, commercial approvals and sales orders","Price List; Price; Quote; Proposal; Bid; Sales Order; Commercial Approval","TO_BUILD"
"NTE-019","Customer Service, Case & Success","B_TRANSACTION","F08","F07;F12;F13","Onboarding, enquiries, cases, complaints, support, returns, warranty, customer success and SLA","Customer Onboarding; Enquiry; Case; Complaint; Support Incident; Return; Warranty Claim; SLA","TO_BUILD"
"NTE-020","Supplier, Sourcing & Procurement","B_TRANSACTION","F09","F10;F14;F19;F20;F23","Supplier discovery/onboarding, category/spend, RFx, evaluation, negotiation, requisition and purchase order","Supplier; Category; Sourcing Event; RFx; Supplier Response; Evaluation; Requisition; Purchase Order","TO_BUILD"
"NTE-021","Demand, Supply & MRP Planning","C_PLANNING_ANALYTICS","F10","F07;F09;F11","Demand forecast, S&OP, supply planning, material requirements, capacity and inventory targets","Demand Forecast; S&OP Plan; Supply Plan; Material Requirement; Inventory Policy; Capacity Plan","TO_BUILD"
"NTE-022","Inventory, Warehouse & Logistics","B_TRANSACTION","F10","F09;F11;F12;F22","Stock, locations, inbound/outbound, warehouse tasks, physical inventory, transport, distribution and customs","Inventory Item; Stock Position; Warehouse Task; Goods Receipt; Shipment; Load; Inventory Count; Customs Entry","TO_BUILD"
"NTE-023","Manufacturing & Production Execution","E_FIELD_PRODUCTION_ASSURANCE","F11","F05;F10;F13;F22","Production planning/scheduling, work orders, material staging, WIP, process execution, packaging and reporting","Production Plan; Production Schedule; Production Order; Operation; WIP; Material Issue; Production Result","TO_BUILD"
"NTE-024","Service Planning, Dispatch & Field Execution","E_FIELD_PRODUCTION_ASSURANCE","F12","F08;F22;F23;F27","Service demand, scheduling, dispatch, mobile/field execution, evidence, acceptance and service performance","Service Request; Service Order; Appointment; Dispatch; Field Work Record; Service Acceptance","TO_BUILD"
"NTE-025","Quality, Inspection, Test & CAPA","E_FIELD_PRODUCTION_ASSURANCE","F13","F05;F09;F11;F12;F22;F23;F27","Quality planning, inspection/test, audit, non-conformance, root cause, CAPA and supplier quality","Quality Plan; Inspection; Test; Non-Conformance; Defect; CAPA; Audit; Certificate","TO_BUILD"
"NTE-026","Accounting, Ledger & Financial Close","B_TRANSACTION","F14","F07;F09;F10;F11;F22;F27","Chart/accounting, journals, AP, AR, billing, fixed assets, period close, consolidation and statements","Account; Ledger; Journal; Invoice; Credit Note; Payment Allocation; Fixed Asset; Financial Statement","TO_BUILD"
"NTE-027","Treasury, Cash & Tax","B_TRANSACTION","F14","F01;F04;F20","Cash position/forecasting, bank accounts, payments, liquidity, debt/investment, tax determination and compliance","Bank Account; Cash Position; Cash Forecast; Payment; Treasury Deal; Tax Calculation; Tax Return","TO_BUILD"
"NTE-028","Workforce, HCM, Payroll & Talent","B_TRANSACTION","F15","F02;F12;F28","Recruitment, onboarding, workforce records, time/absence, payroll, performance, learning, talent and reward","Worker; Candidate; Requisition; Employment; Time Record; Absence; Payroll Run; Learning Record; Performance Review","TO_BUILD"
"NTE-029","IT Service & Configuration Management","E_FIELD_PRODUCTION_ASSURANCE","F16","F18;F20;F29","Service catalogue, request, incident, problem, change, CMDB, knowledge, SLA and IT operations","IT Service; Service Request; Incident; Problem; IT Change; Configuration Item; CMDB Relationship; SLA","TO_BUILD"
