career_index,career,primary_domain,specialist_capability_focus,candidate_work_products,typical_lifecycle_stage,external_source,legacy_source_repository,legacy_source_path,legacy_source_sha,review_state,authoring_mode_state,canonical_mapping_state,nublox_coverage_state
1,Acoustics consultant,Engineering & Technical Design,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,Feasibility → Design → Verification,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
2,Agricultural contractor,"Infrastructure, Land & Rural",Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,Planning → Delivery → Maintenance,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
3,Architect,Architecture & Design,Briefing; design stages; drawings; specifications; coordination; planning; approvals; site reviews,Drawings; models; specifications; design decisions; inspection records,Brief → Design → Construction → Handover,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
4,Architectural technician,Architecture & Design,Technical drawings; detailing; schedules; coordination; document production,Drawings; details; schedules; issue sheets,Design → Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
5,Architectural technologist,Architecture & Design,Technical design management; detailing; compliance; specifications; coordination,Technical designs; specifications; schedules; compliance records,Design → Construction → Handover,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
6,Bricklayer,Building Trades,Job planning; setting out; masonry works; materials; progress; quality checks,Work orders; material usage; photos; quality records,Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
7,Builders' merchant,Supply Chain & Manufacturing,Catalogue; stock; quotations; orders; trade accounts; deliveries; returns,Products; stock; quotes; sales orders; delivery notes; invoices,Procurement → Supply,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
8,Building control officer,"Regulation, Inspection & Compliance",Applications; plan assessment; inspections; evidence; defects; decisions,Applications; inspection records; notices; decisions; certificates,Design → Construction → Completion,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
9,Building services engineer,Engineering & Technical Design,MEP design; calculations; equipment schedules; coordination; commissioning requirements,Designs; calculations; specifications; equipment schedules,Design → Construction → Commissioning,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
10,Building surveyor,"Surveying, Property & Land",Condition surveys; defects; schedules; project advice; dilapidations; maintenance planning,Survey reports; defect schedules; photos; scopes; certificates,Survey → Design → Construction → Operations,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
11,Building technician,Engineering & Technical Design,Technical support; drawings; surveys; records; project coordination,Drawings; survey data; schedules; reports,Design → Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
12,Caretaker,"Facilities, Property & Asset Operations",Inspections; reactive tasks; access; cleaning/maintenance coordination; incident reporting,Work orders; checks; logs; incident records,Operations,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
13,Carpenter,Building Trades,Job planning; setting out; fabrication; installation; materials; quality,Work orders; cut lists; material usage; photos,Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
14,Carpet fitter and floor layer,Building Trades,Site measure; product selection; preparation; installation; snagging,Measurements; material schedules; work orders; completion records,Fit-out,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
15,Cartographer,"Geospatial, Planning & Transport",Spatial data management; map production; revisions; exports,Maps; datasets; layers; metadata,Survey → Planning → Design,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
16,Cavity insulation installer,Energy & Building Performance,Survey; suitability checks; installation; materials; photos; completion evidence,Survey records; installation records; certificates; photos,Retrofit → Completion,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
17,Ceiling fixer,Building Trades,Take-off; layout; installation; materials; progress; snagging,Work orders; material usage; photos; defects,Fit-out,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
18,Civil engineer,Engineering & Technical Design,Civil design; calculations; specifications; coordination; site queries; inspections,Designs; calculations; specifications; RFIs; inspection records,Feasibility → Design → Construction,https://nationalcareers.service.gov.uk/explore-careers/job-sector/construction-and-the-built-environment/view-all-sector-careers,8140spitt/NuBlox-Digital-Applications,docs/04-career-capability-matrix.md,fbc76c848c71cf49b810cdca33e74d73c8ba5e02,candidate-revalidation,unclassified,unmapped,not-assessed
