Acronym	Full Name	Horizontal/Vertical	Industry	Activities Managed/Coordinated
ERP	Enterprise Resource Planning	Horizontal	Cross-Industry	Financial accounting; management accounting; general ledger; accounts payable; accounts receivable; fixed assets; cash management; procurement; purchasing; inventory; order management; manufacturing; production planning; MRP; HR/payroll; project accounting; supply chain; reporting; compliance
ERM	Enterprise Risk Management	Horizontal	Cross-Industry	Risk identification; risk assessment; risk register; risk appetite; risk mitigation; internal controls; compliance; audit management; incident management; business continuity; risk reporting; KRIs; scenario analysis
ERM	Enterprise Resource Management	Horizontal	Cross-Industry	ERP functions; performance management; project portfolio management; asset lifecycle management; resource allocation; risk management; compliance; financial consolidation
EPM	Enterprise Performance Management	Horizontal	Cross-Industry	Budgeting; forecasting; planning; financial consolidation; close management; management reporting; scorecards; dashboards; profitability analysis; scenario modeling; workforce planning; capital planning
FP&A	Financial Planning & Analysis	Horizontal	Cross-Industry	Budgeting; forecasting; variance analysis; financial modeling; scenario planning; management reporting; KPI tracking; profitability analysis; capital allocation; strategic planning
PPM	Project & Portfolio Management	Horizontal	Cross-Industry	Project initiation; prioritization; portfolio selection; resource allocation; scheduling; budgeting; cost tracking; risk management; issue management; change management; time tracking; collaboration; reporting; stage-gate
SPM	Strategic Portfolio Management	Horizontal	Cross-Industry	Strategic planning; portfolio prioritization; investment alignment; roadmap management; capacity planning; benefits realization; performance tracking; scenario planning
PSA	Professional Services Automation	Horizontal	Cross-Industry	Project management; resource management; time and expense; billing; invoicing; utilization; profitability; collaboration; document management; client management
EAM	Enterprise Asset Management	Horizontal	Cross-Industry	Asset registry; asset lifecycle; maintenance planning; preventive maintenance; predictive maintenance; work orders; spare parts; inventory; labor; scheduling; depreciation; compliance; performance monitoring
CMMS	Computerized Maintenance Management System	Horizontal	Cross-Industry	Work orders; preventive maintenance; corrective maintenance; asset history; spare parts inventory; labor tracking; scheduling; meter readings; maintenance reporting; compliance
MRO	Maintenance, Repair & Operations	Horizontal	Cross-Industry	Maintenance; repair; operations; procurement of MRO supplies; inventory; work orders; vendor management; scheduling; compliance
SCM	Supply Chain Management	Horizontal	Cross-Industry	Demand planning; supply planning; procurement; sourcing; supplier management; production planning; inventory management; warehousing; transportation; order fulfillment; returns; logistics; collaboration; visibility
WMS	Warehouse Management System	Horizontal	Cross-Industry	Receiving; putaway; storage; inventory tracking; picking; packing; shipping; cycle counting; replenishment; wave planning; labor management; yard integration; returns
TMS	Transportation Management System	Horizontal	Cross-Industry	Route planning; load planning; carrier selection; freight rating; tendering; shipment tracking; freight payment; audit; optimization; visibility; documentation
TMS	Talent Management System	Horizontal	Cross-Industry	Talent acquisition; onboarding; performance management; goal management; succession planning; career development; learning; compensation; competency management; talent review
TMS	Treasury Management System	Horizontal	Cross-Industry	Cash management; liquidity forecasting; bank reconciliation; payments; debt management; investment management; FX risk; interest rate risk; compliance; treasury reporting
YMS	Yard Management System	Horizontal	Cross-Industry	Yard inventory; trailer tracking; gate check-in/out; dock scheduling; spot assignment; yard moves; load/unload coordination; yard jockey tasking; visibility
OMS	Order Management System	Horizontal	Cross-Industry	Order capture; order orchestration; inventory availability; pricing; promotions; fulfillment routing; returns; exchanges; order tracking; customer communication; settlement
MES	Manufacturing Execution System	Horizontal	Cross-Industry	Production scheduling; work order execution; dispatching; machine data collection; quality management; traceability; inventory tracking; performance analysis; OEE; labor tracking; document control
MOM	Manufacturing Operations Management	Horizontal	Cross-Industry	Production operations; maintenance; quality; inventory; scheduling; dispatching; performance; safety; compliance; integration with ERP
APS	Advanced Planning & Scheduling	Horizontal	Cross-Industry	Demand-driven scheduling; capacity planning; finite scheduling; material constraints; resource optimization; sequencing; what-if scenarios; order promising; bottleneck management
DRP	Distribution Resource Planning	Horizontal	Cross-Industry	Distribution requirements; inventory replenishment; warehouse planning; transportation planning; demand forecasting; supply allocation; DRP runs
DRP	Disaster Recovery Plan	Horizontal	Cross-Industry	Business impact analysis; recovery strategies; backup/restore; failover; incident response; communication plans; testing; training; plan maintenance
MRP	Material Requirements Planning	Horizontal	Cross-Industry	Material requirements; bill of materials explosion; inventory netting; lot sizing; lead time offsetting; planned orders; purchase requisitions; capacity checks
MRP II	Manufacturing Resource Planning	Horizontal	Cross-Industry	MRP; capacity planning; shop floor control; scheduling; costing; financial integration; sales and operations planning; demand management
QMS	Quality Management System	Horizontal	Cross-Industry	Quality planning; quality control; quality assurance; inspections; audits; nonconformance; CAPA; document control; training; supplier quality; risk management; complaints
EHS	Environment, Health & Safety	Horizontal	Cross-Industry	Incident management; hazard identification; risk assessment; permits; inspections; audits; training; chemical management; waste management; occupational health; environmental compliance; reporting
LIMS	Laboratory Information Management System	Horizontal	Cross-Industry	Sample login; sample tracking; test scheduling; results entry; instrument integration; QC; reporting; chain of custody; inventory; compliance
