job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-001,Measurement / Take-off,NATIVE,Deliver,Project|Contract|Work Package,F07|F27,Take-off / Measurement Item,Enterprise Grid,Design information|scope|classification,Estimate / Cost Plan,Measured quantities with source/version provenance,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-002,Cost Plan,NATIVE,Deliver,Project|Stage|Cost Classification,F07|F14|F27,Estimate / Estimate Version,Enterprise Grid|Calculation Workbench,Measurement|rates|assumptions,Budget / investment decision,Versioned cost plan with assumptions and approval,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-003,Estimate,NATIVE,Deliver,Opportunity|Project|Tender,F07,Estimate / Estimate Version,Enterprise Grid|Structure Browser,Take-off|resource rates|supplier quotations,Tender / Proposal,Versioned estimate and adjudication basis,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-004,Rate Build-up,NATIVE,Deliver,Estimate|Item|Work Package,F07|F09,Resource Build-up / Rate,Enterprise Grid|Calculation Workbench,labour|plant|material|subcontract rates,Estimate line,Traceable build-up and applied rate,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-005,Bill of Quantities / Contract Value Schedule,NATIVE,Deliver,Contract|Project|Work Package,F07|F27,Contract Value Schedule / Contract Value Line,Enterprise Grid|Structure Browser,measurement|contract pricing structure,Valuation / payment,Controlled commercial breakdown and revision,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-006,Supplier / Subcontract Enquiry,NATIVE,Deliver,Procurement Package|Project|Estimate,F09,Sourcing Request / RFQ,Collection View|Form,scope|quantities|terms|supplier list,Bid / Tender Response,Issue and receipt provenance,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-007,Tender Comparison,NATIVE,Deliver,Sourcing Event|Procurement Package,F09,Evaluation / Comparison,Enterprise Grid,bid responses|normalisations|qualifications,Award recommendation,Comparable evaluation with exclusions and scoring,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-008,Commercial Recommendation,ASSISTED,Deliver,Project|Contract|Sourcing Event,F07|F09|F27,Decision Paper / Controlled Reporting Snapshot,Assisted Report Generator,comparison|risk|commercial position,Approval / award / instruction,Issued recommendation linked to decision evidence,candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-009,Change / Variation Assessment,NATIVE,Deliver,Contract|Change|Project,F07|F27,Commercial Change / Quotation for Change,Enterprise Grid|Change Workspace,instruction|scope change|rates|programme impact,Approved change / claim / forecast,"Entitlement, valuation and decision provenance",candidate-revalidation
JOB-QS,Quantity Surveyor,60,"Commercial, Contracts & Cost",,gap-no-sector-job-profile,WP-QS-010,Application / Valuation,NATIVE,Deliver,Contract|Project|Payment Period,F07|F14,Application for Payment / Valuation,Enterprise Grid,progress|contract value schedule|change|retention,Assessment / certificate / receivable,Measured valuation with period and contract provenance,candidate-revalidation
