concern,ordinary_import_export,spreadsheet_import,loader_or_special_admin,received_delivery_package,preservation_implication
Object metadata,"Yes for supported objects","Yes for supported PART/DOCUMENT/etc","Yes where loader exists","Yes for supported package objects","Preserve canonical business attributes with mapping evidence"
Multiple revisions/iterations,"Yes for core Part/Document","Revision/state can be specified but not historical chain","Loader-specific","Package semantics separately governed","Records can move without historical provenance events"
Version history,"No","No","Not established as ordinary object history preservation","Not equivalent to full source event history","Migrate history/event evidence separately"
Iteration history,"No","No","Not established","Not equivalent to full source event history","Migrate history/event evidence separately"
Lifecycle template reference,"Yes for supported objects","State can be supplied","Lifecycle templates have dedicated loader/admin import-export","Mappings supported","Target definition dependency must be satisfied"
Lifecycle template definition,"Separate admin migration","No","Yes via lifecycle administration/loader","Can be mapped/configured separately","Bootstrap definitions before dependent objects"
Lifecycle history,"No","No","No ordinary preservation guarantee","Not equivalent to full history","Preserve historical transitions/decisions separately"
Original context location,"No; imported into target context","Target location/container supplied","Contexts/templates load separately","Context mapping explicit","Retain source-context provenance plus target mapping"
Part views,"Yes if corresponding target View exists","View can be supplied for BOM","Views can be loaded separately","View mapping supported","Treat view vocabulary as prerequisite master data"
Configuration specification,"Generally No","BOM import creates baseline of supplied configuration","Separate configuration mechanisms","Package mappings/configuration semantics separately governed","Do not infer source configuration from target current resolution"
Baselines,"Generally No","BOM import creates new import baseline","Specialised families vary","Package baseline/exchange semantics differ","Source baseline identity/history needs dedicated preservation"
Effectivity,"Not supported for normal Part export/import","Limited operational fields by worksheet","LoadEffectivity exists","Package semantics may carry mapped data","Effectivity requires explicit migration stream"
Change objects/history,"Generally No for ordinary Part/Document migration","No historical change authority","Change loaders/import mechanisms vary","Packages have separate supported-object semantics","Resulting object does not preserve approval/change provenance"
Users,"No generic export","Uses current user's permissions","LoadUser","Package conflicts can reference users","Identity bootstrap must precede object migration"
Groups/membership,"No generic export","Not a business-object spreadsheet concern","LoadUser/group facilities","Package principal resolution applies","Group/role identity requires prerequisite migration"
Organisation,"No generic export","Owning Organisation ID can be specified","LoadContainer/organisation loading","Owning-organisation mapping supported","Preserve source owner and explicit target owner mapping"
Team template,"No generic export","No","LoadTeam","Package/context mapping varies","Governance configuration is separate from business objects"
Workflow template,"Dedicated administration path","No","LoadWorkflow / Workflow Administration","No ordinary implicit carry-forward","Template definition separate from runtime instances"
Workflow instance/history,"No","No","No ordinary preservation","Not implied","Runtime task/process evidence needs separate archival/migration strategy"
Access rules,"Supported in selected context/template/folder families","Equivalent permissions govern imported operation","Domain/context loader capabilities","Security mapping supported in package path","Security semantics require explicit family-specific migration"
Security labels,"Supported in selected mechanisms; not universal","Subject to target permissions/attributes","Configuration prerequisite","Received Delivery security mapping supported","Do not silently drop source security classification"
Mapping rules,"Yes","Spreadsheet column/internal-value mapping","Loader transformations/custom methods","Explicit received-delivery mappings","Persist mapping version used for migration"
Conflicts,"Yes; explicit import status/conflicts","Validation/job errors and rollback","Loader-specific errors","Preview/import conflict resolution","Conflict disposition is migration evidence"
Execution rollback,"Transaction behaviour depends on import mechanism","Failed/canceled spreadsheet import rolls back job changes","Loader-specific","Received Delivery supports controlled import transactions","Migration run result must be first-class and auditable"
