mapping_id,job_profile_id,canonical_name,delivery_domain_id,participating_function_codes_candidate,market_tool_category,vendor,tool_product,specialist_capabilities,primary_structured_records,lifecycle_stages,source_url,verification_status,verified_date,nublox_native_requirement
CBE-JTM-0001,CBE-JP-001,Acoustics consultant,D02,F05;F13;F19;F23;F26;F27,Engineering analysis / design / technical information,SoundPLAN,SoundPLANnoise,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,Feasibility; Design; Verification,https://www.soundplan.eu/en/software,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0002,CBE-JP-001,Acoustics consultant,D02,F05;F13;F19;F23;F26;F27,Engineering analysis / design / technical information,DataKustik,DataKustik CadnaA,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,Feasibility; Design; Verification,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0003,CBE-JP-001,Acoustics consultant,D02,F05;F13;F19;F23;F26;F27,Engineering analysis / design / technical information,ODEON A/S,ODEON Room Acoustics Software,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,Feasibility; Design; Verification,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0004,CBE-JP-001,Acoustics consultant,D02,F05;F13;F19;F23;F26;F27,Engineering analysis / design / technical information,Marshall Day Acoustics,Marshall Day Acoustics INSUL,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,Feasibility; Design; Verification,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0005,CBE-JP-001,Acoustics consultant,D02,F05;F13;F19;F23;F26;F27,Engineering analysis / design / technical information,Autodesk,Autodesk Revit,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,Feasibility; Design; Verification,https://www.autodesk.com/products/revit/overview,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0006,CBE-JP-001,Acoustics consultant,D02,F05;F13;F19;F23;F26;F27,Engineering analysis / design / technical information,Bluebeam,Bluebeam Revu,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,Feasibility; Design; Verification,https://www.bluebeam.com/revu/,WEB_ANCHOR_VERIFIED,2026-09-21,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0007,CBE-JP-002,Agricultural contractor,D16,F09;F10;F11;F12;F13;F22;F23;F26;F27,Agricultural field operations / plant / service,Trimble,Trimble Agriculture software,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,Planning; Delivery; Maintenance,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0008,CBE-JP-002,Agricultural contractor,D16,F09;F10;F11;F12;F13;F22;F23;F26;F27,Agricultural field operations / plant / service,John Deere,John Deere Operations Center,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,Planning; Delivery; Maintenance,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0009,CBE-JP-002,Agricultural contractor,D16,F09;F10;F11;F12;F13;F22;F23;F26;F27,Agricultural field operations / plant / service,BigChange,BigChange,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,Planning; Delivery; Maintenance,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
CBE-JTM-0010,CBE-JP-002,Agricultural contractor,D16,F09;F10;F11;F12;F13;F22;F23;F26;F27,Agricultural field operations / plant / service,Samsara,Samsara,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,Planning; Delivery; Maintenance,,DISCOVERY_SEED_REQUIRES_MODULE_VERIFICATION,2026-09-21,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it."
