source_record_id,function_code,function_name,tool_product,vendor,classification,canonical_capability_pattern,deep_anchor_products,architecture_treatment,status,verified_date
MTR-0001,F01,Strategy & Enterprise Planning,Planview,Planview,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Planview,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0002,F01,Strategy & Enterprise Planning,Anaplan,Anaplan,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Anaplan,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0003,F01,Strategy & Enterprise Planning,Workday Adaptive Planning,Workday,ALTERNATIVE_PRODUCT_PATTERN,Enterprise connected planning / scenario / budgeting / forecasting,Anaplan; Planview,Use as alternative planning evidence; do not create vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0004,F01,Strategy & Enterprise Planning,Oracle EPM,Oracle,ALTERNATIVE_PRODUCT_PATTERN,Enterprise connected planning / scenario / budgeting / forecasting,Anaplan; Planview,Use as alternative planning evidence; do not create vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0005,F01,Strategy & Enterprise Planning,SAP Analytics Cloud,SAP,ALTERNATIVE_PRODUCT_PATTERN,Enterprise connected planning / scenario / budgeting / forecasting,Anaplan; Planview,Use as alternative planning evidence; do not create vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0006,F01,Strategy & Enterprise Planning,Board,Board,ALTERNATIVE_PRODUCT_PATTERN,Enterprise connected planning / scenario / budgeting / forecasting,Anaplan; Planview,Use as alternative planning evidence; do not create vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0007,F01,Strategy & Enterprise Planning,IBM Planning Analytics,IBM,ALTERNATIVE_PRODUCT_PATTERN,Enterprise connected planning / scenario / budgeting / forecasting,Anaplan; Planview,Use as alternative planning evidence; do not create vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0008,F01,Strategy & Enterprise Planning,Jedox,Jedox,ALTERNATIVE_PRODUCT_PATTERN,Enterprise connected planning / scenario / budgeting / forecasting,Anaplan; Planview,Use as alternative planning evidence; do not create vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0009,F01,Strategy & Enterprise Planning,Pigment,Pigment,ALTERNATIVE_PRODUCT_PATTERN,Enterprise connected planning / scenario / budgeting / forecasting,Anaplan; Planview,Use as alternative planning evidence; do not create vendor-specific architecture.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0010,F01,Strategy & Enterprise Planning,Cascade,Cascade,ALTERNATIVE_PRODUCT_PATTERN,Strategy execution / objectives / KPI / OKR alignment,Planview,Use as alternative strategy-execution evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0011,F02,Corporate Governance,Diligent Boards / Diligent One,Diligent,DEEP_VERIFIED_ANCHOR,Representative deep benchmark for this function.,Diligent Boards / Diligent One,Use as canonical market anchor to expose operative semantics and derive NuBlox requirements.,DEEP_VERIFIED,2026-09-21
MTR-0012,F02,Corporate Governance,Board Intelligence,Board Intelligence,ALTERNATIVE_PRODUCT_PATTERN,Board / committee governance and meeting lifecycle,Diligent Boards / Diligent One,Use as alternative board-governance evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0013,F02,Corporate Governance,OnBoard,OnBoard,ALTERNATIVE_PRODUCT_PATTERN,Board / committee governance and meeting lifecycle,Diligent Boards / Diligent One,Use as alternative board-governance evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0014,F02,Corporate Governance,Admincontrol,Admincontrol,ALTERNATIVE_PRODUCT_PATTERN,Board / committee governance and meeting lifecycle,Diligent Boards / Diligent One,Use as alternative board-governance evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0015,F02,Corporate Governance,Convene,Convene,ALTERNATIVE_PRODUCT_PATTERN,Board / committee governance and meeting lifecycle,Diligent Boards / Diligent One,Use as alternative board-governance evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0016,F02,Corporate Governance,Govenda,Govenda,ALTERNATIVE_PRODUCT_PATTERN,Board / committee governance and meeting lifecycle,Diligent Boards / Diligent One,Use as alternative board-governance evidence.,ARCHITECTURE_PATTERN_COVERED,2026-09-21
MTR-0017,F02,Corporate Governance,Workiva,Workiva,DEEP_VERIFIED_ANCHOR,Governance reporting / policies / controls / connected assurance,Workiva,Use as complementary F02 governance anchor alongside Diligent board-governance semantics.,DEEP_VERIFIED,2026-09-21
