engine_id,engine_name,primary_function_codes,domain_model_state,persistence_state,user_experience_state,overall_capability_state,backend_evidence_paths,ui_evidence_path,reconciled_date
"NTE-001","Party, Organisation & Identity","F02;F15","IMPLEMENTED_BACKEND","IMPLEMENTED_BACKEND","ORGANISATION_AND_PEOPLE_ADMIN_EXPOSED","BACKEND_IMPLEMENTED__PARTIAL_USER_EXECUTION","packages/kernel/src/model.ts; packages/persistence/migrations/0001_kernel_identity.sql; packages/persistence/src/repository.ts","apps/web/src/routes/app/organisation/+page.svelte; apps/web/src/routes/app/organisation/+page.server.ts","2026-09-21"
"NTE-002","Access, Responsibility & Authority","F02;F16;F18;F20","PARTIAL_BACKEND","PARTIAL_BACKEND","ACCESS_POLICY_AND_SECURITY_CLASSIFICATION_ADMIN_EXPOSED","PARTIAL_BACKEND__METADATA_AND_EFFECTIVE_POLICY_INTEGRATION_GAP","packages/kernel/src/access.ts; packages/kernel/src/policy.ts; packages/kernel/src/security-classification.ts; packages/kernel/src/policy-factories.ts; packages/kernel/src/security-classification-factories.ts; packages/persistence/migrations/0003_kernel_access.sql; packages/persistence/migrations/0027_policy_governance.sql; packages/persistence/migrations/0028_security_classification.sql; packages/persistence/src/access-repository.ts; packages/persistence/src/policy-repository.ts; packages/persistence/src/policy-administration-command-service.ts; packages/persistence/src/security-classification-repository.ts; packages/persistence/src/security-classification-administration-command-service.ts; packages/persistence/src/security-classification-administration-read-repository.ts","apps/web/src/routes/app/access/+page.svelte; apps/web/src/routes/app/policy/+page.svelte; apps/web/src/routes/app/security-classification/+page.svelte; apps/web/src/routes/app/request-access/+page.svelte","2026-09-23"
"NTE-003","Workflow, Work & Assignment","F29","IMPLEMENTED_BACKEND","IMPLEMENTED_BACKEND","MY_WORK_READ_PROJECTION_EXPOSED","BACKEND_IMPLEMENTED__PARTIAL_USER_EXECUTION","packages/kernel/src/work.ts; packages/kernel/src/my-work.ts; packages/persistence/migrations/0004_kernel_workflow_work.sql; packages/persistence/src/work-repository.ts; packages/persistence/src/my-work-repository.ts","apps/web/src/routes/app/my-work/+page.svelte; apps/web/src/routes/app/my-work/+page.server.ts","2026-09-21"
"NTE-004","Lifecycle, Validation, Decision & Evidence","F02;F13;F20;F26","IMPLEMENTED_BACKEND","IMPLEMENTED_BACKEND","CONTROL_AND_VALIDATION_EXECUTION_WORKSPACES_EXPOSED","BACKEND_IMPLEMENTED__PARTIAL_COMMAND_GATE_INTEGRATION","packages/kernel/src/control.ts; packages/kernel/src/validation.ts; packages/kernel/src/validation-factories.ts; packages/kernel/src/validation-execution.ts; packages/persistence/migrations/0002_kernel_control_spine.sql; packages/persistence/migrations/0029_validation_policy.sql; packages/persistence/migrations/0030_validation_execution_permissions.sql; packages/persistence/src/control-repository.ts; packages/persistence/src/validation-policy-repository.ts; packages/persistence/src/validation-execution-service.ts; packages/persistence/src/validation-policy-administration-command-service.ts; packages/persistence/src/validation-policy-administration-read-repository.ts; packages/persistence/src/information-command-service.ts; packages/persistence/src/change-configuration-command-service.ts","apps/web/src/routes/app/control/+page.svelte; apps/web/src/routes/app/control/+page.server.ts; apps/web/src/routes/app/validation-policy/+page.svelte; apps/web/src/routes/app/validation-policy/+page.server.ts","2026-09-23"
"NTE-005","Information, Revision & Representation","F26","IMPLEMENTED_BACKEND","IMPLEMENTED_BACKEND","INFORMATION_REVISION_WORKSPACE_EXPOSED","BACKEND_IMPLEMENTED__PARTIAL_USER_EXECUTION","packages/kernel/src/information.ts; packages/persistence/migrations/0005_kernel_information_configuration.sql; packages/persistence/migrations/0020_information_permissions.sql; packages/persistence/src/information-repository.ts; packages/persistence/src/information-read-repository.ts; packages/persistence/src/information-command-service.ts","apps/web/src/routes/app/information/+page.svelte; apps/web/src/routes/app/information/+page.server.ts","2026-09-21"
"NTE-006","Change, Configuration & Baseline","F05;F26","IMPLEMENTED_BACKEND","IMPLEMENTED_BACKEND","CHANGE_CONFIGURATION_AND_RESOLUTION_WORKSPACES_EXPOSED","BACKEND_IMPLEMENTED__USER_EXECUTABLE_CORE","packages/kernel/src/change.ts; packages/kernel/src/information.ts; packages/kernel/src/configuration-resolution.ts; packages/kernel/src/configuration-resolution-factories.ts; packages/persistence/migrations/0005_kernel_information_configuration.sql; packages/persistence/migrations/0006_kernel_change.sql; packages/persistence/migrations/0032_configuration_resolution.sql; packages/persistence/src/change-repository.ts; packages/persistence/src/information-repository.ts; packages/persistence/src/change-configuration-read-repository.ts; packages/persistence/src/change-configuration-command-service.ts; packages/persistence/src/configuration-resolution-repository.ts; packages/persistence/src/configuration-resolution-command-service.ts; packages/persistence/src/configuration-resolution-read-repository.ts","apps/web/src/routes/app/configuration/+page.svelte; apps/web/src/routes/app/configuration/+page.server.ts; apps/web/src/routes/app/configuration-resolution/+page.svelte; apps/web/src/routes/app/configuration-resolution/+page.server.ts","2026-09-23"
"NTE-007","Deliverable, Issue & Acceptance","F27","IMPLEMENTED_BACKEND","IMPLEMENTED_BACKEND","DELIVERABLE_AND_EXCHANGE_WORKSPACES_EXPOSED","BACKEND_IMPLEMENTED__USER_EXECUTABLE_CORE","packages/kernel/src/deliverables.ts; packages/kernel/src/exchange.ts; packages/kernel/src/exchange-factories.ts; packages/persistence/migrations/0010_native_deliverables.sql; packages/persistence/migrations/0011_deliverable_authoring.sql; packages/persistence/migrations/0033_exchange_authority.sql; packages/persistence/src/deliverable-repository.ts; packages/persistence/src/deliverable-command-service.ts; packages/persistence/src/deliverable-read-repository.ts; packages/persistence/src/exchange-repository.ts; packages/persistence/src/exchange-command-service.ts; packages/persistence/src/exchange-read-repository.ts","apps/web/src/routes/app/deliverables/+page.svelte; apps/web/src/routes/app/deliverables/+page.server.ts; apps/web/src/routes/app/exchange/+page.svelte; apps/web/src/routes/app/exchange/+page.server.ts","2026-09-23"
"NTE-008","Events, Integration & Portability","F16;F17","IMPLEMENTED_BACKEND","IMPLEMENTED_BACKEND","INTEGRATION_PUBLICATION_AND_MIGRATION_WORKSPACES_EXPOSED","BACKEND_IMPLEMENTED__USER_EXECUTABLE_CORE","packages/kernel/src/portability.ts; packages/kernel/src/publication.ts; packages/kernel/src/publication-factories.ts; packages/kernel/src/migration.ts; packages/kernel/src/migration-factories.ts; packages/persistence/migrations/0007_kernel_portability.sql; packages/persistence/migrations/0034_closed_loop_publication.sql; packages/persistence/migrations/0035_governed_migration_control.sql; packages/persistence/src/portability-repository.ts; packages/persistence/src/publication-repository.ts; packages/persistence/src/publication-command-service.ts; packages/persistence/src/publication-read-repository.ts; packages/persistence/src/migration-repository.ts; packages/persistence/src/migration-command-service.ts; packages/persistence/src/migration-read-repository.ts","apps/web/src/routes/app/integration/+page.svelte; apps/web/src/routes/app/integration/+page.server.ts; apps/web/src/routes/app/migration/+page.svelte; apps/web/src/routes/app/migration/+page.server.ts","2026-09-23"
"NTE-009","HCM Position, Deployment & Competence","F15","IMPLEMENTED_BACKEND","IMPLEMENTED_BACKEND","HCM_POSITION_DEPLOYMENT_AND_COMPETENCE_EXPOSED","BACKEND_IMPLEMENTED__PARTIAL_USER_EXECUTION","packages/kernel/src/functional.ts; packages/persistence/migrations/0001_kernel_identity.sql; packages/persistence/migrations/0008_functional_framework.sql; packages/persistence/migrations/0009_function_taxonomy_seed.sql; packages/persistence/src/organisation-read-repository.ts; packages/persistence/src/functional-repository.ts; packages/persistence/src/industry-delivery-read-repository.ts","apps/web/src/routes/app/hcm/+page.svelte; apps/web/src/routes/app/organisation/+page.svelte; apps/web/src/routes/app/deployments/+page.svelte; apps/web/src/routes/app/delivery/+page.svelte; apps/web/src/routes/app/competence/+page.svelte","2026-09-22"
"NTE-010","Enterprise Search & Knowledge Retrieval","F26","TO_BUILD","TO_BUILD","NOT_EXPOSED_IN_WEB_APP","TO_BUILD","","apps/web/src/routes/+page.svelte","2026-09-21"
