backlog_id,source_record_id,function_code,function_name,market_category,vendor,product_or_suite,product_module_or_workspace,exact_operation_or_task,input_objects_or_data,output_work_product,lifecycle_or_status_model,review_approval_authority,audit_evidence,integration_formats,nublox_native_requirement,verification_status,source_url,verified_date
ENT-MTB-0001,MTR-0001,F01,Strategy & Enterprise Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Planview,Planview,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Strategic planning, scenario planning, portfolio alignment, goals and KPIs, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F01 Strategy & Enterprise Planning.",PRODUCT_DEEP_BENCHMARK_VERIFIED__FUNCTION_SPECIFIC_MODULE_MAPPING_PENDING,https://www.planview.com/,2026-09-21
ENT-MTB-0002,MTR-0002,F01,Strategy & Enterprise Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Anaplan,Anaplan,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Strategic planning, scenario planning, portfolio alignment, goals and KPIs, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F01 Strategy & Enterprise Planning.",PRODUCT_DEEP_BENCHMARK_VERIFIED__FUNCTION_SPECIFIC_MODULE_MAPPING_PENDING,https://www.anaplan.com/,2026-09-21
ENT-MTB-0003,MTR-0003,F01,Strategy & Enterprise Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Workday,Workday Adaptive Planning,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Strategic planning, scenario planning, portfolio alignment, goals and KPIs, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F01 Strategy & Enterprise Planning.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.workday.com/,2026-09-21
ENT-MTB-0004,MTR-0004,F01,Strategy & Enterprise Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Oracle,Oracle EPM,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Strategic planning, scenario planning, portfolio alignment, goals and KPIs, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F01 Strategy & Enterprise Planning.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.oracle.com/,2026-09-21
ENT-MTB-0005,MTR-0005,F01,Strategy & Enterprise Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",SAP,SAP Analytics Cloud,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Strategic planning, scenario planning, portfolio alignment, goals and KPIs, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F01 Strategy & Enterprise Planning.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.sap.com/products.html,2026-09-21
ENT-MTB-0006,MTR-0006,F01,Strategy & Enterprise Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Board,Board,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Strategic planning, scenario planning, portfolio alignment, goals and KPIs, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F01 Strategy & Enterprise Planning.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.board.com/,2026-09-21
ENT-MTB-0007,MTR-0007,F01,Strategy & Enterprise Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",IBM,IBM Planning Analytics,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Strategic planning, scenario planning, portfolio alignment, goals and KPIs, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F01 Strategy & Enterprise Planning.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.ibm.com/,2026-09-21
ENT-MTB-0008,MTR-0008,F01,Strategy & Enterprise Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Jedox,Jedox,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Strategic planning, scenario planning, portfolio alignment, goals and KPIs, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F01 Strategy & Enterprise Planning.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.jedox.com/,2026-09-21
ENT-MTB-0009,MTR-0009,F01,Strategy & Enterprise Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Pigment,Pigment,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Strategic planning, scenario planning, portfolio alignment, goals and KPIs, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F01 Strategy & Enterprise Planning.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.pigment.com/,2026-09-21
ENT-MTB-0010,MTR-0010,F01,Strategy & Enterprise Planning,"Strategic planning, scenario planning, portfolio alignment, goals and KPIs",Cascade,Cascade,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native governed capability for Strategic planning, scenario planning, portfolio alignment, goals and KPIs, with structured business objects, lifecycle/status, responsibility/authority, review/approval, audit evidence, reporting and integration semantics appropriate to F01 Strategy & Enterprise Planning.",EQUIVALENCE_CLASSIFIED__ARCHITECTURE_PATTERN_COVERED,https://www.cascade.app/,2026-09-21
