process_id,process_name,trigger,terminal_business_outcome,participating_functions,primary_engine_ids,authoritative_object_families,required_control_engines,critical_handoff_rule,erp_acceptance_rule
ERP-P01,Strategy-to-portfolio,Approved strategic intent / planning cycle,"Approved, funded and governed portfolio/programme/project commitments",F01;F03;F27,NTE-011;NTE-013;NTE-044,Strategy; Objective; Scenario; Business Plan; Initiative; KPI; Portfolio; Programme; Project,NTE-002;NTE-003;NTE-004;NTE-005;NTE-008;NTE-009,Strategic priorities and approved plans become portfolio/project demand without re-keying.,One traceable chain from strategic objective through approved initiative to funded delivery context.
ERP-P02,Idea-to-release,"Idea, requirement or product/service change demand",Released product/service definition and controlled configuration,F05;F13;F26,NTE-015;NTE-025;NTE-043,Idea; Requirement; Concept; Business Case; Product; Service; Product Configuration; Quality Plan; Technical Document,NTE-002;NTE-003;NTE-004;NTE-005;NTE-006;NTE-007;NTE-008;NTE-009,Approved requirements and design definitions flow into released configuration with exact review/decision evidence.,"Released definition is reproducible, revision-controlled and usable downstream without external runtime dependency."
ERP-P03,Lead-to-contract,Qualified market/customer demand,Executed customer contract / commercial commitment,F06;F07;F19;F14,NTE-016;NTE-017;NTE-018;NTE-036;NTE-026,Lead; Customer; Account; Opportunity; Quote; Proposal; Bid; Sales Order; Contract; Obligation; Invoice,NTE-002;NTE-003;NTE-004;NTE-005;NTE-007;NTE-008;NTE-009,"Customer/opportunity identity persists through bid, approval, contract and downstream order/project creation.",No duplicate customer/opportunity/contract master and commercial approval is preserved as attributable Decision evidence.
ERP-P04,Order-to-cash,Accepted customer order / contractual demand,"Delivered obligation, customer acceptance, invoice and settled receivable",F07;F10;F11;F12;F14,NTE-018;NTE-021;NTE-022;NTE-023;NTE-024;NTE-026;NTE-027,Sales Order; Demand; Inventory Item; Shipment; Production Order; Service Order; Service Acceptance; Invoice; Payment,NTE-002;NTE-003;NTE-004;NTE-007;NTE-008;NTE-009,Order demand drives supply/production/service fulfilment and accepted fulfilment drives billing without re-entry.,"Order, fulfilment, acceptance, invoice, ledger and payment remain linked through authoritative identifiers."
ERP-P05,Source-to-pay,Approved demand for externally supplied goods/services,Received/accepted supply and settled supplier liability,F09;F10;F14;F19,NTE-020;NTE-022;NTE-026;NTE-027;NTE-036,Supplier Relationship; Requisition; Sourcing Event; RFx; Supplier Response; Purchase Order; Goods Receipt; Contract; Invoice; Payment,NTE-002;NTE-003;NTE-004;NTE-007;NTE-008;NTE-009,Approved demand becomes sourcing/PO; receipt and contractual acceptance become payable evidence.,"Supplier, PO, receipt, invoice, accounting and payment reconcile to the same obligation and quantities/values."
ERP-P06,Demand-to-fulfilment,"Forecast, customer demand or project/material requirement","Demand satisfied through planned supply, inventory, production or logistics",F07;F09;F10;F11,NTE-018;NTE-020;NTE-021;NTE-022;NTE-023,Demand Forecast; Sales Order; Material Requirement; Supply Plan; Inventory Policy; Purchase Order; Stock Position; Production Order; Shipment,NTE-002;NTE-003;NTE-004;NTE-008;NTE-009,One demand signal is netted/planned and fulfilled through the chosen source without parallel demand records.,"Planned demand, commitments, stock, WIP and fulfilment quantities reconcile end to end."
ERP-P07,Recruit-to-deploy,Approved workforce/capability demand,Competent employed person actively deployed into governed work context,F15;F01-F29,NTE-028;NTE-009,Requisition; Candidate; Employment; Person; Position; Position Occupancy; Job Profile; Competence Evidence; Functional Deployment; Deployment Assignment,NTE-001;NTE-002;NTE-003;NTE-004;NTE-008,"Employment/position state enables but does not replace contextual deployment, permission or authority.","A person reaches My Work only through valid employment/position, job capability, deployment, competence and access gates."
ERP-P08,Record-to-report,Business transactions and accounting events,"Closed period, reconciled ledgers and governed financial statements/management reporting",F14;F03;F17,NTE-026;NTE-027;NTE-013;NTE-033,Account; Ledger; Journal; Invoice; Payment; Cash Position; Financial Statement; KPI; Report,NTE-002;NTE-003;NTE-004;NTE-005;NTE-008;NTE-009,Operational transactions create controlled accounting consequences and reporting uses governed ledger/semantic sources.,Financial statements and management metrics trace to posted source transactions and close controls.
ERP-P09,Project-to-handover,Approved project/contract commitment,"Accepted project outputs, commissioned systems/assets and closed delivery obligations",F27;F05;F09;F10;F12;F13;F14;F19;F22;F23;F26,NTE-044;NTE-045;NTE-049;NTE-050;NTE-052;NTE-053;NTE-054;NTE-025;NTE-056;NTE-043;NTE-026,Project; WBS; Project Schedule; Requirement; Design Model; Drawing; Cost Plan; Contract; Work Package; Field Evidence; Inspection; Test Pack; Handover Package; Asset,NTE-002;NTE-003;NTE-004;NTE-005;NTE-006;NTE-007;NTE-008;NTE-009,"Project scope, design, procurement, site delivery, commercial status, quality and handover operate on one project/work-package/object graph.","Handover is accepted only when scope, configuration, commercial, quality, information and asset obligations reconcile."
ERP-P10,Design-to-approved-information,Design requirement / change request,Approved and issued exact design information/configuration for downstream use,F05;F13;F26;F27,NTE-049;NTE-050;NTE-043;NTE-025,Requirement; Design Model; Model Element; Drawing; Calculation; Design Check; Technical Document; Review Package; Transmittal,NTE-002;NTE-003;NTE-004;NTE-005;NTE-006;NTE-007;NTE-008;NTE-009,Design authoring binds to controlled requirements and exact revisions; issue/acceptance never refers to an ambiguous latest file.,Downstream procurement/construction consumes an identifiable approved/issued configuration with review and Decision evidence.
ERP-P11,Service-request-to-acceptance,"Customer, asset or operational service demand","Completed and accepted service with evidence, SLA outcome and financial consequence where applicable",F08;F12;F13;F14;F22,NTE-019;NTE-024;NTE-025;NTE-039;NTE-026,Service Request; Case; Service Order; Appointment; Dispatch; Field Work Record; Inspection; Test; Work Order; Service Acceptance; Invoice,NTE-002;NTE-003;NTE-004;NTE-007;NTE-008;NTE-009,Request/case becomes scheduled accountable field work; completion evidence precedes acceptance and billing.,"Request, assignment, execution evidence, acceptance, SLA and invoice remain linked and auditable."
ERP-P12,Asset-acquire-to-retire,Approved asset need / capital or operational demand,"Controlled operational asset history through acquisition, operation, maintenance and retirement",F09;F10;F14;F22;F12;F26,NTE-020;NTE-022;NTE-026;NTE-039;NTE-024;NTE-043;NTE-057,Purchase Order; Goods Receipt; Fixed Asset; Asset; Property; Facility; Maintenance Plan; Work Order; Service Order; Digital Twin; Record,NTE-002;NTE-003;NTE-004;NTE-005;NTE-006;NTE-007;NTE-008;NTE-009,Procured/constructed asset identity transitions into operational asset master without creating a disconnected maintenance identity.,"Acquisition cost, configuration, location, maintenance, condition, records and retirement remain traceable to one asset identity."
