source_job_profile_id,source_title,source_level,job_family_id,function_ids,subfunction_ids,source_activity_count,candidate_expected_outputs,employment_archetype_ids,employment_archetype_titles,observed_mapping_states,reconciliation_state,reconciliation_rationale,next_action
JP-F14.01-PROFESSIONAL,Financial Strategy Specialist,professional,JF-F14,F14,F14.01,3,"Financial Strategy plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F14 source title and accountability represent a coherent independently employable finance specialist role in a sophisticated enterprise. Retain as a reusable Job Profile candidate; tenants may combine related profiles into one Position without collapsing the reusable employment model.,decompose-f14-role-work-products-and-validate-finance-aggregate-transaction-control-boundaries
JP-F14.02-PROFESSIONAL,Budgeting Specialist,professional,JF-F14,F14,F14.02,5,"Budgeting plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F14 source title and accountability represent a coherent independently employable finance specialist role in a sophisticated enterprise. Retain as a reusable Job Profile candidate; tenants may combine related profiles into one Position without collapsing the reusable employment model.,decompose-f14-role-work-products-and-validate-finance-aggregate-transaction-control-boundaries
JP-F14.03-PROFESSIONAL,Forecasting Specialist,professional,JF-F14,F14,F14.03,3,"Forecasting plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F14 source title and accountability represent a coherent independently employable finance specialist role in a sophisticated enterprise. Retain as a reusable Job Profile candidate; tenants may combine related profiles into one Position without collapsing the reusable employment model.,decompose-f14-role-work-products-and-validate-finance-aggregate-transaction-control-boundaries
JP-F14.04-PROFESSIONAL,General Ledger Accountant,professional,JF-F14,F14,F14.04,4,"General Ledger plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F14 source title and accountability represent a coherent independently employable finance specialist role in a sophisticated enterprise. Retain as a reusable Job Profile candidate; tenants may combine related profiles into one Position without collapsing the reusable employment model.,decompose-f14-role-work-products-and-validate-finance-aggregate-transaction-control-boundaries
JP-F14.05-PROFESSIONAL,Accounts Payable Specialist,professional,JF-F14,F14,F14.05,6,"Accounts Payable plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F14 source title and accountability represent a coherent independently employable finance specialist role in a sophisticated enterprise. Retain as a reusable Job Profile candidate; tenants may combine related profiles into one Position without collapsing the reusable employment model.,decompose-f14-role-work-products-and-validate-finance-aggregate-transaction-control-boundaries
JP-F14.06-PROFESSIONAL,Accounts Receivable Specialist,professional,JF-F14,F14,F14.06,4,"Accounts Receivable plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F14 source title and accountability represent a coherent independently employable finance specialist role in a sophisticated enterprise. Retain as a reusable Job Profile candidate; tenants may combine related profiles into one Position without collapsing the reusable employment model.,decompose-f14-role-work-products-and-validate-finance-aggregate-transaction-control-boundaries
JP-F14.07-PROFESSIONAL,Credit Controller,professional,JF-F14,F14,F14.07,4,"Credit Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F14 source title and accountability represent a coherent independently employable finance specialist role in a sophisticated enterprise. Retain as a reusable Job Profile candidate; tenants may combine related profiles into one Position without collapsing the reusable employment model.,decompose-f14-role-work-products-and-validate-finance-aggregate-transaction-control-boundaries
JP-F14.08-PROFESSIONAL,Collections Specialist,professional,JF-F14,F14,F14.08,5,"Collections plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F14 source title and accountability represent a coherent independently employable finance specialist role in a sophisticated enterprise. Retain as a reusable Job Profile candidate; tenants may combine related profiles into one Position without collapsing the reusable employment model.,decompose-f14-role-work-products-and-validate-finance-aggregate-transaction-control-boundaries
JP-F14.09-PROFESSIONAL,Expense Manager,professional,JF-F14,F14,F14.09,5,"Expense Management plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F14 source title and accountability represent a coherent independently employable finance specialist role in a sophisticated enterprise. Retain as a reusable Job Profile candidate; tenants may combine related profiles into one Position without collapsing the reusable employment model.,decompose-f14-role-work-products-and-validate-finance-aggregate-transaction-control-boundaries
JP-F14.10-PROFESSIONAL,Fixed Asset Accountant,professional,JF-F14,F14,F14.10,5,"Fixed Asset Accounting plans, decisions and controlled records | Accurate evidence of completed work and approvals | Performance, exception and corrective-action information",,,,reconciled-retain-employment-profile,The F14 source title and accountability represent a coherent independently employable finance specialist role in a sophisticated enterprise. Retain as a reusable Job Profile candidate; tenants may combine related profiles into one Position without collapsing the reusable employment model.,decompose-f14-role-work-products-and-validate-finance-aggregate-transaction-control-boundaries
