job_archetype_id,job_title,career_index,domain,internal_job_profile_ids,internal_profile_state,work_product_id,work_product_name,work_product_family,exact_activity_ids,authoring_mode_candidate,enterprise_stream,context_types,primary_functions,canonical_object_candidate,authoring_primitive_candidate,upstream_inputs,downstream_handoff,evidence_requirement,review_state
EJOB-F28.06-PROFESSIONAL,Adoption Manager,,"Communications, Information, PPM & Transformation — F28",JP-F28.06-PROFESSIONAL,reconciled-employment-profile,WP-W10-F28.06-PROFESSIONAL-001,Adoption Monitoring Dashboard,REPORT / SNAPSHOT,F28.06.A01,NATIVE,Operate,Transformation|Change Impact|Stakeholder|Readiness|Adoption|Transition,F28,Readiness / Adoption [AGG-26-TRANSFORMATION],Report Builder|Snapshot View,transformation strategy|current/target state|stakeholder/role/system data|training needs|benefit targets,organisation/process/system change|training|communications|adoption/benefits|operations handover,"Point-in-time/as-of snapshot with source data, calculation/filter and publication provenance",candidate-explicit
EJOB-F28.06-PROFESSIONAL,Adoption Manager,,"Communications, Information, PPM & Transformation — F28",JP-F28.06-PROFESSIONAL,reconciled-employment-profile,WP-W10-F28.06-PROFESSIONAL-002,Resistance / Adoption Risk Assessment,CASE / ASSESSMENT,F28.06.A02,NATIVE,Operate,Transformation|Change Impact|Stakeholder|Readiness|Adoption|Transition,F28,Readiness / Adoption [AGG-26-TRANSFORMATION],Case Workspace|Assessment Form|Evidence Panel,transformation strategy|current/target state|stakeholder/role/system data|training needs|benefit targets,organisation/process/system change|training|communications|adoption/benefits|operations handover,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F28.06-PROFESSIONAL,Adoption Manager,,"Communications, Information, PPM & Transformation — F28",JP-F28.06-PROFESSIONAL,reconciled-employment-profile,WP-W10-F28.06-PROFESSIONAL-003,Adoption Intervention / Action,CHANGE,F28.06.A03,NATIVE,Operate,Transformation|Change Impact|Stakeholder|Readiness|Adoption|Transition,F28,Readiness / Adoption [AGG-26-TRANSFORMATION],Change Workspace|Impact Assessment,transformation strategy|current/target state|stakeholder/role/system data|training needs|benefit targets,organisation/process/system change|training|communications|adoption/benefits|operations handover,"Baseline, impact assessment, authority decision, implementation and verification evidence",candidate-explicit
EJOB-F28.06-PROFESSIONAL,Adoption Manager,,"Communications, Information, PPM & Transformation — F28",JP-F28.06-PROFESSIONAL,reconciled-employment-profile,WP-W10-F28.06-PROFESSIONAL-004,Adoption Reinforcement Plan / Record,PLAN / STRATEGY,F28.06.A04,NATIVE,Operate,Transformation|Change Impact|Stakeholder|Readiness|Adoption|Transition,F28,Readiness / Adoption [AGG-26-TRANSFORMATION],Object Workspace|Structure Browser|Enterprise Grid,transformation strategy|current/target state|stakeholder/role/system data|training needs|benefit targets,organisation/process/system change|training|communications|adoption/benefits|operations handover,"Versioned plan/strategy with assumptions, ownership, review, approval and effective-date provenance",candidate-explicit
EJOB-F25.09-PROFESSIONAL,Annual Reporting Manager,,"Communications, Information, PPM & Transformation — F25",JP-F25.09-PROFESSIONAL,reconciled-employment-profile,WP-W10-F25.09-PROFESSIONAL-001,Annual Report Content Register,REGISTER / SCHEDULE,F25.09.A01,NATIVE,Operate,Audience|Stakeholder|Media|Issue|Communication|Report,F25,Communications Plan / Item [AGG-25-COMMUNICATIONS],Enterprise Grid|Collection View,strategy|stakeholder/media context|performance/results|approved messages|legal/regulatory inputs,employees/customers/investors/media/government|reputation actions|stakeholder commitments,"Governed entries with owner, status, dates, source references and immutable change history",candidate-explicit
EJOB-F25.09-PROFESSIONAL,Annual Reporting Manager,,"Communications, Information, PPM & Transformation — F25",JP-F25.09-PROFESSIONAL,reconciled-employment-profile,WP-W10-F25.09-PROFESSIONAL-002,Annual Report Narrative / Draft,CONTROLLED INFORMATION,F25.09.A02,NATIVE,Operate,Audience|Stakeholder|Media|Issue|Communication|Report,F25,Communications Plan / Item [AGG-25-COMMUNICATIONS],Controlled Document Editor|Object Workspace,strategy|stakeholder/media context|performance/results|approved messages|legal/regulatory inputs,employees/customers/investors/media/government|reputation actions|stakeholder commitments,"Controlled revision with author, reviewer, approver, issue/effective date and supersession provenance",candidate-explicit
EJOB-F25.09-PROFESSIONAL,Annual Reporting Manager,,"Communications, Information, PPM & Transformation — F25",JP-F25.09-PROFESSIONAL,reconciled-employment-profile,WP-W10-F25.09-PROFESSIONAL-003,Annual Report Review Record,CASE / ASSESSMENT,F25.09.A03,NATIVE,Operate,Audience|Stakeholder|Media|Issue|Communication|Report,F25,Communications Plan / Item [AGG-25-COMMUNICATIONS],Case Workspace|Assessment Form|Evidence Panel,strategy|stakeholder/media context|performance/results|approved messages|legal/regulatory inputs,employees/customers/investors/media/government|reputation actions|stakeholder commitments,"Evidence set, assessment rationale, findings, decisions/actions and closure history",candidate-explicit
EJOB-F25.09-PROFESSIONAL,Annual Reporting Manager,,"Communications, Information, PPM & Transformation — F25",JP-F25.09-PROFESSIONAL,reconciled-employment-profile,WP-W10-F25.09-PROFESSIONAL-004,Annual Report Approval,DECISION / APPROVAL,F25.09.A04,NATIVE,Operate,Audience|Stakeholder|Media|Issue|Communication|Report,F25,Communications Plan / Item [AGG-25-COMMUNICATIONS],Decision Workspace|Approval Panel,strategy|stakeholder/media context|performance/results|approved messages|legal/regulatory inputs,employees/customers/investors/media/government|reputation actions|stakeholder commitments,"Decision, approver/authority, rationale, conditions, date and affected objects",candidate-explicit
EJOB-F25.09-PROFESSIONAL,Annual Reporting Manager,,"Communications, Information, PPM & Transformation — F25",JP-F25.09-PROFESSIONAL,reconciled-employment-profile,WP-W10-F25.09-PROFESSIONAL-005,Published Annual Report,CONTROLLED INFORMATION,F25.09.A05,NATIVE,Operate,Audience|Stakeholder|Media|Issue|Communication|Report,F25,Communications Plan / Item [AGG-25-COMMUNICATIONS],Controlled Document Editor|Object Workspace,strategy|stakeholder/media context|performance/results|approved messages|legal/regulatory inputs,employees/customers/investors/media/government|reputation actions|stakeholder commitments,"Controlled revision with author, reviewer, approver, issue/effective date and supersession provenance",candidate-explicit
EJOB-BUSINESS-PROCESS-ANALYST,Business Process Analyst,,"Communications, Information, PPM & Transformation — F29",JP-F29.03-PROFESSIONAL|JP-F29.04-PROFESSIONAL,reconciled-employment-profile,WP-W10-BUSINESS-PROCESS-ANALYST-001,Process Discovery / Current-State Model,STRUCTURE / BREAKDOWN,F29.03.A01|F29.03.A02,NATIVE,Operate,Process|Process Model|SOP|Workflow|Assessment|KPI,F29,Process Model / Redesign [AGG-26-PROCESS],Structure Browser|Enterprise Grid,enterprise architecture|process evidence|performance data|controlled procedures|automation requirements,operating model|SOPs|workflow automation|quality/compliance|continuous improvement,"Versioned hierarchy/structure with element identity, relationships, effectivity and approval provenance",candidate-explicit
