backlog_id,source_mapping_id,job_profile_id,canonical_name,tool_product,vendor,candidate_job_capabilities,candidate_work_products,product_module_or_workspace,exact_operation_or_task,input_objects_or_data,output_work_product,lifecycle_or_status_model,review_approval_authority,audit_evidence,integration_formats,nublox_native_requirement,verification_status,source_url,verified_date
CBE-MTB-0001,CBE-JTM-0001,CBE-JP-001,Acoustics consultant,SoundPLANnoise,SoundPLAN,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",BACKLOG_CREATED,https://www.soundplan.eu/en/software,2026-09-21
CBE-MTB-0002,CBE-JTM-0002,CBE-JP-001,Acoustics consultant,DataKustik CadnaA,DataKustik,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",BACKLOG_CREATED,,2026-09-21
CBE-MTB-0003,CBE-JTM-0003,CBE-JP-001,Acoustics consultant,ODEON Room Acoustics Software,ODEON A/S,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",BACKLOG_CREATED,,2026-09-21
CBE-MTB-0004,CBE-JTM-0004,CBE-JP-001,Acoustics consultant,Marshall Day Acoustics INSUL,Marshall Day Acoustics,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",BACKLOG_CREATED,,2026-09-21
CBE-MTB-0005,CBE-JTM-0005,CBE-JP-001,Acoustics consultant,Autodesk Revit,Autodesk,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,https://www.autodesk.com/products/revit/overview,2026-09-21
CBE-MTB-0006,CBE-JTM-0006,CBE-JP-001,Acoustics consultant,Bluebeam Revu,Bluebeam,Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence,Survey reports; models; recommendations; specifications,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Acoustic surveys; noise and vibration assessment; modelling; design recommendations; compliance evidence; create/control Survey reports; models; recommendations; specifications as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,https://www.bluebeam.com/revu/,2026-09-21
CBE-MTB-0007,CBE-JTM-0007,CBE-JP-002,Agricultural contractor,Trimble Agriculture software,Trimble,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",BACKLOG_CREATED,,2026-09-21
CBE-MTB-0008,CBE-JTM-0008,CBE-JP-002,Agricultural contractor,John Deere Operations Center,John Deere,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",BACKLOG_CREATED,,2026-09-21
CBE-MTB-0009,CBE-JTM-0009,CBE-JP-002,Agricultural contractor,BigChange,BigChange,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
CBE-MTB-0010,CBE-JTM-0010,CBE-JP-002,Agricultural contractor,Samsara,Samsara,Job planning; field operations; plant allocation; labour; materials; service records,Work orders; field logs; plant records; invoices,PENDING_MODULE_VERIFICATION,PENDING_OPERATION_VERIFICATION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,"Provide native job workspace for Job planning; field operations; plant allocation; labour; materials; service records; create/control Work orders; field logs; plant records; invoices as structured governed records; support assignment, revision/status, review/approval, evidence, audit and cross-functional handoff; provide specialist calculations/authoring or governed format interoperability where professional tooling requires it.",PRODUCT_DEEP_BENCHMARK_VERIFIED__JOB_SPECIFIC_MODULE_MAPPING_PENDING,,2026-09-21
